experience is hard to come by
experience is hard to come by
Basic
0.6 0.6
432 388.8
Began 2880.09 302 491 -0.1342593 0.2649176
Stationary 2880.11 302 491 -0.1342593 0.2649176
Stationary 2880.124 302 491 -0.1342593 0.2649176
Stationary 2880.138 302 491 -0.1342593 0.2649176
Stationary 2880.154 302 491 -0.1342593 0.2649176
Stationary 2880.171 302 491 -0.1342593 0.2649176
Stationary 2880.188 302 491 -0.1342593 0.2649176
Stationary 2880.201 302 491 -0.1342593 0.2649176
Moved 2880.216 289.1648 491 -0.1639704 0.2649176
Moved 2880.233 291.088 491 -0.1595184 0.2649176
Moved 2880.247 289.653 491 -0.1628403 0.2649176
Moved 2880.265 288.2132 491 -0.1661732 0.2649176
Moved 2880.279 285.5558 491 -0.1723246 0.2649176
Moved 2880.293 283.677 491 -0.1766735 0.2649176
Moved 2880.31 281.339 496.8135 -0.1820856 0.27987
Moved 2880.325 278.5717 499.2142 -0.1884914 0.2860446
Moved 2880.34 277.3461 500.3078 -0.1913285 0.2888575
Moved 2880.356 275.9084 501 -0.1946566 0.2906378
Moved 2880.373 274.4696 502.5305 -0.1979871 0.2945741
Moved 2880.387 273.0309 503.9691 -0.2013175 0.2982744
Moved 2880.402 271.592 504 -0.2046481 0.2983539
Moved 2880.419 270.5 505.5 -0.2071759 0.3022119
Moved 2880.433 270.0679 506 -0.2081762 0.3034978
Moved 2880.448 268.6212 507.3788 -0.211525 0.3070441
Moved 2880.464 268 508.8125 -0.212963 0.3107316
Moved 2880.479 266.7488 509 -0.2158592 0.3112139
Moved 2880.493 266.312 509.688 -0.2168704 0.3129834
Moved 2880.511 265.5 510.5 -0.21875 0.3150719
Moved 2880.526 264.7159 510 -0.2205652 0.3137859
Moved 2880.541 263.5 511.5 -0.2233796 0.317644
Moved 2880.556 262.9271 512.0729 -0.2247057 0.3191174
Moved 2880.572 262 512.5801 -0.2268519 0.3204219
Moved 2880.587 260.9853 513 -0.2292008 0.321502
Moved 2880.602 259.5507 514.4493 -0.2325215 0.3252296
Stationary 2880.618 259.5507 514.4493 -0.2325215 0.3252296
Moved 2880.633 259 515.3215 -0.2337963 0.3274728
Stationary 2880.649 259 515.3215 -0.2337963 0.3274728
Moved 2880.665 258 515 -0.2361111 0.326646
Stationary 2880.679 258 515 -0.2361111 0.326646
Moved 2880.694 258 497.4057 -0.2361111 0.2813932
Moved 2880.71 267.3987 475.0279 -0.214355 0.2238371
Moved 2880.726 272.4225 453.7042 -0.2027256 0.1689923
Moved 2880.741 278.1968 427.0651 -0.1893592 0.1004759
Moved 2880.756 282.3424 411.7161 -0.179763 0.06099806
Moved 2880.772 287.6682 388.6592 -0.1674348 0.001695499
Moved 2880.788 291.9844 370.0624 -0.1574436 -0.0461357
Moved 2880.803 297.718 354.2756 -0.1441713 -0.08673977
Moved 2880.82 303.4794 339.0411 -0.1308346 -0.1259231
Moved 2880.834 309.2177 323.6514 -0.1175517 -0.1655058
Moved 2880.849 314.2344 312.5311 -0.1059388 -0.1941072
Moved 2880.865 316.7896 305.6313 -0.1000242 -0.2118538
