travel at the speed of light
travel at the speed of light
Basic
0.6 0.6
432 388.8
Began 812.2701 224 536 -0.3148148 0.3806583
Stationary 812.2885 224 536 -0.3148148 0.3806583
Stationary 812.3013 224 536 -0.3148148 0.3806583
Stationary 812.3162 224 536 -0.3148148 0.3806583
Stationary 812.3326 224 536 -0.3148148 0.3806583
Moved 812.3478 234.1036 536 -0.2914269 0.3806583
Moved 812.3632 242.8268 536 -0.2712343 0.3806583
Moved 812.3793 252.9167 536 -0.247878 0.3806583
Moved 812.395 263.8868 536 -0.2224843 0.3806583
Moved 812.4109 275.8366 536 -0.1948226 0.3806583
Moved 812.4261 283.662 536 -0.1767084 0.3806583
Moved 812.4405 288.1509 536 -0.1663173 0.3806583
Moved 812.4559 292.0543 536 -0.1572818 0.3806583
Moved 812.471 294.9191 536 -0.1506502 0.3806583
Moved 812.4871 296.802 536 -0.1462917 0.3806583
Moved 812.5012 297.9933 536 -0.143534 0.3806583
Moved 812.5171 299.4365 536 -0.1401933 0.3806583
Moved 812.5325 300.8796 536 -0.1368528 0.3806583
Moved 812.5479 301.5 536 -0.1354167 0.3806583
Moved 812.5629 302.7646 536 -0.1324893 0.3806583
Stationary 812.5786 303 536 -0.1319445 0.3806583
Moved 812.5942 304.5 536 -0.1284722 0.3806583
Stationary 812.6091 304.5 536 -0.1284722 0.3806583
Moved 812.6232 305.2309 536 -0.1267803 0.3806583
Stationary 812.6396 305.2309 536 -0.1267803 0.3806583
Moved 812.6549 306.0389 536 -0.1249099 0.3806583
Stationary 812.6703 306.0389 536 -0.1249099 0.3806583
Stationary 812.6863 306.0389 536 -0.1249099 0.3806583
Moved 812.7011 307.111 536 -0.1224282 0.3806583
Stationary 812.7169 307.111 536 -0.1224282 0.3806583
Stationary 812.7319 307.111 536 -0.1224282 0.3806583
Stationary 812.7484 307 536 -0.1226852 0.3806583
Stationary 812.764 307 536 -0.1226852 0.3806583
Stationary 812.7782 307 536 -0.1226852 0.3806583
Stationary 812.7931 307 536 -0.1226852 0.3806583
Stationary 812.8093 307 536 -0.1226852 0.3806583
Stationary 812.8253 307 536 -0.1226852 0.3806583
Moved 812.8408 295.8572 536 -0.1484786 0.3806583
Moved 812.8568 290.3673 536 -0.1611867 0.3806583
Moved 812.8717 286.2065 527.8043 -0.1708183 0.359579
Moved 812.887 281.8945 525.9648 -0.1807997 0.3548478
Moved 812.9034 277.5574 524.5191 -0.1908393 0.3511294
Moved 812.918 275.1695 522.0847 -0.1963669 0.3448681
Moved 812.9338 272.271 522 -0.2030764 0.3446501
Moved 812.9493 270.2903 520.6451 -0.2076612 0.3411654
Moved 812.9641 269.0831 520 -0.2104558 0.3395061
Moved 812.9799 267.6418 520 -0.213792 0.3395061
Moved 812.9953 265.2033 519 -0.2194368 0.3369341
Moved 813.011 265 517.7725 -0.2199074 0.3337768
Moved 813.0259 263.3223 518 -0.2237911 0.3343621
Moved 813.0417 261.8822 516.8822 -0.2271245 0.3314871
Moved 813.0571 260.8484 517 -0.2295176 0.33179
Moved 813.072 260.3541 516 -0.2306617 0.329218
Moved 813.0874 259.5 516 -0.2326389 0.329218
Moved 813.103 258.7348 514.7349 -0.2344101 0.3259641
Moved 813.118 258 514.0345 -0.2361111 0.3241627
Moved 813.1331 256.5853 514 -0.2393859 0.324074
Moved 813.1497 256.1462 512.1462 -0.2404024 0.3193059
Moved 813.1635 255.0102 511.0102 -0.243032 0.3163842
Moved 813.1882 253.5 510 -0.2465278 0.3137859
Ended 813.2005 253.5 510 -0.2465278 0.3137859
Candidates 813.3773 12 were e er re r et wet we wt tree eye wee
Began 813.6093 334 405 -0.06018519 0.04372424
Stationary 813.6261 334 405 -0.06018519 0.04372424
Stationary 813.6419 334 405 -0.06018519 0.04372424
Stationary 813.657 334 405 -0.06018519 0.04372424
Stationary 813.6724 334 405 -0.06018519 0.04372424
Stationary 813.6878 334 405 -0.06018519 0.04372424
Ended 813.7019 334 405 -0.06018519 0.04372424
NextCandidatePanel 813.7607
Began 813.7776 333 414 -0.06249999 0.06687239
Stationary 813.7975 333 414 -0.06249999 0.06687239
Stationary 813.8113 333 414 -0.06249999 0.06687239
Stationary 813.826 333 414 -0.06249999 0.06687239
Ended 813.8419 333 414 -0.06249999 0.06687239
Cancel 813.9005
Began 814.2682 330 459 -0.06944443 0.1826131
Stationary 814.2883 330 459 -0.06944443 0.1826131
Stationary 814.3047 330 459 -0.06944443 0.1826131
Stationary 814.3198 330 459 -0.06944443 0.1826131
Stationary 814.3355 330 459 -0.06944443 0.1826131
Stationary 814.3513 330 459 -0.06944443 0.1826131
Stationary 814.3637 330 459 -0.06944443 0.1826131
Stationary 814.3796 330 459 -0.06944443 0.1826131
Moved 814.3973 324.8315 459 -0.08140862 0.1826131
