a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Began 3558.212 223 374 -0.3171296 -0.03600823
Stationary 3558.232 223 374 -0.3171296 -0.03600823
Stationary 3558.245 223 374 -0.3171296 -0.03600823
Stationary 3558.259 223 374 -0.3171296 -0.03600823
Stationary 3558.276 223 374 -0.3171296 -0.03600823
Stationary 3558.291 223 374 -0.3171296 -0.03600823
Ended 3558.306 223 374 -0.3171296 -0.03600823
Candidates 3558.367 6 s a d f z x
Began 3558.982 313 379 -0.1087963 -0.02314815
Stationary 3559 313 379 -0.1087963 -0.02314815
Stationary 3559.015 313 379 -0.1087963 -0.02314815
Moved 3559.032 293.4459 379 -0.1540605 -0.02314815
Moved 3559.046 268.9131 379 -0.2108492 -0.02314815
Ended 3559.062 226 379 -0.3101852 -0.02314815
Accept 3559.09 1 a
Began 3559.954 362 280 0.004629592 -0.2777778
Stationary 3559.973 362 280 0.004629592 -0.2777778
Stationary 3559.988 362 280 0.004629592 -0.2777778
Stationary 3560.002 362 280 0.004629592 -0.2777778
Stationary 3560.018 362 280 0.004629592 -0.2777778
Moved 3560.032 354.1939 286.9387 -0.01344 -0.2599314
Moved 3560.049 346.379 295.9453 -0.03153016 -0.2367664
Moved 3560.065 339 307.5 -0.04861111 -0.2070474
Moved 3560.08 329.15 325.0285 -0.07141197 -0.1619638
Moved 3560.095 320.2676 339.8873 -0.09197315 -0.1237467
Moved 3560.11 314.1295 351.7411 -0.1061818 -0.09325852
Moved 3560.128 310.6855 360.9434 -0.1141539 -0.06959005
Moved 3560.141 306.2172 369.9713 -0.1244972 -0.04637016
Moved 3560.156 303.9682 378.191 -0.1297033 -0.02522896
Moved 3560.172 301.059 386.8232 -0.1364376 -0.003026797
Moved 3560.195 296.9425 399.23 -0.1459665 0.02888377
Stationary 3560.206 296.9425 399.23 -0.1459665 0.02888377
Moved 3560.218 295.5038 404.9849 -0.1492968 0.04368527
Moved 3560.234 295.0685 407.7946 -0.1503044 0.05091192
Moved 3560.25 293.6369 410.7261 -0.1536182 0.05845187
Moved 3560.265 293.1961 413.6078 -0.1546387 0.06586377
Moved 3560.281 293 416.4852 -0.1550926 0.07326435
Moved 3560.296 291.739 417.261 -0.1580117 0.07525981
Moved 3560.312 292 421.5692 -0.1574074 0.08634029
Moved 3560.327 290.7772 426.8911 -0.1602379 0.1000284
Moved 3560.343 288.6713 433.6573 -0.1651127 0.1174314
Moved 3560.358 286.8938 437.2125 -0.1692274 0.1265751
Moved 3560.374 284 444.5 -0.1759259 0.1453189
Moved 3560.389 283.0138 447.9587 -0.1782089 0.1542146
Moved 3560.404 283 450.0841 -0.1782407 0.1596813
Moved 3560.419 281.5038 452.9924 -0.1817042 0.1671615
Moved 3560.434 280.065 455.87 -0.1850347 0.1745626
Moved 3560.45 280 458.7474 -0.1851852 0.1819633
Moved 3560.466 279 460.6169 -0.1875 0.1867717
Moved 3560.481 279 462.2563 -0.1875 0.1909883
Moved 3560.496 278 463.6948 -0.1898148 0.1946883
Moved 3560.511 278 464.8545 -0.1898148 0.197671
Moved 3560.531 276.7545 466.2455 -0.1926979 0.2012487
Moved 3560.543 277 467.6807 -0.1921296 0.2049399
Moved 3560.558 275.877 469.123 -0.1947292 0.2086496
Moved 3560.574 276 469.5646 -0.1944444 0.2097855
Moved 3560.589 276 471.012 -0.1944444 0.2135082
Moved 3560.604 274.5616 471 -0.197774 0.2134772
Moved 3560.618 275 472.5 -0.1967592 0.2173353
Stationary 3560.637 275 472.5 -0.1967592 0.2173353
Moved 3560.65 275 473.1208 -0.1967592 0.218932
Stationary 3560.666 275 473.1208 -0.1967592 0.218932
Moved 3560.68 275 474.0952 -0.1967592 0.2214383
Stationary 3560.696 275 474.0952 -0.1967592 0.2214383
Moved 3560.712 275 475.1572 -0.1967592 0.2241696
Stationary 3560.728 275 475.1572 -0.1967592 0.2241696
Moved 3560.742 275 476.3183 -0.1967592 0.227156
Stationary 3560.758 275 476.3183 -0.1967592 0.227156
Moved 3560.774 275 477.6188 -0.1967592 0.2305009
Moved 3560.789 275 479.0605 -0.1967592 0.234209
Moved 3560.805 288.4914 480.499 -0.1655292 0.237909
Moved 3560.82 292.6747 481.9349 -0.1558456 0.2416021
Moved 3560.836 303.9902 483.3738 -0.1296523 0.2453029
Moved 3560.851 310.5151 484.3593 -0.1145484 0.2478377
Moved 3560.867 320.8778 484.9796 -0.09056056 0.2494331
Moved 3560.882 330.9384 486.4198 -0.06727223 0.2531373
Moved 3560.897 339.1623 487 -0.04823545 0.2546296
Moved 3560.913 346.5006 487 -0.03124868 0.2546296
Moved 3560.928 352.9954 488 -0.01621445 0.2572016
Moved 3560.944 358.7268 488 -0.002947201 0.2572016
Moved 3560.959 362.739 488 0.006340345 0.2572016
Moved 3560.975 367.1038 489 0.01644393 0.2597736
Moved 3560.99 371.4347 489 0.02646923 0.2597736
Ended 3561.004 375 490 0.03472219 0.2623456
Candidates 3561.172 12 very bet be cry betty beer better beef ct ve ccr beth
Began 3561.711 357 366 -0.006944438 -0.05658444
Stationary 3561.73 357 366 -0.006944438 -0.05658444
Stationary 3561.744 357 366 -0.006944438 -0.05658444
Stationary 3561.76 357 366 -0.006944438 -0.05658444
Stationary 3561.776 357 366 -0.006944438 -0.05658444
Stationary 3561.79 357 366 -0.006944438 -0.05658444
Moved 3561.805 366.3299 394.9941 0.01465251 0.01798893
Moved 3561.822 369.3181 424.0112 0.02156983 0.0926212
Ended 3561.838 373 460 0.0300926 0.1851851
Accept 3561.896 0 very
