experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 120.732 487 305 0.2939814 -0.2134774
Stationary 120.7529 487 305 0.2939814 -0.2134774
Stationary 120.7674 487 305 0.2939814 -0.2134774
Stationary 120.7819 487 305 0.2939814 -0.2134774
Stationary 120.7964 487 305 0.2939814 -0.2134774
Stationary 120.8126 487 305 0.2939814 -0.2134774
Moved 120.828 468.1539 305 0.2503563 -0.2134774
Moved 120.8436 458.1233 305 0.2271372 -0.2134774
Moved 120.8594 447.6438 312.9493 0.2028792 -0.1930316
Moved 120.8736 432.1452 319.1577 0.1670029 -0.1770637
Moved 120.8899 418.0841 328.2115 0.134454 -0.153777
Moved 120.905 404.3492 336.5905 0.1026601 -0.1322261
Moved 120.9207 391.9163 346.4483 0.07388026 -0.1068718
Moved 120.9357 379.9528 358.0472 0.04618695 -0.07703906
Moved 120.9519 367.7498 368.889 0.01793951 -0.0491537
Moved 120.9675 360.5 378 0.001157423 -0.02572024
Moved 120.9827 351.0009 388.749 -0.02083128 0.001926422
Moved 120.9976 342.2905 398.8278 -0.04099429 0.02784929
Moved 121.0132 335.5 407 -0.05671298 0.04886827
Moved 121.029 330.4132 413.4835 -0.06848788 0.06554383
Moved 121.0439 327.4733 417.79 -0.07529323 0.07662035
Moved 121.0592 324.7402 420.2598 -0.08161982 0.08297261
Moved 121.0746 323.0076 421.9924 -0.08563046 0.08742889
Moved 121.0904 321.9613 423.0386 -0.08805244 0.0901199
Stationary 121.1059 322 423 -0.08796295 0.09002049
Moved 121.122 321 423 -0.09027779 0.09002049
Stationary 121.1364 321 423 -0.09027779 0.09002049
Moved 121.1516 319.5 412.5 -0.09375001 0.06301432
Moved 121.1678 315.3716 376.468 -0.1033065 -0.0296606
Moved 121.1842 313.7603 343.247 -0.1070364 -0.1151056
Moved 121.1977 314 314.5 -0.1064815 -0.1890433
Moved 121.2145 314 295.4838 -0.1064815 -0.2379533
Moved 121.2298 314 269.0403 -0.1064815 -0.3059663
Moved 121.2448 314 252.5751 -0.1064815 -0.3483152
Moved 121.2603 323.4574 240.4417 -0.08458927 -0.3795226
Moved 121.2751 326.1815 229.2742 -0.07828365 -0.4082454
Moved 121.2914 328.9091 219.8181 -0.07196963 -0.4325666
Moved 121.3068 331.8275 207.6902 -0.06521424 -0.4637599
Moved 121.3304 336.5432 197.1853 -0.05429824 -0.4907787
Stationary 121.3401 336.5432 197.1853 -0.05429824 -0.4907787
Moved 121.3519 337.6292 194.3707 -0.05178417 -0.4980177
Moved 121.368 339.9821 192.0178 -0.04633764 -0.5040694
Moved 121.3866 341.3656 192 -0.04313514 -0.5041152
Moved 121.3991 351.9799 192 -0.01856516 -0.5041152
Moved 121.4138 383.2558 211.5616 0.05383283 -0.4538023
Moved 121.4298 437.8746 259.5829 0.1802652 -0.3302909
