the facts get in the way
the facts get in the way
Basic
0.6 0.6
432 388.8
Began 1230.404 327 489 -0.07638887 0.2597736
Stationary 1230.421 327 489 -0.07638887 0.2597736
Stationary 1230.433 327 489 -0.07638887 0.2597736
Stationary 1230.449 327 489 -0.07638887 0.2597736
Stationary 1230.468 327 489 -0.07638887 0.2597736
Moved 1230.482 336.9748 481.2418 -0.05329902 0.2398195
Moved 1230.498 350.6702 462.3283 -0.02159675 0.1911736
Moved 1230.515 361.7513 444.7791 0.00405401 0.1460366
Moved 1230.529 367.9549 433.2493 0.01841416 0.1163819
Moved 1230.545 379.9033 412.4944 0.04607251 0.06300004
Moved 1230.559 392.9099 392.6352 0.07618029 0.01192171
Moved 1230.575 401.6953 381.249 0.09651681 -0.01736378
Moved 1230.591 410.808 370.2241 0.117611 -0.04572001
Moved 1230.606 415.2168 364.3777 0.1278166 -0.06075706
Moved 1230.621 415.8385 361.323 0.1292558 -0.06861369
Moved 1230.635 416 359.136 0.1296297 -0.07423864
Moved 1230.651 416 358 0.1296297 -0.07716057
Moved 1230.668 408.9197 358 0.1132402 -0.07716057
Moved 1230.683 394.684 358 0.08028696 -0.07716057
Moved 1230.697 368.5909 372.7045 0.01988639 -0.0393402
Moved 1230.714 336.5128 390.4058 -0.05436852 0.006187697
Moved 1230.729 300.8603 415.3807 -0.1368975 0.07042343
Moved 1230.745 279.0227 432.7316 -0.1874475 0.1150502
Moved 1230.76 257.1448 453.8552 -0.2380908 0.1693806
Moved 1230.775 243.0926 467.9979 -0.2706189 0.2057559
Moved 1230.79 233.08 480.8934 -0.2937964 0.2389232
Moved 1230.807 227.1395 494.872 -0.3075474 0.2748765
Ended 1230.82 226 500 -0.3101852 0.2880658
Candidates 1231.018 12 the there threw that else tubes rubber these tube what tennessee dubbed
Began 1231.389 452 248 0.2129629 -0.3600824
Stationary 1231.407 452 248 0.2129629 -0.3600824
Stationary 1231.422 452 248 0.2129629 -0.3600824
Stationary 1231.437 452 248 0.2129629 -0.3600824
Stationary 1231.452 452 248 0.2129629 -0.3600824
Stationary 1231.468 452 248 0.2129629 -0.3600824
Moved 1231.483 447.0288 264.9712 0.2014557 -0.3164322
Moved 1231.499 440.3638 282.0676 0.1860273 -0.2724599
Moved 1231.515 436.2855 290.6075 0.1765869 -0.2504951
Moved 1231.53 430.6139 308.1266 0.1634582 -0.2054358
Moved 1231.545 425.4366 323.8781 0.1514735 -0.1649226
Moved 1231.561 423.3795 334.1024 0.1467119 -0.1386256
Moved 1231.576 421.9396 341.3019 0.1433788 -0.1201084
Moved 1231.591 420.5 347 0.1400463 -0.1054527
Moved 1231.606 420 350.8868 0.1388889 -0.09545588
Moved 1231.621 420 354.192 0.1388889 -0.08695477
Moved 1231.638 420 357 0.1388889 -0.07973259
Moved 1231.654 419 359.9436 0.1365741 -0.07216151
Moved 1231.668 419 362.8215 0.1365741 -0.06475966
Ended 1231.685 419 367 0.1365741 -0.05401234
Accept 1231.725 0 the
