travel at the speed of light
travel at the speed of light
Basic
0.6 0.6
432 388.8
Moved 670.9233 231.9554 359.5372 -0.2963995 -0.07320694
Moved 670.9383 238.6947 355.8442 -0.2807993 -0.08270522
Moved 670.9531 246.4905 349.4246 -0.2627535 -0.09921674
Moved 670.9693 253.4381 343.8495 -0.246671 -0.1135559
Moved 670.9846 261.6771 338.9955 -0.2275992 -0.1260403
Moved 670.9998 270.3456 333.7697 -0.2075334 -0.1394814
Moved 671.0156 277.1852 329.6888 -0.1917008 -0.1499773
Moved 671.0302 282.3186 326.3407 -0.179818 -0.1585887
Moved 671.0471 285.7804 322.2928 -0.1718046 -0.169
Moved 671.0618 292.5101 316.7919 -0.1562265 -0.1831485
Moved 671.0762 296.0226 311.9774 -0.1480959 -0.1955314
Moved 671.0931 299.1216 306.7569 -0.1409223 -0.2089587
Moved 671.1069 303.3328 302.6672 -0.1311742 -0.2194773
Moved 671.1248 305.6658 298.3342 -0.1257736 -0.2306221
Moved 671.1418 309.651 293.132 -0.1165485 -0.2440022
Moved 671.1575 313.5 288 -0.1076389 -0.2572017
Moved 671.1692 316.333 285.0005 -0.1010811 -0.2649164
Moved 671.1854 320.1592 280.8408 -0.09222413 -0.2756152
Moved 671.1996 322.8731 278.1269 -0.0859419 -0.2825954
Moved 671.2161 323.823 277.177 -0.08374313 -0.2850387
Moved 671.2309 325.2066 274.5868 -0.08054028 -0.2917007
Moved 671.2477 327.1859 272.8141 -0.07595862 -0.2962601
Moved 671.2618 329.9532 270.0468 -0.06955285 -0.3033776
Moved 671.2772 331.0071 268.9929 -0.06711324 -0.3060882
Moved 671.2929 333.7864 266.2136 -0.06067961 -0.3132366
Moved 671.308 336.5592 261.6611 -0.05426104 -0.3249456
Moved 671.3235 338.1665 258.667 -0.05054051 -0.3326467
Moved 671.3389 341 254.5 -0.04398147 -0.3433642
Moved 671.36 344.3261 250.6738 -0.03628209 -0.3532052
Stationary 671.3701 344.3261 250.6738 -0.03628209 -0.3532052
Moved 671.3853 345.5 246.5 -0.03356482 -0.3639403
Moved 671.4003 346.7872 246.2128 -0.03058523 -0.3646792
Moved 671.4158 348.1625 243.675 -0.0274017 -0.3712062
Moved 671.4312 349.5 242.5 -0.02430553 -0.3742284
Moved 671.4469 350 241.0928 -0.02314816 -0.3778479
Moved 671.4618 350 240.5 -0.02314816 -0.3793725
Stationary 671.4777 350 240.5 -0.02314816 -0.3793725
Moved 671.4931 350 241 -0.02314816 -0.3780865
Stationary 671.5081 350 241 -0.02314816 -0.3780865
Stationary 671.5225 350 241 -0.02314816 -0.3780865
