a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Began 1248.431 158 341 -0.4675925 -0.1208849
Stationary 1248.448 158 341 -0.4675925 -0.1208849
Stationary 1248.462 158 341 -0.4675925 -0.1208849
Stationary 1248.478 158 341 -0.4675925 -0.1208849
Stationary 1248.492 158 341 -0.4675925 -0.1208849
Ended 1248.509 158 341 -0.4675925 -0.1208849
Candidates 1248.568 3 a s z
Began 1248.983 265 301 -0.2199074 -0.2237656
Stationary 1249.005 265 301 -0.2199074 -0.2237656
Stationary 1249.018 265 301 -0.2199074 -0.2237656
Moved 1249.033 265 314.1021 -0.2199074 -0.1900667
Moved 1249.048 259.8527 344.7261 -0.2318224 -0.1113012
Moved 1249.065 254.1075 385.2804 -0.2451216 -0.006994985
Moved 1249.08 252.6671 425.6551 -0.2484559 0.09684947
Moved 1249.094 253 456.5 -0.2476852 0.1761831
Ended 1249.109 253 470 -0.2476852 0.2109053
Accept 1249.154 0 a
Began 1249.353 288 229 -0.1666667 -0.4089506
Stationary 1249.374 288 229 -0.1666667 -0.4089506
Stationary 1249.388 288 229 -0.1666667 -0.4089506
Stationary 1249.404 288 229 -0.1666667 -0.4089506
Stationary 1249.419 288 229 -0.1666667 -0.4089506
Moved 1249.442 264.7521 282.5257 -0.2204812 -0.2712816
Stationary 1249.452 264.7521 282.5257 -0.2204812 -0.2712816
Moved 1249.464 253 326.5 -0.2476852 -0.158179
Moved 1249.481 246.0626 371.8017 -0.2637441 -0.04166238
Moved 1249.496 241.4018 397.1906 -0.2745329 0.02363821
Moved 1249.51 239.8492 415.6314 -0.278127 0.07106835
Moved 1249.527 237.0971 433.4173 -0.2844974 0.116814
Moved 1249.541 235.6725 445.9471 -0.287795 0.149041
Moved 1249.559 235 462.7382 -0.2893518 0.1922278
Moved 1249.572 235 476.7949 -0.2893518 0.2283819
Moved 1249.588 244.0345 490.6811 -0.2684386 0.2640973
Moved 1249.605 253.5 505.5 -0.2465278 0.3022119
Moved 1249.622 264.3665 514.5249 -0.2213738 0.3254241
Moved 1249.634 275.5236 524.2082 -0.1955472 0.3503296
Moved 1249.651 288.8344 529.7338 -0.1647353 0.3645415
Moved 1249.665 305.8258 534.1906 -0.1254033 0.3760045
Moved 1249.68 326.8256 538.3651 -0.07679259 0.3867414
Moved 1249.695 341 538.5 -0.04398147 0.3870883
Moved 1249.711 363.2941 538 0.007625222 0.3858024
Moved 1249.727 380.3681 538 0.04714847 0.3858024
Moved 1249.742 395.608 538 0.08242597 0.3858024
Moved 1249.759 405.2837 538 0.1048233 0.3858024
Moved 1249.773 413.5139 538 0.1238748 0.3858024
Moved 1249.789 416.6164 538 0.1310565 0.3858024
Moved 1249.805 420.5966 538 0.1402699 0.3858024
Ended 1249.819 421.1613 538 0.141577 0.3858024
Candidates 1249.925 12 carry carey vary very ceo castro cry career carter barry battery cat
Began 1250.959 251 361 -0.2523148 -0.06944452
Stationary 1250.978 251 361 -0.2523148 -0.06944452
Moved 1250.992 251 349.6245 -0.2523148 -0.09870238
Moved 1251.006 251 339.9258 -0.2523148 -0.1236475
Moved 1251.021 251 315.5115 -0.2523148 -0.1864415
Moved 1251.038 251 288.176 -0.2523148 -0.2567489
Moved 1251.052 256.1298 260.8803 -0.2404402 -0.326954
Moved 1251.068 262.8302 238.9058 -0.2249302 -0.3834729
Moved 1251.083 269.0775 223.8191 -0.2104686 -0.4222761
Ended 1251.103 283.0439 202.9342 -0.1781392 -0.4759923
Accept 1251.142 3 very
Began 1251.531 314 503 -0.1064815 0.2957818
Stationary 1251.546 314 503 -0.1064815 0.2957818
Stationary 1251.563 314 503 -0.1064815 0.2957818
Stationary 1251.579 314 503 -0.1064815 0.2957818
Stationary 1251.593 314 503 -0.1064815 0.2957818
Stationary 1251.608 314 503 -0.1064815 0.2957818
Moved 1251.623 298.8174 503 -0.1416264 0.2957818
Moved 1251.638 287.5263 503 -0.1677632 0.2957818
Moved 1251.655 278.9095 509.2042 -0.1877094 0.3117391
Moved 1251.669 263.313 513.6718 -0.2238125 0.3232298
Moved 1251.684 254.8117 516.1967 -0.2434914 0.3297238
Moved 1251.701 247.1337 517.9733 -0.2612647 0.3342933
Moved 1251.716 240.2536 518 -0.2771908 0.3343621
Moved 1251.73 237.8404 518.7198 -0.2827767 0.3362135
Moved 1251.745 234.8143 519 -0.2897817 0.3369341
Moved 1251.762 232.0696 519 -0.2961352 0.3369341
Stationary 1251.778 231.5704 519 -0.2972906 0.3369341
Moved 1251.792 225.3016 509.754 -0.3118019 0.3131533
Moved 1251.808 215.7725 494.4997 -0.3338599 0.2739189
Moved 1251.823 205.8082 473.6165 -0.3569254 0.2202068
Moved 1251.84 194.4013 448.653 -0.3833303 0.1560003
Moved 1251.857 184.8216 425.281 -0.4055056 0.09588724
Moved 1251.869 178.6447 409.6116 -0.419804 0.0555854
Moved 1251.885 173.3812 398.7625 -0.4319879 0.02768112
Moved 1251.909 167.351 384.702 -0.4459468 -0.008482678
Stationary 1251.919 167.351 384.702 -0.4459468 -0.008482678
Moved 1251.93 167 381.95 -0.4467593 -0.0155609
Moved 1251.947 167 380.5989 -0.4467593 -0.01903565
Moved 1251.962 167 379.5 -0.4467593 -0.02186214
Stationary 1251.978 167 379.5 -0.4467593 -0.02186214
Moved 1251.992 181.1659 380 -0.4139679 -0.02057613
Moved 1252.009 200.0317 395.0803 -0.3702971 0.01821067
Moved 1252.024 218.2859 405.5834 -0.3280418 0.04522477
Moved 1252.04 236.0689 416.504 -0.2868775 0.07331263
