that is a very odd question
that is a very odd question
Basic
0.6 0.6
432 388.8
Began 458.3869 362 521 0.004629592 0.3420781
Stationary 458.4073 362 521 0.004629592 0.3420781
Stationary 458.4197 362 521 0.004629592 0.3420781
Stationary 458.4338 362 521 0.004629592 0.3420781
Stationary 458.4589 362 521 0.004629592 0.3420781
Stationary 458.4692 362 521 0.004629592 0.3420781
Stationary 458.4797 362 521 0.004629592 0.3420781
Stationary 458.495 362 521 0.004629592 0.3420781
Stationary 458.5108 362 521 0.004629592 0.3420781
Stationary 458.5266 362 521 0.004629592 0.3420781
Stationary 458.5418 362 521 0.004629592 0.3420781
Stationary 458.5575 362 521 0.004629592 0.3420781
Stationary 458.5729 362 521 0.004629592 0.3420781
Moved 458.5884 366.494 509.753 0.01503239 0.3131506
Moved 458.6053 374.9883 501.0164 0.03469507 0.29068
Moved 458.6208 381.4775 493.4429 0.04971644 0.2712008
Moved 458.6356 390.2773 481.1766 0.07008622 0.2396515
Moved 458.651 398.9005 472.0994 0.09004752 0.216305
Moved 458.6655 407.4606 460.7192 0.1098625 0.1870349
Moved 458.6823 415.2618 451.8858 0.1279209 0.1643152
Moved 458.6969 423.7682 441.937 0.1476117 0.1387269
Moved 458.7108 430.6532 430.1549 0.163549 0.1084231
Moved 458.7274 434.5583 423.7361 0.1725887 0.09191391
Moved 458.7425 438.7108 415.5783 0.1822011 0.07093178
Moved 458.7583 442.3494 406.9518 0.1906236 0.04874429
Moved 458.7734 445.2424 398.2729 0.1973203 0.026422
Moved 458.7888 448.1178 388.6466 0.2039764 0.001663082
Moved 458.8062 450.9895 382.0209 0.2106239 -0.01537825
Moved 458.8199 452.4336 373.3985 0.2139667 -0.0375553
Moved 458.8351 453 370.3664 0.2152778 -0.04535392
Moved 458.8513 453.9807 366.058 0.2175479 -0.0564353
Moved 458.8665 454 363.056 0.2175926 -0.06415638
Moved 458.8807 454 359.187 0.2175926 -0.07410748
Moved 458.8992 454 357.6548 0.2175926 -0.07804839
Moved 458.9124 444.5847 354.2154 0.1957978 -0.08689464
Moved 458.9272 421.2139 354 0.1416989 -0.08744855
Moved 458.9435 401 354 0.09490739 -0.08744855
Moved 458.9588 379.1398 363.9651 0.04430503 -0.06181826
Moved 458.9745 358.4805 370.8998 -0.003517419 -0.04398189
Moved 458.9892 342.7844 375.2431 -0.03985102 -0.03281095
Moved 459.0053 329.4567 379.1811 -0.07070204 -0.02268238
Moved 459.0218 319.566 380.4906 -0.09359722 -0.0193143
Moved 459.0364 302.587 385.8696 -0.1329004 -0.005479624
Moved 459.0518 289.6011 388.7553 -0.1629603 0.001942631
Moved 459.0676 278.3538 391.5162 -0.188996 0.009043736
Moved 459.0822 267.3145 392.9551 -0.2145499 0.01274454
Moved 459.0978 257.2444 394.3937 -0.2378601 0.0164446
Moved 459.1126 248.0646 394.8226 -0.2591097 0.01754776
Moved 459.1283 240.6835 395 -0.2761956 0.01800408
Moved 459.1433 234.1785 395 -0.2912535 0.01800408
Moved 459.1586 227.3037 395 -0.3071674 0.01800408
Moved 459.174 224.4399 395 -0.3137966 0.01800408
Moved 459.1898 218.9387 395 -0.3265307 0.01800408
Moved 459.2066 215.761 395 -0.3338866 0.01800408
Moved 459.2199 213.443 395 -0.3392523 0.01800408
Stationary 459.236 213 395 -0.3402778 0.01800408
Moved 459.2519 211.5722 395 -0.3435829 0.01800408
Moved 459.2657 212 396.7397 -0.3425926 0.02247857
Moved 459.282 212 399.8698 -0.3425926 0.03052931
Moved 459.2979 224.4503 406.9168 -0.3137725 0.0486543
Moved 459.3141 235.9746 417.3428 -0.2870959 0.07547017
Moved 459.3281 251.7946 427.7784 -0.2504754 0.1023106
Moved 459.3441 268.9456 439.8619 -0.210774 0.1333897
Moved 459.3602 286.6678 452.1546 -0.1697506 0.1650067
Moved 459.3747 300.7944 459.9634 -0.13705 0.1850909
Moved 459.3906 312.0759 466.7975 -0.1109354 0.2026684
Moved 459.4061 324.11 473.6167 -0.08307865 0.2202075
Moved 459.4208 332.7818 478.6691 -0.06300519 0.2332022
Moved 459.4366 338.9792 482.9844 -0.0486593 0.2443013
Moved 459.4581 350.602 488.8673 -0.0217546 0.2594323
Stationary 459.4687 350.602 488.8673 -0.0217546 0.2594323
Moved 459.4818 353.6181 491.6182 -0.01477286 0.2665075
Moved 459.4986 356 492.5 -0.009259283 0.2687756
Moved 459.5144 357.8319 493.832 -0.005018662 0.2722015
Moved 459.5294 360.5423 494 0.001255274 0.2726337
Ended 459.5448 363 495.5 0.006944438 0.2764916
Candidates 459.7109 12 that okay flat last today relate play lat under hillary what lay
Began 460.2035 380 349 0.04629632 -0.1003086
Stationary 460.2236 380 349 0.04629632 -0.1003086
Moved 460.2385 380 378.636 0.04629632 -0.02408447
Moved 460.257 380 421.9918 0.04629632 0.0874274
Moved 460.2705 373 473.7839 0.0300926 0.2206376
Moved 460.2853 373 514.6655 0.0300926 0.3257857
