did you have a good time
did you have a good time
Basic
0.6 0.6
432 388.8
Moved 1675.775 360.5 445.5 0.001157423 0.1478908
Moved 1675.79 349.977 436.9835 -0.0232015 0.1259864
Moved 1675.805 341.348 429.79 -0.04317587 0.1074846
Moved 1675.821 333.6999 423.5833 -0.06087983 0.09152067
Moved 1675.837 326.4072 416.4072 -0.07776121 0.07306366
Moved 1675.852 322.7252 411.4065 -0.08628438 0.06020177
Moved 1675.868 316.5436 406.4077 -0.1005935 0.04734483
Moved 1675.882 310.8049 402.1036 -0.1138776 0.03627475
Moved 1675.898 306.7935 398.529 -0.1231632 0.02708066
Moved 1675.915 301.3162 394.4872 -0.1358421 0.0166851
Moved 1675.93 297.1664 391.7776 -0.1454483 0.0097159
Moved 1675.946 291.8164 387.8623 -0.1578324 -0.0003541546
Moved 1675.96 288.9582 386.9861 -0.1644486 -0.002607848
Moved 1675.977 284.3225 383.8817 -0.1751794 -0.01059254
Moved 1675.992 281.0048 382.0024 -0.1828592 -0.01542605
Moved 1676.014 275.2491 378.1246 -0.1961825 -0.02539984
Stationary 1676.026 275.2491 378.1246 -0.1961825 -0.02539984
Moved 1676.038 273.6862 378 -0.1998004 -0.02572024
Moved 1676.053 271.2481 376.2481 -0.2054441 -0.03022614
Moved 1676.069 270.1027 376 -0.2080957 -0.03086435
Moved 1676.084 267.4025 374.7012 -0.2143461 -0.03420473
Moved 1676.1 266.2617 374 -0.2169868 -0.03600823
Moved 1676.115 263.6458 372.8229 -0.2230422 -0.03903589
Moved 1676.131 262.3831 372.3831 -0.2259651 -0.04016711
Moved 1676.146 259.8908 372 -0.2317343 -0.04115226
Moved 1676.161 257.5052 371 -0.2372564 -0.04372435
Moved 1676.177 255.6211 370.3105 -0.2416177 -0.04549764
Moved 1676.193 253.9825 370 -0.245411 -0.04629637
Moved 1676.206 252.5437 370 -0.2487413 -0.04629637
Stationary 1676.225 252.5437 370 -0.2487413 -0.04629637
Moved 1676.237 250.67 369 -0.2530788 -0.04886839
Stationary 1676.254 250.67 369 -0.2530788 -0.04886839
Moved 1676.271 250 369 -0.2546296 -0.04886839
Ended 1676.285 250 369 -0.2546296 -0.04886839
Candidates 1676.452 12 said did aid aids caps cross asia various ceos basis cautious gaps
Began 1677.174 456 404 0.2222222 0.04115226
Stationary 1677.194 456 404 0.2222222 0.04115226
Stationary 1677.209 456 404 0.2222222 0.04115226
Moved 1677.224 449.7277 404 0.207703 0.04115226
Moved 1677.24 440.6396 404 0.1866658 0.04115226
Moved 1677.255 426 417.5 0.1527777 0.0758744
Moved 1677.27 409.5771 416.9038 0.1147617 0.07434099
Moved 1677.286 389.6953 419.7578 0.06873906 0.08168153
Moved 1677.301 377.283 421.7257 0.04000684 0.08674295
Moved 1677.317 345.3987 426.7792 -0.03379926 0.09974059
Moved 1677.333 323.6396 429.7147 -0.08416767 0.1072909
Moved 1677.348 301.9502 430 -0.1343745 0.1080246
Moved 1677.364 281.6523 431.2391 -0.1813603 0.1112117
Moved 1677.38 266.9025 431 -0.2155034 0.1105966
Moved 1677.395 253.9414 431 -0.2455061 0.1105966
Moved 1677.409 244.7597 431 -0.2667599 0.1105966
Moved 1677.425 228.3454 431 -0.3047561 0.1105966
Moved 1677.441 216.4724 431 -0.3322399 0.1105966
Moved 1677.456 208 431 -0.3518518 0.1105966
Moved 1677.472 201.2951 431 -0.3673725 0.1105966
Moved 1677.487 196.8619 431 -0.3776344 0.1105966
Moved 1677.51 192.1067 431 -0.3886419 0.1105966
Stationary 1677.521 192.1067 431 -0.3886419 0.1105966
Moved 1677.532 190.6281 431 -0.3920645 0.1105966
Moved 1677.548 190.1819 431 -0.3930974 0.1105966
Ended 1677.565 190 431 -0.3935185 0.1105966
Accept 1677.605 1 did
Began 1678.407 371 468 0.025463 0.2057612
Stationary 1678.428 371 468 0.025463 0.2057612
Stationary 1678.442 371 468 0.025463 0.2057612
Stationary 1678.46 371 468 0.025463 0.2057612
Stationary 1678.474 371 468 0.025463 0.2057612
Stationary 1678.489 371 468 0.025463 0.2057612
Stationary 1678.503 371 468 0.025463 0.2057612
Stationary 1678.519 371 468 0.025463 0.2057612
Stationary 1678.534 371 468 0.025463 0.2057612
Moved 1678.55 371 480.8817 0.025463 0.2388931
Stationary 1678.566 371 480.8817 0.025463 0.2388931
Moved 1678.58 362.5 483 0.005787015 0.2443414
Moved 1678.596 361.5 483.5 0.003472269 0.2456274
Moved 1678.612 360.8763 486.371 0.002028545 0.2530118
Moved 1678.626 360 488.3354 0 0.2580644
Moved 1678.641 359.0352 489.9648 -0.002233287 0.262255
Moved 1678.658 358.5 490.5 -0.003472219 0.2636316
Moved 1678.673 358.1349 492.7302 -0.004317413 0.2693678
Moved 1678.689 357.5 494 -0.005787015 0.2726337
Moved 1678.705 357 494.7618 -0.006944438 0.274593
Moved 1678.72 355.8002 495 -0.009721817 0.2752057
Moved 1678.736 356 496.5 -0.009259283 0.2790637
Stationary 1678.749 356 496.5 -0.009259283 0.2790637
Moved 1678.766 356 497.3197 -0.009259283 0.281172
Moved 1678.781 355 497.6187 -0.01157408 0.2819409
Moved 1678.797 355 498.5 -0.01157408 0.2842077
Moved 1678.812 355 499.2498 -0.01157408 0.2861363
Moved 1678.829 354 499.9377 -0.01388888 0.2879056
Moved 1678.85 354 501.3246 -0.01388888 0.2914728
Stationary 1678.862 354 501.3246 -0.01388888 0.2914728
Stationary 1678.873 354 501.3246 -0.01388888 0.2914728
Moved 1678.888 353 502 -0.01620372 0.2932098
Moved 1678.903 353 503.5 -0.01620372 0.2970678
Moved 1678.922 353 504.1 -0.01620372 0.2986111
Moved 1678.935 353 504.6396 -0.01620372 0.2999991
Moved 1678.95 353 506.0743 -0.01620372 0.303689
Stationary 1678.966 353 506 -0.01620372 0.3034978
Moved 1678.982 361.1538 508 0.002670785 0.3086419
Moved 1678.998 377.6927 509.063 0.04095535 0.3113759
Moved 1679.013 395.0397 509.5033 0.0811104 0.3125084
Moved 1679.028 414.2465 510 0.1255707 0.3137859
Moved 1679.044 423.5 510 0.1469907 0.3137859
Moved 1679.058 436.5853 510 0.1772807 0.3137859
Stationary 1679.075 436.5853 510 0.1772807 0.3137859
Moved 1679.089 474 510 0.2638889 0.3137859
Moved 1679.104 481 510 0.2800926 0.3137859
Moved 1679.12 488.9317 502.4565 0.2984529 0.2943838
Moved 1679.136 500.421 503 0.3250485 0.2957818
Moved 1679.151 508.0565 503 0.3427233 0.2957818
Moved 1679.166 512.3 503 0.3525463 0.2957818
Moved 1679.182 515.5087 503 0.3599738 0.2957818
Moved 1679.198 518.451 503 0.3667848 0.2957818
Moved 1679.213 520.6642 503 0.371908 0.2957818
Moved 1679.228 522.103 503 0.3752383 0.2957818
Moved 1679.244 523.5 503 0.3784722 0.2957818
Moved 1679.259 524.9833 503 0.3819058 0.2957818
Stationary 1679.275 525 503 0.3819444 0.2957818
Moved 1679.29 526 503 0.3842592 0.2957818
Moved 1679.304 526.9633 503 0.3864891 0.2957818
Moved 1679.328 527.5 503 0.3877315 0.2957818
Stationary 1679.339 527.5 503 0.3877315 0.2957818
Moved 1679.351 528.249 503 0.3894652 0.2957818
Stationary 1679.366 528.249 503 0.3894652 0.2957818
Stationary 1679.381 528.249 503 0.3894652 0.2957818
Moved 1679.396 529.078 503 0.3913842 0.2957818
Stationary 1679.411 529.078 503 0.3913842 0.2957818
Stationary 1679.427 529.078 503 0.3913842 0.2957818
Stationary 1679.443 529.078 503 0.3913842 0.2957818
Moved 1679.459 530.1442 503 0.3938522 0.2957818
Stationary 1679.474 530.1442 503 0.3938522 0.2957818
Ended 1679.49 531 503 0.3958333 0.2957818
Candidates 1679.579 12 to too top tip rio trip tp ttp rip rp tripp group
Began 1680.596 417 391 0.1319444 0.007715971
Stationary 1680.617 417 391 0.1319444 0.007715971
Stationary 1680.632 417 391 0.1319444 0.007715971
Stationary 1680.647 417 391 0.1319444 0.007715971
Ended 1680.661 417 391 0.1319444 0.007715971
NextCandidatePanel 1680.722
Began 1680.766 413 391 0.1226852 0.007715971
Stationary 1680.784 413 391 0.1226852 0.007715971
Stationary 1680.799 413 391 0.1226852 0.007715971
Stationary 1680.815 413 391 0.1226852 0.007715971
Stationary 1680.83 413 391 0.1226852 0.007715971
Stationary 1680.846 413 391 0.1226852 0.007715971
Ended 1680.861 413 391 0.1226852 0.007715971
NextCandidatePanel 1680.924
Began 1681.43 387 384 0.06250004 -0.01028807
Stationary 1681.447 387 384 0.06250004 -0.01028807
Stationary 1681.462 387 384 0.06250004 -0.01028807
Stationary 1681.478 387 384 0.06250004 -0.01028807
Stationary 1681.494 387 384 0.06250004 -0.01028807
Ended 1681.508 387 384 0.06250004 -0.01028807
NextCandidatePanel 1681.569
Began 1681.629 385 372 0.05787035 -0.04115226
Stationary 1681.648 385 372 0.05787035 -0.04115226
Stationary 1681.662 385 372 0.05787035 -0.04115226
Stationary 1681.679 385 372 0.05787035 -0.04115226
Stationary 1681.695 385 372 0.05787035 -0.04115226
Ended 1681.71 385 372 0.05787035 -0.04115226
Cancel 1681.753
Began 1682.708 329 464 -0.07175927 0.1954732
Stationary 1682.728 329 464 -0.07175927 0.1954732
Stationary 1682.742 329 464 -0.07175927 0.1954732
Stationary 1682.757 329 464 -0.07175927 0.1954732
Stationary 1682.772 329 464 -0.07175927 0.1954732
Stationary 1682.787 329 464 -0.07175927 0.1954732
Stationary 1682.803 329 464 -0.07175927 0.1954732
Stationary 1682.818 329 464 -0.07175927 0.1954732
Stationary 1682.833 329 464 -0.07175927 0.1954732
Stationary 1682.85 329 464 -0.07175927 0.1954732
Stationary 1682.865 329 464 -0.07175927 0.1954732
