want to join us for lunch
want to join us for lunch
Basic
0.6 0.6
432 388.8
Began 2081.131 282 462 -0.1805555 0.1903292
Stationary 2081.147 282 462 -0.1805555 0.1903292
Stationary 2081.163 282 462 -0.1805555 0.1903292
Stationary 2081.175 282 462 -0.1805555 0.1903292
Stationary 2081.192 282 462 -0.1805555 0.1903292
Stationary 2081.209 282 462 -0.1805555 0.1903292
Stationary 2081.223 282 462 -0.1805555 0.1903292
Stationary 2081.238 282 462 -0.1805555 0.1903292
Stationary 2081.254 282 462 -0.1805555 0.1903292
Moved 2081.271 272.0504 462 -0.2035871 0.1903292
Moved 2081.286 270.2115 462 -0.2078438 0.1903292
Moved 2081.302 268.1728 467.7902 -0.2125629 0.2052217
Moved 2081.317 266.731 469 -0.2159005 0.2083333
Moved 2081.333 265.2901 469.71 -0.219236 0.2101593
Moved 2081.348 263.8481 470 -0.2225738 0.2109053
Moved 2081.363 262.8224 470 -0.2249481 0.2109053
Moved 2081.378 261.3243 471 -0.228416 0.2134772
Moved 2081.393 259.8791 471 -0.2317614 0.2134772
Moved 2081.409 259 471.5605 -0.2337963 0.2149191
Moved 2081.425 258.0052 472 -0.2360992 0.2160493
Moved 2081.438 256.5583 472 -0.2394484 0.2160493
Moved 2081.454 256.122 473 -0.2404583 0.2186213
Moved 2081.47 254.9909 473 -0.2430767 0.2186213
Stationary 2081.487 254.9909 473 -0.2430767 0.2186213
Moved 2081.5 253.6261 474.374 -0.246236 0.2221552
Moved 2081.517 252.8345 474 -0.2480683 0.2211934
Moved 2081.532 252 474.7697 -0.25 0.2231731
Moved 2081.549 250.7915 475 -0.2527975 0.2237653
Moved 2081.563 250 475.6482 -0.2546296 0.2254325
Moved 2081.578 249.1855 476 -0.2565149 0.2263374
Moved 2081.593 247.8086 477.1915 -0.2597024 0.2294018
Moved 2081.609 247 477.633 -0.2615741 0.2305374
Moved 2081.624 245.9283 478 -0.2640549 0.2314814
Moved 2081.64 244.4852 479.5148 -0.2673953 0.2353776
Moved 2081.656 243.0451 480 -0.270729 0.2366254
Moved 2081.671 241.6064 481.3936 -0.2740593 0.2402098
Moved 2081.687 242 482.5 -0.2731481 0.2430555
Moved 2081.702 240.0935 483 -0.2775613 0.2443414
Moved 2081.718 238.6547 484.3453 -0.2808919 0.2478016
Stationary 2081.732 238.6547 484.3453 -0.2808919 0.2478016
Moved 2081.748 236.7738 485 -0.2852459 0.2494856
Moved 2081.766 234.3328 485 -0.2908962 0.2494856
Moved 2081.779 232.9004 485 -0.294212 0.2494856
Moved 2081.794 231.5 485 -0.2974537 0.2494856
Moved 2081.809 230.3432 485 -0.3001314 0.2494856
Moved 2081.824 227.7921 485 -0.3060369 0.2494856
Moved 2081.84 222.8336 474.2089 -0.3175147 0.2217306
Moved 2081.856 215.1339 460.2455 -0.3353381 0.1858167
Moved 2081.871 206.477 442.9541 -0.3553772 0.1413428
Moved 2081.887 201.415 428.1067 -0.3670949 0.103155
Moved 2081.902 195.7866 410.0565 -0.3801236 0.05672969
Moved 2081.918 191.864 401.16 -0.3892037 0.03384763
Moved 2081.933 184.8379 383.011 -0.4054677 -0.01283167
Moved 2081.948 180.1867 370.8311 -0.4162346 -0.04415873
Moved 2081.964 175.8788 359.3433 -0.4262066 -0.07370544
Moved 2081.98 173.8542 352.4167 -0.4308931 -0.09152079
Moved 2081.996 172.4171 347.2513 -0.4342196 -0.1048062
Moved 2082.01 169.9532 342.9299 -0.439923 -0.1159212
Moved 2082.026 170 340.8024 -0.4398148 -0.1213931
Moved 2082.04 169 339.4281 -0.4421296 -0.1249278
Moved 2082.055 169 337.9882 -0.4421296 -0.1286313
Stationary 2082.071 169 337.9882 -0.4421296 -0.1286313
Moved 2082.086 169 337.1052 -0.4421296 -0.1309023
Moved 2082.102 169 336.5 -0.4421296 -0.1324588
Stationary 2082.12 169 336.5 -0.4421296 -0.1324588
Moved 2082.148 169 334.6766 -0.4421296 -0.1371487
Moved 2082.164 192.0471 329.6815 -0.3887799 -0.1499963
Moved 2082.18 213.059 322.9803 -0.3401411 -0.1672317
Moved 2082.196 240.5101 313.8533 -0.2765971 -0.1907064
Moved 2082.212 271.8298 302.3346 -0.2040977 -0.2203329
Moved 2082.226 295.5 289.5 -0.1493056 -0.2533437
Moved 2082.24 308.2049 283.7516 -0.119896 -0.2681286
Moved 2082.257 327.6502 274.6966 -0.07488386 -0.2914183
Moved 2082.271 346.2228 265.626 -0.03189166 -0.314748
Moved 2082.286 360.2122 257.5252 0.0004911423 -0.3355834
Moved 2082.302 371.8074 248.8944 0.02733191 -0.3577819
Moved 2082.319 381.5434 243.8323 0.04986902 -0.3708017
Moved 2082.332 387.9821 239.2634 0.06477336 -0.382553
Moved 2082.348 393 237 0.07638891 -0.3883744
Moved 2082.365 396.3707 233.4196 0.08419146 -0.3975835
Moved 2082.38 400.6957 231.7681 0.09420305 -0.4018312
Moved 2082.396 403.3458 228.6542 0.1003375 -0.4098401
Moved 2082.411 406.2232 226.8884 0.1069982 -0.4143817
Moved 2082.427 407.5475 225.4525 0.1100637 -0.4180749
Moved 2082.442 409.9669 224.0165 0.1156642 -0.4217683
Moved 2082.457 410 222.5737 0.1157407 -0.4254791
Moved 2082.473 411.3772 223 0.1189288 -0.4243828
Moved 2082.487 413.8983 222 0.1247646 -0.4269547
Moved 2082.513 416.8205 221 0.1315289 -0.4295268
Moved 2082.526 418.2706 221 0.1348856 -0.4295268
Stationary 2082.535 418.2706 221 0.1348856 -0.4295268
Stationary 2082.548 418.2706 221 0.1348856 -0.4295268
Moved 2082.564 419.0496 221 0.1366888 -0.4295268
Stationary 2082.58 419 221 0.1365741 -0.4295268
Stationary 2082.595 419 221 0.1365741 -0.4295268
Moved 2082.61 419 232.672 0.1365741 -0.3995062
Moved 2082.626 409.0031 241.7949 0.1134332 -0.3760419
Moved 2082.642 400.774 256.4144 0.09438425 -0.3384405
Moved 2082.659 389.2229 278.0821 0.06764551 -0.2827107
Moved 2082.672 378.6062 295.9608 0.04307002 -0.2367265
Moved 2082.688 371.908 309.184 0.02756486 -0.2027161
Moved 2082.703 358.8669 335.2662 -0.002622952 -0.1356322
Moved 2082.72 353.4126 346.9686 -0.01524871 -0.1055335
Moved 2082.734 346.3117 361.3766 -0.03168593 -0.0684757
Moved 2082.749 338.0977 380.8047 -0.05069986 -0.01850654
Moved 2082.765 332.1345 397.5966 -0.06450355 0.02468242
Moved 2082.78 327.0298 411.5674 -0.07632002 0.06061585
Moved 2082.796 323.5888 423.0374 -0.08428524 0.09011653
Moved 2082.812 320.6571 433.2001 -0.09107152 0.1162554
Moved 2082.825 318.3904 444.6574 -0.09631842 0.1457237
Moved 2082.841 316.9569 454.3019 -0.09963686 0.1705294
Moved 2082.857 315.5052 461.4739 -0.1029972 0.188976
Moved 2082.872 315 468.6597 -0.1041667 0.2074579
Moved 2082.888 313.6292 474.4833 -0.1073399 0.2224365
Moved 2082.903 314 479.8373 -0.1064815 0.2362071
Moved 2082.919 314 484.6951 -0.1064815 0.2487012
Moved 2082.934 314 487.7324 -0.1064815 0.2565134
Moved 2082.95 314 491.4202 -0.1064815 0.2659984
Moved 2082.966 314 494.4911 -0.1064815 0.2738969
Moved 2082.981 314 496.6871 -0.1064815 0.279545
Moved 2082.996 314 499.2517 -0.1064815 0.2861412
Moved 2083.011 314 502 -0.1064815 0.2932098
Moved 2083.028 314 503.6548 -0.1064815 0.2974659
Moved 2083.043 314 506.189 -0.1064815 0.3039839
Moved 2083.058 314 507.5 -0.1064815 0.3073559
Moved 2083.073 314 509.9777 -0.1064815 0.3137284
Moved 2083.089 314 512.841 -0.1064815 0.321093
Moved 2083.104 314 513.858 -0.1064815 0.3237088
