this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Began 735.4357 310 542 -0.1157407 0.3960905
Stationary 735.4551 310 542 -0.1157407 0.3960905
Stationary 735.4681 310 542 -0.1157407 0.3960905
Stationary 735.4843 310 542 -0.1157407 0.3960905
Stationary 735.4999 310 542 -0.1157407 0.3960905
Stationary 735.5145 310 542 -0.1157407 0.3960905
Stationary 735.53 310 542 -0.1157407 0.3960905
Stationary 735.5453 310 542 -0.1157407 0.3960905
Stationary 735.5613 310 542 -0.1157407 0.3960905
Moved 735.5772 323.8202 520.4748 -0.08374964 0.3407272
Moved 735.5927 340.5001 500.9166 -0.0451386 0.2904232
Moved 735.6084 352.9636 484.1406 -0.01628796 0.247275
Moved 735.623 363.011 469.4835 0.006969969 0.2095767
Moved 735.6389 371 459 0.025463 0.1826131
Moved 735.6539 376.4178 450.5316 0.03800412 0.1608321
Moved 735.6693 383.6118 443.5106 0.05465686 0.142774
Moved 735.6873 387.2375 438.7625 0.06304969 0.1305619
Moved 735.6993 390.109 436.9455 0.06969671 0.1258886
Moved 735.7149 392.9925 435.5038 0.07637154 0.1221804
Moved 735.7307 395.8753 435 0.08304467 0.1208847
Moved 735.7455 398.7531 435 0.08970619 0.1208847
Moved 735.7615 406.3503 440.3171 0.1072924 0.1345603
Moved 735.7849 438.4889 473.863 0.1816873 0.220841
Stationary 735.7968 438.4889 473.863 0.1816873 0.220841
Moved 735.8096 456.103 492.7236 0.2224605 0.2693507
Moved 735.824 470.4407 508.6848 0.2556499 0.3104032
Moved 735.8387 480.1049 522.1573 0.2780205 0.3450547
Moved 735.8549 486.4807 532.8411 0.2927793 0.3725337
Moved 735.8707 490.6569 541.3138 0.3024466 0.3943257
Moved 735.8872 492.6549 548.2744 0.3070715 0.4122282
Moved 735.9008 494.0917 553.2751 0.3103974 0.4250903
Moved 735.9166 494 556 0.3101851 0.4320986
Moved 735.9317 494 557.9749 0.3101851 0.4371782
Moved 735.9465 494 560.8434 0.3101851 0.4445559
Moved 735.9619 494 561.8495 0.3101851 0.4471436
