exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Began 1627.452 411 437 0.1180555 0.1260288
Stationary 1627.463 411 437 0.1180555 0.1260288
Stationary 1627.475 411 437 0.1180555 0.1260288
Stationary 1627.489 411 437 0.1180555 0.1260288
Stationary 1627.505 411 437 0.1180555 0.1260288
Stationary 1627.521 411 437 0.1180555 0.1260288
Stationary 1627.538 411 437 0.1180555 0.1260288
Stationary 1627.552 411 437 0.1180555 0.1260288
Stationary 1627.568 411 437 0.1180555 0.1260288
Moved 1627.584 394.3053 446.3725 0.07941048 0.150135
Moved 1627.599 388.8572 450.1224 0.06679912 0.1597797
Moved 1627.615 372.3242 465.6758 0.02852827 0.1997833
Moved 1627.632 365.7371 473.7155 0.01328041 0.2204614
Moved 1627.646 358.8302 482.4622 -0.002707789 0.2429583
Moved 1627.661 347.8323 497.8683 -0.02816603 0.2825831
Moved 1627.675 340 509.5 -0.04629632 0.3124999
Moved 1627.693 335.3954 514.2557 -0.05695512 0.3247318
Moved 1627.707 330.893 521.1783 -0.06737739 0.3425369
Moved 1627.723 328.1539 526.6922 -0.07371783 0.3567185
Moved 1627.738 326.7603 528.3595 -0.07694364 0.3610068
Moved 1627.754 322.817 534.5491 -0.08607184 0.3769265
Moved 1627.768 320 537 -0.09259259 0.3832304
Moved 1627.784 319.7486 538.5028 -0.09317453 0.3870956
Moved 1627.799 316.9854 542.0293 -0.09957095 0.3961658
Moved 1627.815 315.601 543.399 -0.1027754 0.3996886
Moved 1627.829 314.9171 544.0829 -0.1043584 0.4014476
Moved 1627.845 313.8533 545 -0.1068211 0.4038065
Stationary 1627.861 314 545 -0.1064815 0.4038065
Moved 1627.876 312.7921 546.2079 -0.1092775 0.4069132
Stationary 1627.891 312.7921 546.2079 -0.1092775 0.4069132
Stationary 1627.906 312.7921 546.2079 -0.1092775 0.4069132
Stationary 1627.923 313 546 -0.1087963 0.4063785
Stationary 1627.939 313 546 -0.1087963 0.4063785
Moved 1627.953 313 528.4911 -0.1087963 0.3613454
Moved 1627.969 313 520.175 -0.1087963 0.3399562
Moved 1627.985 313 485.0643 -0.1087963 0.2496509
Moved 1628 313 466.7737 -0.1087963 0.2026074
Moved 1628.016 313 458.5176 -0.1087963 0.1813724
Moved 1628.031 313 436.3112 -0.1087963 0.124257
Moved 1628.047 313 419.7639 -0.1087963 0.08169723
Moved 1628.061 313 414.7191 -0.1087963 0.06872177
Moved 1628.078 320 397.4617 -0.09259259 0.02433545
Moved 1628.093 320 383.6392 -0.09259259 -0.01121599
Moved 1628.108 320 377.4299 -0.09259259 -0.02718647
Moved 1628.125 320 360.7603 -0.09259259 -0.07006099
Moved 1628.139 320 358.7463 -0.09259259 -0.07524113
