players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Moved 768.5472 197.2339 398.6169 -0.3767733 0.02730687
Moved 768.5632 191.4993 395.7496 -0.390048 0.01993207
Moved 768.5816 185.7108 392.8554 -0.4034473 0.01248811
Moved 768.5937 181.9748 392 -0.4120954 0.01028803
Moved 768.6116 179.0966 390.5483 -0.4187578 0.006554293
Moved 768.6249 178.0986 391 -0.421068 0.007715971
Moved 768.641 177.5 391 -0.4224537 0.007715971
Moved 768.6564 176.827 391 -0.4240116 0.007715971
Moved 768.6713 176.1536 391 -0.4255704 0.007715971
Stationary 768.6867 176 391 -0.4259259 0.007715971
Stationary 768.7015 176 391 -0.4259259 0.007715971
Moved 768.7173 176 405.7924 -0.4259259 0.04576216
Moved 768.7339 194.8414 421.2362 -0.3823117 0.08548398
Moved 768.7482 210.5713 434.9999 -0.3458998 0.1208844
Moved 768.7637 232.6677 452.0008 -0.2947506 0.164611
Moved 768.7813 257.4307 466.6177 -0.2374289 0.2022061
Moved 768.7946 286.7217 485.4811 -0.1696257 0.2507231
Moved 768.811 318.5118 502.7337 -0.09603748 0.2950968
Moved 768.8277 344.4405 515.2613 -0.0360173 0.3273181
Moved 768.8412 369.2112 525.5576 0.02132207 0.3538002
Moved 768.8566 382.5 530.5 0.05208333 0.3665122
Moved 768.8718 390.4106 532.7642 0.07039478 0.3723358
Moved 768.8883 396.2866 535.6432 0.08399665 0.3797407
Moved 768.9033 399.5287 536.7643 0.09150176 0.3826242
Moved 768.9183 402.4111 537 0.09817382 0.3832304
Moved 768.9361 403.6465 538 0.1010336 0.3858024
Moved 768.9494 404 539.0804 0.1018518 0.3885813
Moved 768.9637 405.5 539 0.1053241 0.3883744
Moved 768.981 406.5 539 0.1076389 0.3883744
Moved 768.9952 406 540.0524 0.1064815 0.3910812
Stationary 769.0117 406 540 0.1064815 0.3909464
Stationary 769.0259 406 540 0.1064815 0.3909464
Stationary 769.0457 406 540 0.1064815 0.3909464
Stationary 769.0568 406 540 0.1064815 0.3909464
Stationary 769.0714 406 540 0.1064815 0.3909464
Moved 769.0872 407.3181 540 0.1095326 0.3909464
Moved 769.105 407.853 540 0.1107709 0.3909464
Moved 769.1171 408.5 540 0.1122685 0.3909464
Moved 769.1332 409.3685 540 0.1142789 0.3909464
Stationary 769.1479 409 540 0.113426 0.3909464
Moved 769.1645 409 535.0808 0.113426 0.3782941
Moved 769.1822 398.4196 529.8839 0.08893421 0.3649276
Moved 769.1954 394.6301 526.7226 0.08016229 0.3567967
Moved 769.2115 382.9968 521.8562 0.05323321 0.3442802
Moved 769.2266 369.8656 516.9462 0.02283702 0.3316517
Moved 769.242 356.9274 514.095 -0.007112423 0.3243182
Moved 769.2581 335.5861 509.423 -0.0565136 0.3123018
Moved 769.272 314.1087 505.0217 -0.1062298 0.3009818
Moved 769.2874 292.366 501.8976 -0.1565601 0.2929464
Moved 769.3033 275.2166 498.2433 -0.1962578 0.2835476
Moved 769.3185 254.078 494.0156 -0.2451899 0.2726737
Moved 769.3344 239.3188 491.4637 -0.2793548 0.2661104
Moved 769.3496 226.1037 489.7893 -0.3099451 0.2618037
Moved 769.3661 220.3998 490 -0.3231487 0.2623456
Moved 769.3801 216.8239 490 -0.3314262 0.2623456
Moved 769.3964 213.4085 490 -0.3393322 0.2623456
Moved 769.4124 211.2815 490 -0.3442557 0.2623456
Moved 769.4272 209.9419 490 -0.3473566 0.2623456
Moved 769.4423 208.5056 490 -0.3506815 0.2623456
Moved 769.4569 207.0665 490 -0.3540128 0.2623456
Moved 769.4734 206.5 490 -0.3553241 0.2623456
Moved 769.4876 206 490 -0.3564815 0.2623456
Stationary 769.5027 206 490 -0.3564815 0.2623456
Stationary 769.5176 206 490 -0.3564815 0.2623456
Moved 769.5355 205 490 -0.3587963 0.2623456
Moved 769.5569 205 498.7159 -0.3587963 0.284763
Stationary 769.5684 205 498.7159 -0.3587963 0.284763
Moved 769.5802 205 501.3116 -0.3587963 0.2914394
Moved 769.5964 209.2003 504.8001 -0.3490734 0.3004117
Moved 769.6111 217.1832 510.1466 -0.3305943 0.314163
Moved 769.6283 224.3385 515.8708 -0.3140312 0.3288859
Moved 769.6432 234.1886 520.8826 -0.2912301 0.341776
Moved 769.6581 245.2087 525.0596 -0.2657205 0.3525195
Moved 769.6747 256.7814 529.418 -0.238932 0.3637294
Moved 769.6901 269.3502 531.9072 -0.2098375 0.3701315
Moved 769.7039 279.3741 533.3392 -0.1866341 0.3738146
Moved 769.719 289.5569 534.7938 -0.1630628 0.377556
Moved 769.7359 297.1675 535 -0.1454455 0.3780863
Moved 769.751 303.3389 535 -0.13116 0.3780863
Moved 769.7663 308.2413 535 -0.1198118 0.3780863
Moved 769.7809 312.5384 535 -0.1098649 0.3780863
Moved 769.7965 314.2457 535 -0.1059127 0.3780863
Moved 769.812 316 535 -0.1018519 0.3780863
Stationary 769.8265 316.2507 535 -0.1012715 0.3780863
Stationary 769.842 316 535 -0.1018519 0.3780863
Stationary 769.858 316 535 -0.1018519 0.3780863
