come and see our new car
come and see our new car
Basic
0.6 0.6
432 388.8
Moved 155.7634 213.437 415.6504 -0.3392662 0.07111721
Moved 155.7779 210.444 419.834 -0.3461944 0.08187745
Moved 155.7932 207.3545 422.6455 -0.3533461 0.08910869
Ended 155.8107 207 423 -0.3541667 0.09002049
Candidates 155.9766 12 and anna dana aand sand canada dance fans wanna dna anne save
Began 156.3905 382 284 0.05092591 -0.2674897
Stationary 156.4137 382 284 0.05092591 -0.2674897
Stationary 156.4277 382 284 0.05092591 -0.2674897
Stationary 156.4428 382 284 0.05092591 -0.2674897
Stationary 156.4585 382 284 0.05092591 -0.2674897
Stationary 156.4746 382 284 0.05092591 -0.2674897
Moved 156.4868 382 293.0622 0.05092591 -0.2441816
Moved 156.5043 382 295.8543 0.05092591 -0.2370003
Moved 156.5181 382 304.5181 0.05092591 -0.2147168
Moved 156.5337 389.5412 316.5412 0.06838252 -0.1837932
Moved 156.5501 393.4261 328.9174 0.07737518 -0.1519614
Moved 156.5652 396.7366 343.3675 0.08503835 -0.1147955
Moved 156.5797 399.8773 359.2642 0.09230872 -0.07390921
Moved 156.5966 402.6205 371.7921 0.09865851 -0.04168703
Moved 156.6113 402 378.0204 0.09722222 -0.02566773
Moved 156.6266 402 382.0857 0.09722222 -0.01521177
Moved 156.6415 402 386.1547 0.09722222 -0.004746197
Moved 156.6568 402 388.8333 0.09722222 0.002143255
Moved 156.6727 402 389.7842 0.09722222 0.004589057
Moved 156.6878 402 391.1491 0.09722222 0.008099442
Moved 156.7039 402 392.5 0.09722222 0.01157403
Ended 156.7175 402 392.5 0.09722222 0.01157403
Accept 156.7765 0 and
Began 156.9007 188 360 -0.3981482 -0.07201654
Stationary 156.9201 188 360 -0.3981482 -0.07201654
Stationary 156.9344 188 360 -0.3981482 -0.07201654
Stationary 156.9494 188 360 -0.3981482 -0.07201654
Stationary 156.9644 188 360 -0.3981482 -0.07201654
Stationary 156.9795 188 360 -0.3981482 -0.07201654
Stationary 156.9947 188 360 -0.3981482 -0.07201654
Moved 157.0101 188 373.1819 -0.3981482 -0.03811251
Moved 157.0261 188 380.2437 -0.3981482 -0.01994953
Moved 157.042 188 397.0734 -0.3981482 0.0233368
Moved 157.0574 199.0986 417.3943 -0.372457 0.07560255
Moved 157.0723 204.6031 435.96 -0.3597151 0.1233538
Moved 157.0957 219.2405 481.2278 -0.3258322 0.2397835
Stationary 157.1068 219.2405 481.2278 -0.3258322 0.2397835
Moved 157.1189 224.9665 499.1412 -0.3125774 0.285857
Moved 157.1348 231.5 512.5 -0.2974537 0.3202159
Moved 157.152 235.7518 521.8796 -0.2876115 0.3443404
Moved 157.1648 240.0661 531.1323 -0.2776247 0.3681385
Moved 157.1805 244.1837 542.1565 -0.2680933 0.396493
Moved 157.1961 251.7557 551.5069 -0.2505655 0.4205423
Moved 157.2118 257.4318 558.5398 -0.2374263 0.4386311
Moved 157.2271 262.8778 565.3472 -0.22482 0.4561398
Moved 157.2423 265.6685 569.337 -0.2183599 0.4664018
Moved 157.2583 267.8163 571.8163 -0.2133883 0.4727784
Moved 157.2741 269.2371 573.2371 -0.2100994 0.4764327
Moved 157.2894 269.5989 574 -0.2092619 0.478395
Moved 157.3054 270 574.9601 -0.2083333 0.4808643
Ended 157.3201 270 575 -0.2083333 0.480967
Candidates 157.4567 12 are see aw ar art sweet saw ser asset se set at
Began 158.2244 370 364 0.02314816 -0.06172839
Stationary 158.2461 370 364 0.02314816 -0.06172839
Stationary 158.2606 370 364 0.02314816 -0.06172839
Stationary 158.2741 370 364 0.02314816 -0.06172839
Stationary 158.2885 370 364 0.02314816 -0.06172839
Moved 158.3071 354.6317 364 -0.01242652 -0.06172839
Moved 158.3215 344.9323 364 -0.03487905 -0.06172839
Moved 158.3352 334.5 364 -0.05902777 -0.06172839
Moved 158.3526 320.4481 364 -0.09155528 -0.06172839
Moved 158.3671 308.6988 364 -0.1187528 -0.06172839
Moved 158.383 299.3715 364 -0.1403439 -0.06172839
Moved 158.3981 292.554 364 -0.156125 -0.06172839
Moved 158.4131 286.9756 364 -0.169038 -0.06172839
Moved 158.4347 280.0351 364 -0.1851038 -0.06172839
Stationary 158.4448 280.0351 364 -0.1851038 -0.06172839
Moved 158.4605 277.9336 364 -0.1899685 -0.06172839
Moved 158.4741 276.5932 364 -0.1930714 -0.06172839
Moved 158.49 276 364 -0.1944444 -0.06172839
Moved 158.5051 274.8604 364 -0.1970823 -0.06172839
Stationary 158.521 274.8604 364 -0.1970823 -0.06172839
Moved 158.5366 273.6453 364 -0.1998952 -0.06172839
Moved 158.5541 274 371.8561 -0.199074 -0.04152227
Stationary 158.5685 274 371.8561 -0.199074 -0.04152227
Ended 158.5822 274 371 -0.199074 -0.04372435
Accept 158.6244 1 see
Began 158.9046 512 484 0.3518519 0.2469135
Stationary 158.9218 512 484 0.3518519 0.2469135
Stationary 158.9351 512 484 0.3518519 0.2469135
Stationary 158.9519 512 484 0.3518519 0.2469135
Stationary 158.9672 512 484 0.3518519 0.2469135
Moved 158.9828 503.4908 484 0.3321546 0.2469135
Moved 158.9988 495.3174 484 0.3132347 0.2469135
Moved 159.0151 485.5 484 0.2905093 0.2469135
Moved 159.03 474.4631 489.7976 0.2649609 0.261825
Moved 159.0455 459.5419 495.8916 0.230421 0.2774989
Moved 159.0605 444.5952 498.6191 0.1958222 0.284514
Moved 159.0762 432.9109 501.3531 0.1687753 0.2915461
Moved 159.0913 420.6724 504.0728 0.1404453 0.298541
Moved 159.1069 406.9619 508.2114 0.1087082 0.3091857
Moved 159.1217 399.6363 508.7662 0.09175072 0.3106127
Moved 159.1377 393.6907 509.8619 0.07798771 0.3134307
Moved 159.1601 379.2628 511 0.04458984 0.3163579
Stationary 159.1712 379.2628 511 0.04458984 0.3163579
Moved 159.1838 372.1729 511 0.0281779 0.3163579
Moved 159.1991 364.0184 511 0.0093019 0.3163579
Moved 159.2149 356.089 511 -0.00905325 0.3163579
Moved 159.2298 346.5234 511 -0.03119583 0.3163579
Moved 159.2481 338.4027 511 -0.04999374 0.3163579
Moved 159.2618 331.6503 511 -0.06562421 0.3163579
Moved 159.2761 320.0865 511 -0.09239241 0.3163579
Moved 159.2916 313.0946 511 -0.1085774 0.3163579
Moved 159.3073 306.8035 511 -0.12314 0.3163579
Moved 159.3222 300.4052 511 -0.137951 0.3163579
Moved 159.3369 297.4316 511 -0.1448343 0.3163579
Moved 159.3526 296.3519 511 -0.1473336 0.3163579
Moved 159.3681 295.2249 511 -0.1499425 0.3163579
Stationary 159.3835 295 511 -0.150463 0.3163579
Ended 159.4013 295 511 -0.150463 0.3163579
Candidates 159.5835 12 or our it out poor port pr pure per pie pre pour
Began 160.2283 414 368 0.125 -0.05144041
Stationary 160.2488 414 368 0.125 -0.05144041
Stationary 160.2647 414 368 0.125 -0.05144041
Stationary 160.2799 414 368 0.125 -0.05144041
Stationary 160.2922 414 368 0.125 -0.05144041
Moved 160.3078 401.7525 368 0.09664922 -0.05144041
Moved 160.33 384.3596 368 0.05638788 -0.05144041
Stationary 160.3408 384.3596 368 0.05638788 -0.05144041
Moved 160.3548 378.01 368 0.04168987 -0.05144041
Moved 160.3702 368.5131 368 0.01970619 -0.05144041
Moved 160.3852 359.9264 368 -0.0001704693 -0.05144041
Moved 160.4006 353.6295 368 -0.01474664 -0.05144041
Moved 160.4164 346.7141 368 -0.03075446 -0.05144041
Moved 160.4321 342.7008 368 -0.04004449 -0.05144041
Moved 160.4465 339.6012 368 -0.04721944 -0.05144041
Moved 160.4626 335.5 368 -0.05671298 -0.05144041
Moved 160.4783 334.7253 368 -0.05850613 -0.05144041
Moved 160.4933 333.0049 368 -0.06248872 -0.05144041
Moved 160.5089 331.6253 368 -0.06568223 -0.05144041
Moved 160.5238 330.5 368 -0.06828706 -0.05144041
Moved 160.5387 329.954 368 -0.06955092 -0.05144041
Stationary 160.5556 329.954 368 -0.06955092 -0.05144041
Moved 160.5696 328.6453 368 -0.07258043 -0.05144041
Stationary 160.5854 328.6453 368 -0.07258043 -0.05144041
Stationary 160.6011 329 368 -0.07175927 -0.05144041
Stationary 160.6164 329 368 -0.07175927 -0.05144041
Stationary 160.6322 329 368 -0.07175927 -0.05144041
Ended 160.6467 329 368 -0.07175927 -0.05144041
Accept 160.7051 1 our
Began 160.8913 440 227 0.1851852 -0.4140947
Stationary 160.91 440 227 0.1851852 -0.4140947
Stationary 160.9237 440 227 0.1851852 -0.4140947
Stationary 160.9384 440 227 0.1851852 -0.4140947
Stationary 160.9564 440 227 0.1851852 -0.4140947
Stationary 160.9718 440 227 0.1851852 -0.4140947
Stationary 160.9859 440 227 0.1851852 -0.4140947
Moved 161.0031 423.9963 236.0048 0.1481397 -0.3909343
Moved 161.0176 415.8357 243.1438 0.1292493 -0.3725726
Moved 161.0319 396.5063 255.5316 0.08450548 -0.3407109
Moved 161.0489 384.4408 265.0474 0.05657594 -0.3162362
Moved 161.063 368.5709 280.4291 0.01984 -0.276674
Moved 161.0788 356.5695 292.4305 -0.007940928 -0.2458064
Moved 161.0948 341.2813 307.7187 -0.04333029 -0.2064849
Moved 161.1105 325.3741 324.8447 -0.08015245 -0.1624366
Moved 161.1262 311.5 341.5 -0.1122685 -0.1195988
Moved 161.1414 300.6067 354.3302 -0.1374844 -0.08659935
Moved 161.1568 286.898 372.136 -0.1692176 -0.0408025
Moved 161.1705 278.7206 381.6593 -0.1881467 -0.01630838
Moved 161.1865 270.4727 395.0364 -0.2072392 0.01809775
Moved 161.2033 263.4196 404.8126 -0.2235658 0.0432421
Moved 161.2165 258.074 414.3705 -0.2359399 0.06782535
Moved 161.2311 253.4526 421.2457 -0.2466375 0.08550828
Moved 161.2522 249.363 429.274 -0.2561042 0.1061575
Moved 161.2645 245.2588 438.7295 -0.2656046 0.130477
Moved 161.2788 244.3877 443.837 -0.2676211 0.1436135
Moved 161.2946 243.0185 448.9259 -0.2707905 0.1567023
Moved 161.3106 243 453.0723 -0.2708333 0.167367
Moved 161.324 243 456.4349 -0.2708333 0.1760155
Moved 161.34 243 458.0875 -0.2708333 0.180266
Moved 161.3564 243 460.8879 -0.2708333 0.1874689
Moved 161.3708 243 461.537 -0.2708333 0.1891385
Moved 161.3866 243 462.8983 -0.2708333 0.1926396
Moved 161.403 243 464.2592 -0.2708333 0.1961399
Stationary 161.4176 243 464.2592 -0.2708333 0.1961399
Moved 161.4327 241.6448 465.3552 -0.2739704 0.1989588
Moved 161.4496 239.6666 467.3334 -0.2785495 0.2040467
Moved 161.4634 234.1982 469.4009 -0.2912078 0.2093643
Moved 161.4791 229.7558 470.811 -0.3014913 0.2129913
Moved 161.4947 223.4315 474.3411 -0.3161307 0.2220705
Moved 161.5096 218.0362 475.491 -0.3286199 0.2250281
Moved 161.5257 212.5927 476.8518 -0.3412206 0.2285282
Moved 161.5409 205.9329 478.2134 -0.3566369 0.2320303
Moved 161.5561 200.6674 479.5831 -0.3688254 0.2355533
