that is a very odd question
that is a very odd question
Basic
0.6 0.6
432 388.8
Began 976.6682 301 473 -0.1365741 0.2186213
Stationary 976.6869 301 473 -0.1365741 0.2186213
Stationary 976.7026 301 473 -0.1365741 0.2186213
Stationary 976.7181 301 473 -0.1365741 0.2186213
Stationary 976.7333 301 473 -0.1365741 0.2186213
Stationary 976.7498 301 473 -0.1365741 0.2186213
Stationary 976.7642 301 473 -0.1365741 0.2186213
Moved 976.7794 306.4801 466.8349 -0.1238887 0.2027646
Moved 976.7953 311.9109 462.0594 -0.1113174 0.190482
Moved 976.8109 316.0618 460.6461 -0.1017089 0.1868468
Moved 976.8265 321.9581 458.2605 -0.08805995 0.1807111
Moved 976.8414 326.39 455.74 -0.07780094 0.1742282
Moved 976.8564 332 454.5 -0.06481484 0.171039
Moved 976.8715 337.51 453.1225 -0.05206009 0.1674961
Moved 976.8871 342.9883 450.5059 -0.03937905 0.1607661
Moved 976.9042 346.8275 449.7932 -0.03049195 0.158933
Moved 976.918 355.0193 445.9904 -0.01152943 0.1491521
Moved 976.9336 362.219 442.9124 0.005136629 0.1412355
Moved 976.9487 367.7589 440.1205 0.01796047 0.1340548
Moved 976.9648 372.4509 437.3661 0.02882143 0.1269704
Moved 976.98 377.7627 434.6187 0.04111737 0.1199039
Moved 976.9956 381.7369 429.842 0.05031695 0.1076183
Moved 977.0117 385.2103 426.0529 0.05835712 0.09787268
Moved 977.0258 389.0995 419.8341 0.06736 0.08187777
Moved 977.041 391.8109 414.3783 0.07363627 0.06784529
Moved 977.0569 392 408.7982 0.07407407 0.05349312
Moved 977.0726 392 404.4575 0.07407407 0.04232893
Moved 977.0869 392 400.5 0.07407407 0.03215016
Moved 977.104 392 395.1628 0.07407407 0.01842295
Moved 977.1191 392 391.0121 0.07407407 0.00774721
Moved 977.134 380.4702 389.4378 0.0473848 0.00369798
Moved 977.1493 369.1657 385.4813 0.02121697 -0.006478274
Moved 977.1644 353.3597 382.7266 -0.01537109 -0.01356329
Moved 977.1803 334.8639 383 -0.05818536 -0.01286016
Moved 977.1963 314.6671 383 -0.1049372 -0.01286016
Moved 977.212 293.9057 383 -0.1529961 -0.01286016
Moved 977.2266 278.1791 387.5622 -0.1894002 -0.001126121
Moved 977.2411 266.0257 390.7974 -0.2175331 0.007194982
Moved 977.2589 247.3666 393.2178 -0.2607253 0.01342016
Moved 977.272 234.4945 396.001 -0.290522 0.0205786
Moved 977.2883 220.1734 397.8827 -0.3236728 0.02541836
Moved 977.3051 211.4441 399.2593 -0.3438794 0.02895913
Moved 977.3181 203.4516 402.2742 -0.3623806 0.03671332
Moved 977.3351 198.9577 404.0141 -0.3727832 0.04118849
Moved 977.3511 197.6137 406.7726 -0.3758942 0.04828327
Moved 977.3652 198 410.0532 -0.375 0.05672113
Moved 977.3807 204.6345 415.9759 -0.3596422 0.07195433
Moved 977.396 218.0811 426.6649 -0.3285159 0.09944672
Moved 977.4108 239.0878 437.8357 -0.2798893 0.1281781
Moved 977.4269 263.313 448.7171 -0.2238126 0.1561653
Moved 977.4423 293.3047 459.6563 -0.1543871 0.184301
Moved 977.4684 333.6909 472.2303 -0.06090075 0.2166417
Moved 977.4813 350.6137 477.4965 -0.02172743 0.2301864
Stationary 977.4921 350.6137 477.4965 -0.02172743 0.2301864
Moved 977.5031 364 483 0.009259283 0.2443414
Moved 977.5194 376.1909 486.6966 0.03747901 0.2538492
Moved 977.5345 384.6962 490.8481 0.05716711 0.2645269
Moved 977.5516 395.0249 495.0125 0.08107612 0.2752377
Moved 977.5654 402.2764 499.1658 0.09786198 0.2859203
Moved 977.5818 406.3286 501.8857 0.1072421 0.2929158
Moved 977.5973 410.5865 503.7932 0.1170983 0.297822
Ended 977.6205 417.8315 509.5543 0.1338692 0.3126397
Candidates 977.7319 12 that thai jay hat kat lay gay what yay harry usat hart
Began 978.0741 325 314 -0.08101851 -0.1903292
Stationary 978.0887 325 314 -0.08101851 -0.1903292
Stationary 978.1038 325 314 -0.08101851 -0.1903292
Stationary 978.1199 325 314 -0.08101851 -0.1903292
Moved 978.1349 325 338.9525 -0.08101851 -0.1261512
Moved 978.1512 334.4497 373.3992 -0.05914415 -0.03755341
Moved 978.1676 342.6235 413.6804 -0.0402233 0.06605043
Moved 978.1824 348.1327 443.1838 -0.02747064 0.1419336
Moved 978.1978 352.6235 467.8353 -0.01707514 0.2053376
Moved 978.2133 361.8058 505.2233 0.004180173 0.3015002
Ended 978.2289 367 526 0.01620372 0.3549381
Accept 978.271 0 that
Began 978.4866 476 482 0.2685185 0.2417695
Stationary 978.5089 476 482 0.2685185 0.2417695
Stationary 978.5221 476 482 0.2685185 0.2417695
Stationary 978.5361 476 482 0.2685185 0.2417695
Stationary 978.5507 476 482 0.2685185 0.2417695
Stationary 978.5668 476 482 0.2685185 0.2417695
Stationary 978.5823 476 482 0.2685185 0.2417695
