are you sure you want this
are you sure you want this
Basic
0.6 0.6
432 388.8
Moved 282.5063 416.9532 477.217 0.131836 0.2294676
Moved 282.5196 430.6239 477 0.1634811 0.2289094
Moved 282.5359 442.3626 477 0.1906541 0.2289094
Moved 282.5518 458.6304 477 0.228311 0.2289094
Moved 282.567 470.6035 477 0.2560265 0.2289094
Moved 282.5825 480.6813 478.0974 0.2793548 0.2317317
Moved 282.5979 488.2665 478.5444 0.2969132 0.2328816
Moved 282.6126 495.9736 479 0.3147538 0.2340534
Moved 282.6282 501.6538 480.4135 0.3279023 0.2376888
Moved 282.6459 504.5 480 0.3344907 0.2366254
Moved 282.6596 508.8474 481 0.3445541 0.2391974
Moved 282.674 510.404 482.4039 0.3481573 0.2428084
Moved 282.6908 512.8391 482 0.3537942 0.2417695
Moved 282.7046 514.2761 483.2761 0.3571205 0.2450515
Stationary 282.7202 514.2761 483.2761 0.3571205 0.2450515
Moved 282.7363 515 483 0.3587963 0.2443414
Moved 282.7538 515 484.5 0.3587963 0.2481995
Stationary 282.7673 515 484.5 0.3587963 0.2481995
Moved 282.781 515 486.1792 0.3587963 0.2525184
Moved 282.7975 502.9063 488.2375 0.3308017 0.2578124
Moved 282.8129 495.667 491.1332 0.314044 0.2652602
Moved 282.8285 488.5 494 0.2974537 0.2726337
Moved 282.845 477.475 497.8219 0.2719328 0.2824636
Moved 282.8592 463.1264 502.162 0.2387185 0.2936266
Moved 282.8748 454.5468 505.4844 0.2188584 0.3021717
Moved 282.8913 442.5612 509.7896 0.1911139 0.3132446
Moved 282.9058 428.2408 514.1277 0.1579649 0.3244025
Moved 282.9208 420.9234 516.8153 0.1410264 0.331315
Moved 282.9362 411.1963 520.773 0.1185098 0.3414943
Moved 282.9505 404.5219 522.6956 0.1030598 0.3464393
Moved 282.9689 398.5511 525.2244 0.08923869 0.3529434
Moved 282.9821 395.5639 526.1453 0.08232395 0.355312
Moved 282.9978 390.1377 527.6208 0.06976316 0.3591068
Moved 283.0174 389 529.066 0.06712963 0.3628241
Ended 283.0296 389 529 0.06712963 0.3626543
Candidates 283.1345 12 you got for hot foot toy joy hit roy root utility fully
Began 283.5362 399 317 0.09027779 -0.1826131
Stationary 283.5521 399 317 0.09027779 -0.1826131
Stationary 283.5679 399 317 0.09027779 -0.1826131
Stationary 283.5833 399 317 0.09027779 -0.1826131
Stationary 283.5992 399 317 0.09027779 -0.1826131
Moved 283.6137 399 336.7635 0.09027779 -0.1317811
Moved 283.6304 392.2141 358.4188 0.07456968 -0.07608343
Moved 283.6451 390.58 378.8807 0.07078698 -0.02345497
Moved 283.66 389.5936 394.0959 0.06850372 0.01567868
Moved 283.6758 390 421.4691 0.06944448 0.08608284
Moved 283.6909 390 437.6513 0.06944448 0.1277039
Moved 283.7055 390 446.8875 0.06944448 0.1514594
Moved 283.7217 390 454.5165 0.06944448 0.1710814
Moved 283.7377 390 460.2386 0.06944448 0.1857987
Ended 283.7535 398.3236 463.3782 0.08871198 0.1938739
Accept 283.8119 0 you
Began 284.2108 281 416 -0.1828704 0.07201634
Stationary 284.2296 281 416 -0.1828704 0.07201634
Stationary 284.2465 281 416 -0.1828704 0.07201634
Stationary 284.26 281 416 -0.1828704 0.07201634
Stationary 284.2755 281 416 -0.1828704 0.07201634
Stationary 284.291 281 416 -0.1828704 0.07201634
Stationary 284.3059 281 416 -0.1828704 0.07201634
Stationary 284.3209 281 416 -0.1828704 0.07201634
Stationary 284.3367 281 416 -0.1828704 0.07201634
