travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Began 10.85707 403 204 0.09953707 -0.473251
Stationary 10.94377 403 204 0.09953707 -0.473251
Stationary 10.95469 403 204 0.09953707 -0.473251
Moved 10.96434 398.1572 216.7673 0.08832673 -0.4404132
Moved 10.97746 393.9637 225.1271 0.07861961 -0.4189119
Moved 10.99836 392.5446 232.2769 0.07533481 -0.4005226
Moved 11.01387 390.0963 240.4222 0.06966729 -0.3795724
Moved 11.07966 387.3753 247.5616 0.06336888 -0.3612098
Moved 11.09196 381 290.0887 0.04861106 -0.2518294
Moved 11.1139 378.3578 310.4954 0.04249483 -0.1993431
Moved 11.12889 376.9224 320.5435 0.03917218 -0.1734995
Stationary 11.141 376.9224 320.5435 0.03917218 -0.1734995
Moved 11.15242 377 333.5 0.03935188 -0.140175
Moved 11.17479 374.6111 351.722 0.03382206 -0.09330757
Stationary 11.18476 374.6111 351.722 0.03382206 -0.09330757
Moved 11.19636 375 357.26 0.03472219 -0.07906376
Moved 11.21232 374 366.6699 0.03240744 -0.05486131
Moved 11.22856 374 372.5035 0.03240744 -0.03985715
Moved 11.24357 373 379.2562 0.0300926 -0.02248929
Moved 11.25929 373 386.2578 0.0300926 -0.00448117
Moved 11.27345 373 392.077 0.0300926 0.0104861
Moved 11.28849 373 398.639 0.0300926 0.0273637
Moved 11.30467 373 402.626 0.0300926 0.03761817
Moved 11.3199 373 406.9089 0.0300926 0.04863405
Moved 11.33534 373 413.3867 0.0300926 0.06529498
Moved 11.35154 373 417.5 0.0300926 0.0758744
Moved 11.36674 372.049 420.9019 0.0278913 0.08462419
Moved 11.38234 372 425.1635 0.02777775 0.09558492
Moved 11.39689 371.1724 428.6552 0.02586206 0.1045658
Moved 11.41304 371 430.9131 0.025463 0.1103733
Moved 11.42805 369.6244 433.7512 0.02227872 0.1176728
Moved 11.45076 369.1836 435.8164 0.0212583 0.1229845
Moved 11.46296 369 437.2642 0.02083332 0.1267082
Moved 11.47563 368 438.7007 0.01851857 0.1304031
Moved 11.49195 368 439.5 0.01851857 0.1324588
Moved 11.50669 366.4245 440.5755 0.01487156 0.1352249
Moved 11.52174 365.2503 441 0.01215349 0.1363167
Moved 11.53846 363.8979 441 0.009023051 0.1363167
Moved 11.55223 362.5 441 0.005787015 0.1363167
Moved 11.56797 360.0488 441 0.0001130502 0.1363167
Moved 11.58363 357.1751 441 -0.006539176 0.1363167
Moved 11.59956 355.3003 441 -0.01087889 0.1363167
Moved 11.61592 351.1519 441 -0.02048175 0.1363167
Moved 11.62916 349 441 -0.02546296 0.1363167
