the punishment should fit the crime
the punishment should fit the crime
Basic
List

0.6 0.6
432 388.8
Began 1763.956 410 416 0.1157407 0.07201634
Stationary 1763.987 410 416 0.1157407 0.07201634
Moved 1764.017 390.3758 427.9681 0.0703143 0.1027986
Moved 1764.048 377 441 0.03935188 0.1363167
Moved 1764.079 360.3681 457.5266 0.0008520484 0.1788234
Moved 1764.11 347.1794 471.8206 -0.0296772 0.2155878
Moved 1764.14 336.4973 484.5027 -0.05440439 0.2482064
Moved 1764.171 329.1664 496.3892 -0.07137398 0.2787788
Moved 1764.202 322.5168 507.7248 -0.08676662 0.3079341
Moved 1764.233 318.8914 514.2172 -0.09515881 0.3246327
Moved 1764.263 317.5 519 -0.09837966 0.3369341
Moved 1764.294 317 520.3715 -0.09953702 0.3404615
Moved 1764.325 317 521.122 -0.09953702 0.3423919
Stationary 1764.355 317 521 -0.09953702 0.3420781
Moved 1764.386 344.1809 499.5628 -0.03661826 0.2869413
Moved 1764.417 392.3535 449.5758 0.07489234 0.1583739
Moved 1764.448 422.202 408.5972 0.1439861 0.05297633
Moved 1764.478 435.0695 383.861 0.173772 -0.0106456
Moved 1764.509 439.7938 365.4436 0.1847077 -0.05801542
Moved 1764.54 441 350.3546 0.1875 -0.09682486
Moved 1764.571 441 340.8489 0.1875 -0.1212734
Moved 1764.601 441 332.7949 0.1875 -0.1419885
Moved 1764.632 428.1055 324.1055 0.1576517 -0.1643376
Moved 1764.663 421.3194 316.3194 0.1419431 -0.1843638
Moved 1764.693 415.5895 310.5895 0.1286794 -0.1991011
Moved 1764.724 410.6338 309 0.1172078 -0.2031893
Moved 1764.755 405.7747 308 0.10596 -0.2057614
Moved 1764.786 401.0313 307 0.0949799 -0.2083334
Moved 1764.817 396.1469 306 0.0836733 -0.2109054
Moved 1764.847 391.2804 306 0.07240832 -0.2109054
Moved 1764.878 383.0721 306 0.05340755 -0.2109054
Moved 1764.909 371.4967 327.7046 0.02661278 -0.1550809
Moved 1764.939 361.7995 346.401 0.004165471 -0.1069935
Moved 1764.97 348.9138 372.201 -0.02566238 -0.04063531
Moved 1765.001 337.3965 400.0088 -0.05232294 0.03088672
Moved 1765.032 323.99 424.525 -0.08335645 0.09394272
Moved 1765.062 314.6516 445.2625 -0.1049732 0.1472799
Moved 1765.093 306.7085 464.8744 -0.1233599 0.1977221
Moved 1765.124 297.9297 485.6229 -0.1436811 0.2510878
Moved 1765.155 290.2031 503.3907 -0.1615669 0.2967866
Moved 1765.185 285.0326 512.9022 -0.1735357 0.3212505
Moved 1765.216 279.3443 521.6557 -0.1867031 0.3437646
Moved 1765.247 276.3013 527.3974 -0.193747 0.3585323
Moved 1765.277 273.826 532.3481 -0.1994769 0.3712656
Moved 1765.308 271.8933 535.1067 -0.2039507 0.3783607
Moved 1765.339 270.626 536.374 -0.2068842 0.3816202
Moved 1765.37 270 537 -0.2083333 0.3832304
Ended 1765.4 270 537 -0.2083333 0.3832304
Candidates 1765.523 13 the june fine summer time genre other home dinner gene wine printer henry
Began 1766.568 633 490 0.6319444 0.2623456
Stationary 1766.599 633 490 0.6319444 0.2623456
Stationary 1766.63 633 490 0.6319444 0.2623456
Stationary 1766.66 633 490 0.6319444 0.2623456
Stationary 1766.691 633 490 0.6319444 0.2623456
Stationary 1766.722 633 490 0.6319444 0.2623456
Stationary 1766.752 633 490 0.6319444 0.2623456
Stationary 1766.783 633 490 0.6319444 0.2623456
Moved 1766.814 617.2612 498.3694 0.595512 0.2838719
Moved 1766.845 608.2709 503.3646 0.5747011 0.2967195
Moved 1766.875 600.6457 506.6772 0.5570502 0.3052395
Moved 1766.906 596.8109 508 0.5481734 0.3086419
Moved 1766.937 593.8829 509 0.5413957 0.3112139
Moved 1766.968 590.0123 510.9877 0.532436 0.3163262
Moved 1766.998 583.4252 512.8583 0.517188 0.3211375
Moved 1767.029 565.4791 515.3912 0.475646 0.3276523
Moved 1767.06 549.6569 516 0.4390205 0.329218
Moved 1767.091 531.1721 516 0.3962317 0.329218
Moved 1767.121 515.32 516 0.359537 0.329218
Moved 1767.152 499.9339 516 0.3239211 0.329218
Moved 1767.183 488.4476 517.3881 0.2973323 0.3327883
Moved 1767.214 479.2219 518.2593 0.2759765 0.3350292
Moved 1767.244 468.7727 519 0.2517886 0.3369341
Moved 1767.275 456.286 520.6785 0.2228843 0.3412513
Moved 1767.306 446.3586 522 0.1999042 0.3446501
Moved 1767.336 437.7348 523.4218 0.1799416 0.3483069
Moved 1767.367 430.239 523.9402 0.1625904 0.3496405
Moved 1767.398 421.3801 524 0.1420837 0.3497942
Moved 1767.429 413.6347 525 0.1241543 0.3523662
Moved 1767.459 407.6048 525 0.1101963 0.3523662
Moved 1767.49 401.7485 525 0.09664009 0.3523662
Moved 1767.521 393.1572 525 0.0767527 0.3523662
Moved 1767.552 390.2686 525 0.07006615 0.3523662
Moved 1767.582 387.6004 525 0.06388982 0.3523662
Moved 1767.613 384.7235 525 0.05723039 0.3523662
Moved 1767.644 382.8559 518 0.05290707 0.3343621
Moved 1767.674 382 516.5 0.05092591 0.3305041
Moved 1767.705 381 514.4828 0.04861106 0.3253158
Moved 1767.736 380 508.8335 0.04629632 0.3107857
Moved 1767.766 380 497.6896 0.04629632 0.2821234
Moved 1767.797 378.1801 471.7007 0.04208346 0.2152794
Moved 1767.828 374.6297 433.7226 0.03386497 0.1175992
Moved 1767.859 371.4435 402.4346 0.0264895 0.03712603
Moved 1767.89 368.5772 376.1946 0.01985461 -0.03036357
Moved 1767.92 369 355.3326 0.02083332 -0.08402098
Moved 1767.951 369 338.9124 0.02083332 -0.1262541
Moved 1767.982 369 321.2129 0.02083332 -0.1717776
Moved 1768.012 369 307.9706 0.02083332 -0.205837
Moved 1768.043 369 295.4485 0.02083332 -0.2380439
Moved 1768.074 369 283.9976 0.02083332 -0.267496
Moved 1768.105 369 276.25 0.02083332 -0.2874229
Moved 1768.135 369 268.7673 0.02083332 -0.3066685
Moved 1768.166 369 263.4271 0.02083332 -0.3204035
Moved 1768.197 377.0853 259.845 0.03954927 -0.3296169
Moved 1768.228 376 258.5 0.03703703 -0.3330762
Moved 1768.258 377.5351 258 0.04059047 -0.3343622
Moved 1768.289 387.0041 276.2106 0.06250938 -0.2875244
Moved 1768.32 398.0941 305.0089 0.0881809 -0.2134547
Moved 1768.35 410.2871 344.5048 0.1164054 -0.1118704
Moved 1768.381 420.7837 387.0469 0.140703 -0.002451374
Moved 1768.412 432.2425 428.7274 0.1672279 0.1047513
Moved 1768.443 439.8897 454.5588 0.1849299 0.1711902
Moved 1768.473 447.8526 476.5577 0.2033624 0.2277718
Moved 1768.504 451.8242 495.1208 0.2125559 0.2755163
Moved 1768.535 455 508.1231 0.2199073 0.3089585
Moved 1768.566 457.1999 516.3998 0.2249998 0.3302462
Moved 1768.596 457 526.4039 0.2245371 0.355977
Moved 1768.627 457 535.0107 0.2245371 0.3781138
Moved 1768.658 457 540.7565 0.2245371 0.392892
Moved 1768.689 457 545.4151 0.2245371 0.4048742
Moved 1768.719 445.1318 551.5788 0.1970645 0.4207273
Moved 1768.75 435.3796 554.1551 0.1744898 0.4273535
Moved 1768.781 413.255 554 0.1232754 0.4269547
Moved 1768.812 376.3191 536.6974 0.03777564 0.382452
Moved 1768.842 326.5164 506.9478 -0.07750829 0.3059355
Moved 1768.873 282.9905 474.136 -0.1782627 0.2215432
Moved 1768.904 252.3647 447.0269 -0.2491558 0.151818
Moved 1768.934 225.6613 420.957 -0.3109691 0.08476594
Moved 1768.965 205.5556 402.9816 -0.3575101 0.0385328
Moved 1768.996 188.8112 386.8112 -0.3962705 -0.003057801
Moved 1769.027 179.1341 377.1341 -0.4186712 -0.02794736
Moved 1769.057 172.1626 370.3253 -0.4348087 -0.04545989
Moved 1769.088 168.5 367.5 -0.4432871 -0.05272634
Moved 1769.119 169 367 -0.4421296 -0.05401234
Stationary 1769.15 169 367 -0.4421296 -0.05401234
Moved 1769.18 183.0838 366 -0.4095282 -0.05658444
Moved 1769.211 214.6674 366 -0.3364182 -0.05658444
Moved 1769.242 250.3066 366 -0.2539199 -0.05658444
Moved 1769.272 287.4154 366 -0.16802 -0.05658444
Moved 1769.303 318.5225 366 -0.0960128 -0.05658444
Moved 1769.334 341.2785 366 -0.0433368 -0.05658444
Moved 1769.365 363.2184 366 0.007449985 -0.05658444
Moved 1769.395 381.4789 374.4131 0.04971961 -0.03494569
Moved 1769.426 396.3207 377.2642 0.08407573 -0.02761283
Moved 1769.457 409.8899 379.6299 0.1154858 -0.021528
Moved 1769.488 426.0745 382.6791 0.1529503 -0.01368558
Moved 1769.518 438.7784 386.5557 0.1823573 -0.003714895
Moved 1769.549 452.1592 389.4318 0.2133315 0.003682674
Moved 1769.58 462.7852 391.9463 0.2379286 0.01014992
Moved 1769.61 474.4628 394.8209 0.2649602 0.01754349
Moved 1769.641 479.6938 396 0.2770691 0.02057605
Moved 1769.672 482.2021 396 0.2828752 0.02057605
Moved 1769.703 486 396 0.2916667 0.02057605
Moved 1769.733 489.0118 396 0.2986385 0.02057605
Moved 1769.764 491.8786 381.4857 0.3052745 -0.016755
Moved 1769.795 494.427 364.0112 0.3111735 -0.06169958
Moved 1769.826 495 348.5268 0.3125 -0.1015258
Moved 1769.856 496 338.5002 0.3148148 -0.1273144
Moved 1769.887 496 327.2433 0.3148148 -0.1562673
Moved 1769.918 496 312.3421 0.3148148 -0.1945934
Moved 1769.948 496 302.7902 0.3148148 -0.219161
Moved 1769.979 485.8008 296.4502 0.2912055 -0.2354677
Moved 1770.01 481.5292 290.3528 0.2813176 -0.2511503
Moved 1770.041 468.5346 286.3069 0.2512375 -0.2615562
Moved 1770.071 449.5842 286 0.2073707 -0.2623458
Moved 1770.102 432.3553 297.3223 0.1674891 -0.2332245
Moved 1770.133 417.2218 307.8225 0.1324579 -0.2062179
Moved 1770.164 399.1967 322.8033 0.09073317 -0.1676872
Moved 1770.194 383.7528 340.955 0.0549834 -0.1210005
Moved 1770.225 370.9747 356.4354 0.02540439 -0.08118468
Moved 1770.256 353.0362 381.2391 -0.01611983 -0.01738913
Moved 1770.287 340.9148 401.1279 -0.04417876 0.03376497
Moved 1770.317 324.655 422.0176 -0.08181721 0.08749373
Moved 1770.348 312.9087 440.3461 -0.1090076 0.1346349
Moved 1770.379 304.1053 456.4912 -0.129386 0.1761604
Moved 1770.41 297.5254 469.791 -0.1446172 0.2103678
Moved 1770.44 293.4953 481.7618 -0.1539461 0.2411568
Moved 1770.471 289.4705 494.1182 -0.1632628 0.2729376
Moved 1770.502 286.596 501.8079 -0.1699166 0.2927158
Moved 1770.532 286 505.2745 -0.1712963 0.301632
Moved 1770.563 286 506 -0.1712963 0.3034978
Stationary 1770.594 286 506 -0.1712963 0.3034978
Moved 1770.625 291.7066 493.8641 -0.1580866 0.272284
