the union will go on strike
the union will go on strike
Basic
List

0.6 0.6
432 388.8
Began 258.113 371 519 0.025463 0.3369341
Stationary 258.1437 371 519 0.025463 0.3369341
Moved 258.1744 371 505.7383 0.025463 0.3028247
Moved 258.2051 393.1252 468.7496 0.07667869 0.2076892
Moved 258.2358 409.3465 436.3071 0.1142279 0.1242465
Moved 258.2666 425.0923 408.2523 0.1506768 0.0520891
Moved 258.2973 435.266 391.5568 0.1742268 0.009148013
Moved 258.328 441.4752 382.5248 0.1886 -0.01408235
Moved 258.3587 444.5 377.5 0.1956019 -0.02700625
Moved 258.3895 445 372.6017 0.1967593 -0.03960472
Moved 258.4202 445 370.7323 0.1967593 -0.04441281
Moved 258.4509 421.5845 371 0.1425567 -0.04372435
Moved 258.4816 384.9312 401.0516 0.0577111 0.03356898
Moved 258.5124 356.6674 422.2494 -0.007714232 0.08808991
Moved 258.5431 332.6482 438.0948 -0.06331428 0.1288448
Moved 258.5738 314.5257 451.6495 -0.1052647 0.1637076
Moved 258.6045 295.0497 465.3702 -0.1503479 0.1989973
Moved 258.6353 284.0231 473.3179 -0.1758725 0.2194391
Moved 258.666 276.5383 479.3078 -0.1931983 0.234845
Moved 258.6967 270.9224 483.0776 -0.2061981 0.244541
Moved 258.7274 268.0474 485.9526 -0.2128532 0.2519355
Moved 258.7581 265.1737 488.8263 -0.2195054 0.2593268
Moved 258.7889 263.6485 491.3515 -0.2230359 0.2658217
Moved 258.8196 262.9296 492.0704 -0.2247001 0.2676708
Moved 258.8503 263 493 -0.2245371 0.2700616
Moved 258.8811 263 495.5 -0.2245371 0.2764916
Moved 258.9118 263 496.0425 -0.2245371 0.2778869
Ended 258.9425 263 497 -0.2245371 0.2803498
Candidates 259.0961 13 the there this time other june tiger she if higher they else huge
Began 259.8642 418 556 0.1342593 0.4320986
Stationary 259.895 418 556 0.1342593 0.4320986
Stationary 259.9257 418 556 0.1342593 0.4320986
Moved 259.9564 418 536.9233 0.1342593 0.3830331
Moved 259.9871 418 508.1203 0.1342593 0.3089513
Moved 260.0179 418 467.3607 0.1342593 0.2041168
Moved 260.0486 418 417.2532 0.1342593 0.07523961
Moved 260.0793 426.0741 376.931 0.1529494 -0.02846965
Moved 260.11 428 349.78 0.1574074 -0.09830254
Moved 260.1408 430.8809 327.8339 0.1640761 -0.1547484
Moved 260.1715 431 313 0.1643519 -0.1929013
Moved 260.2022 431 300.7883 0.1643519 -0.2243101
Moved 260.2328 431 293.4803 0.1643519 -0.2431062
Moved 260.2637 431 290 0.1643519 -0.2520577
Stationary 260.2944 431 290 0.1643519 -0.2520577
Moved 260.3251 431 305.4342 0.1643519 -0.2123607
Moved 260.3558 434.3033 357.4598 0.1719984 -0.07854987
Moved 260.3866 435 419.9102 0.1736111 0.08207352
Moved 260.4173 429.8169 455.8853 0.1616132 0.1746021
Moved 260.448 426 488.5261 0.1527777 0.2585548
Moved 260.4788 426 506.4661 0.1527777 0.3046966
Moved 260.5095 426 520.0638 0.1527777 0.3396701
Moved 260.5402 426 532.5634 0.1527777 0.3718192
