want to join us for lunch
want to join us for lunch
FixStart
Radial

0.6 0.6
432 388.8
Began 2784.273 352 215 -0.01851852 -0.4449589
Stationary 2784.303 352 215 -0.01851852 -0.4449589
Stationary 2784.334 352 215 -0.01851852 -0.4449589
Moved 2784.365 324.5 215 -0.08217593 -0.4449589
Moved 2784.396 287.5661 215 -0.167671 -0.4449589
Moved 2784.426 256.0943 215 -0.2405224 -0.4449589
Moved 2784.457 233.1924 215 -0.2935362 -0.4449589
Moved 2784.488 216.2487 215 -0.3327577 -0.4449589
Moved 2784.519 201.5 215 -0.3668981 -0.4449589
Moved 2784.549 191.8981 215 -0.3891248 -0.4449589
Moved 2784.58 186.5463 223.5878 -0.4015131 -0.422871
Moved 2784.611 184.229 223 -0.4068773 -0.4243828
Moved 2784.642 181.5 224 -0.4131944 -0.4218107
Moved 2784.672 179.5 225 -0.4178241 -0.4192387
Moved 2784.703 178.6282 226.3718 -0.4198422 -0.4157103
Moved 2784.734 177.8103 227.1897 -0.4217353 -0.4136067
Moved 2784.764 176 230.5262 -0.4259259 -0.4050252
Moved 2784.795 175 238.522 -0.4282407 -0.38446
Moved 2784.826 175 247.7745 -0.4282407 -0.3606623
Moved 2784.857 183.5202 267.5202 -0.408518 -0.309876
Moved 2784.887 190.7999 286.5331 -0.3916669 -0.2609746
Moved 2784.918 194.5 299 -0.3831018 -0.2289095
Moved 2784.949 200.6804 315.7011 -0.3687953 -0.185954
Moved 2784.979 204.2079 328.8314 -0.3606299 -0.1521826
Moved 2785.01 207 339.2164 -0.3541667 -0.1254722
Moved 2785.041 209.5766 345.1532 -0.3482023 -0.1102028
Moved 2785.072 210 349.452 -0.3472222 -0.09914625
Moved 2785.103 211 352.3231 -0.3449074 -0.0917616
Moved 2785.133 212 354.0964 -0.3425926 -0.08720075
Stationary 2785.164 212 354 -0.3425926 -0.08744855
Moved 2785.195 213 354 -0.3402778 -0.08744855
Moved 2785.225 213 334.592 -0.3402778 -0.1373664
Moved 2785.256 213 310.0342 -0.3402778 -0.2005294
Moved 2785.287 201.2602 276.301 -0.3674532 -0.2872918
Moved 2785.318 195.5238 252.3569 -0.380732 -0.3488762
Moved 2785.348 190.3871 231.7096 -0.3926225 -0.4019816
Moved 2785.379 187.8211 219.1057 -0.3985622 -0.4343989
Moved 2785.41 183.9567 208.87 -0.4075077 -0.4607253
Moved 2785.44 182.0905 201.1809 -0.4118276 -0.4805018
Moved 2785.471 180.5 198.5 -0.4155093 -0.4873972
Moved 2785.502 181 197 -0.4143519 -0.4912551
Moved 2785.533 211.0716 184.8481 -0.3447417 -0.5225099
Moved 2785.563 252.0226 169.6166 -0.2499477 -0.5616857
Moved 2785.594 287.9254 158.653 -0.1668393 -0.5898845
Moved 2785.625 321.8593 146.233 -0.08828868 -0.6218286
Moved 2785.656 345.3741 132.813 -0.03385633 -0.6563452
Moved 2785.686 366.0273 124.4863 0.01395206 -0.6777616
Moved 2785.717 379.9041 115.8219 0.04607429 -0.7000466
Moved 2785.748 390.8201 108.7866 0.07134288 -0.7181414
Moved 2785.779 397.9459 103.5271 0.08783767 -0.7316688
Moved 2785.809 403.9673 100.0109 0.101776 -0.7407128
Moved 2785.84 407.8597 96.14026 0.1107864 -0.7506681
Moved 2785.871 409.7336 95 0.1151242 -0.7536007
Moved 2785.901 411.1678 93.83215 0.1184441 -0.7566044
Moved 2785.932 412.3729 92.62708 0.1212336 -0.7597041
Moved 2785.963 412 102.2201 0.1203704 -0.7350307
Moved 2785.994 392.4261 127.3608 0.07506043 -0.6703681
Moved 2786.024 378.5 150.5 0.04282405 -0.610854
Moved 2786.055 358.94 189.4634 -0.002453675 -0.5106395
Moved 2786.086 346.1195 226.8617 -0.03213083 -0.4144504
Moved 2786.116 339.8391 250.8047 -0.04666885 -0.3528687
Moved 2786.147 338 275.8449 -0.05092591 -0.2884648
Moved 2786.178 338 299.1555 -0.05092591 -0.2285095
Moved 2786.209 338 326.9451 -0.05092591 -0.1570344
Moved 2786.24 346.4453 347.4453 -0.03137673 -0.1043076
Moved 2786.27 349.4936 361.7341 -0.02432033 -0.0675564
Moved 2786.301 353.6209 374.4836 -0.0147664 -0.03476437
Moved 2786.332 356 383.4766 -0.009259283 -0.0116342
Moved 2786.362 357 388.009 -0.006944438 2.299807E-05
Moved 2786.393 358 391.8862 -0.004629641 0.00999537
Ended 2786.424 358 392 -0.004629641 0.01028803
Candidates 2786.516 13 want any arrange grant debt strange sent range frame heavy stranger sexy rant
Began 2787.069 204 280 -0.3611111 -0.2777778
Stationary 2787.1 204 280 -0.3611111 -0.2777778
Moved 2787.131 222.3488 280 -0.3186372 -0.2777778
Moved 2787.161 242.3283 280 -0.2723881 -0.2777778
Moved 2787.192 265.8553 280 -0.2179276 -0.2777778
Moved 2787.223 282.8227 280 -0.1786512 -0.2777778
Moved 2787.254 291.713 280 -0.1580718 -0.2777778
Moved 2787.284 295.7643 280 -0.1486937 -0.2777778
Ended 2787.315 296.5 280 -0.1469907 -0.2777778
Accept 2787.376 0 want
Began 2787.745 275 219 -0.1967592 -0.4346708
Stationary 2787.776 275 219 -0.1967592 -0.4346708
Stationary 2787.807 275 219 -0.1967592 -0.4346708
