I want to hold your hand
I want to hold your hand
Basic
Radial

0.6 0.6
432 388.8
Began 1388.639 462 561 0.2361111 0.4449587
Stationary 1388.67 462 561 0.2361111 0.4449587
Stationary 1388.701 462 561 0.2361111 0.4449587
Stationary 1388.731 462 561 0.2361111 0.4449587
Ended 1388.762 462 561 0.2361111 0.4449587
Candidates 1388.823 5 I u o y p
Began 1389.591 426 403 0.1527777 0.03858017
Moved 1389.622 429.1578 403 0.1600874 0.03858017
Moved 1389.653 461.3331 403 0.2345674 0.03858017
Moved 1389.684 499.9929 410 0.3240575 0.05658428
Moved 1389.714 533.4577 410 0.4015224 0.05658428
Ended 1389.745 570.8772 410 0.4881417 0.05658428
Accept 1389.806 0 I
Began 1390.513 251 536 -0.2523148 0.3806583
Stationary 1390.544 251 536 -0.2523148 0.3806583
Stationary 1390.574 251 536 -0.2523148 0.3806583
Stationary 1390.605 251 536 -0.2523148 0.3806583
Moved 1390.636 251 504.9508 -0.2523148 0.3007993
Moved 1390.667 251 467.0988 -0.2523148 0.2034433
Moved 1390.696 251 426.1119 -0.2523148 0.09802449
Moved 1390.728 251 392.8147 -0.2523148 0.01238348
Moved 1390.759 238.6992 354.045 -0.2807888 -0.08733279
Moved 1390.789 237 325.8625 -0.2847222 -0.1598186
Moved 1390.82 235.1033 303.7233 -0.2891127 -0.2167612
Moved 1390.851 235 290.1543 -0.2893518 -0.2516608
Moved 1390.882 235 282.0109 -0.2893518 -0.2726057
Moved 1390.912 235 277.5992 -0.2893518 -0.2839525
Moved 1390.943 235 276 -0.2893518 -0.288066
Moved 1390.974 235 274.8241 -0.2893518 -0.2910904
Moved 1391.004 235 273.626 -0.2893518 -0.2941718
Moved 1391.035 235 273 -0.2893518 -0.295782
Stationary 1391.066 235 273 -0.2893518 -0.295782
Moved 1391.097 244.9487 284.6859 -0.2663226 -0.2657258
Moved 1391.127 258.2679 303.4872 -0.235491 -0.2173683
Moved 1391.158 278.4167 336.8572 -0.1888503 -0.1315403
Moved 1391.189 302.2142 371.3333 -0.1337633 -0.04286723
Moved 1391.219 327.1888 407.8283 -0.07595177 0.05099861
Moved 1391.25 362.3948 450.9606 0.00554353 0.1619357
Moved 1391.281 384.9475 479.5967 0.05774885 0.2355881
Moved 1391.312 402.873 499.873 0.09924312 0.287739
Moved 1391.342 414.1432 513.1909 0.1253314 0.3219928
Moved 1391.373 421.8296 520.8296 0.1431242 0.3416398
Moved 1391.404 426.97 526.97 0.155023 0.357433
Moved 1391.435 430.3398 530.3398 0.1628237 0.3661003
Moved 1391.465 435.4236 534.2118 0.1745917 0.3760591
Moved 1391.496 437.8123 536.8123 0.1801211 0.3827477
Moved 1391.527 441.6195 539.6194 0.188934 0.3899676
Moved 1391.557 444.4942 541.4942 0.1955885 0.3947895
Moved 1391.588 448.7314 543.3657 0.2053966 0.399603
Moved 1391.619 449.8679 544 0.2080275 0.4012345
Moved 1391.65 452.7417 544.7417 0.2146799 0.4031421
Moved 1391.68 454.1763 545 0.2180007 0.4038065
Moved 1391.711 457.4863 546 0.2256627 0.4063785
Moved 1391.742 459.0323 547.0323 0.2292416 0.4090337
Moved 1391.772 460.4647 547 0.2325573 0.4089505
Moved 1391.803 462 547.7757 0.2361111 0.4109456
Moved 1391.834 463.1241 548 0.2387132 0.4115225
Moved 1391.865 464.0563 548 0.240871 0.4115225
Stationary 1391.895 464.0563 548 0.240871 0.4115225
Moved 1391.926 465.1183 548 0.2433294 0.4115225
Stationary 1391.957 465.1183 548 0.2433294 0.4115225
Moved 1391.987 466.3553 548 0.2461927 0.4115225
Stationary 1392.018 466 548 0.2453704 0.4115225
Stationary 1392.049 466 548 0.2453704 0.4115225
Stationary 1392.079 466 548 0.2453704 0.4115225
Stationary 1392.11 466 548 0.2453704 0.4115225
Stationary 1392.141 466 548 0.2453704 0.4115225
Moved 1392.172 467.0934 548 0.2479014 0.4115225
Stationary 1392.202 467.0934 548 0.2479014 0.4115225
Stationary 1392.233 467.0934 548 0.2479014 0.4115225
Stationary 1392.264 467.0934 548 0.2479014 0.4115225
Stationary 1392.295 467.0934 548 0.2479014 0.4115225
Stationary 1392.325 467.0934 548 0.2479014 0.4115225
Stationary 1392.356 467 548 0.2476852 0.4115225
Stationary 1392.387 467 548 0.2476852 0.4115225
Stationary 1392.417 467 548 0.2476852 0.4115225
Stationary 1392.448 467 548 0.2476852 0.4115225
Stationary 1392.479 467 548 0.2476852 0.4115225
Stationary 1392.51 467 548 0.2476852 0.4115225
Ended 1392.54 467 548 0.2476852 0.4115225
Candidates 1392.602 13 radio taxi easy edu every exactly sexy tracy security essay want ready yahoo
Began 1393.493 407 456 0.1087963 0.174897
Stationary 1393.523 407 456 0.1087963 0.174897
Moved 1393.554 370.5916 456 0.02451758 0.174897
Moved 1393.585 317.4962 456 -0.0983884 0.174897
Moved 1393.615 259.9329 456 -0.2316368 0.174897
Moved 1393.646 216.1616 456 -0.3329592 0.174897
Ended 1393.677 193 456 -0.3865741 0.174897
Cancel 1393.738
Began 1394.383 290 646 -0.162037 0.6635801
