are you sure you want this
are you sure you want this
FixStart
List

0.6 0.6
432 388.8
Moved 2996.556 393 594.8235 0.07638891 0.5319533
Moved 2996.586 392.2452 599.5096 0.0746417 0.544006
Moved 2996.617 392 605.8733 0.07407407 0.5603736
Moved 2996.648 390.5 611 0.0706019 0.5735595
Moved 2996.679 389.9967 617.0067 0.06943672 0.5890088
Moved 2996.709 389 621.8605 0.06712963 0.6014929
Moved 2996.74 388 626.7291 0.06481478 0.6140149
Moved 2996.771 387 630.5 0.06250004 0.6237139
Moved 2996.802 386 634.2925 0.06018519 0.6334683
Moved 2996.832 385 638.0354 0.05787035 0.6430951
Moved 2996.863 384.1134 641.8867 0.05581797 0.6530006
Moved 2996.894 384 644.3006 0.0555556 0.6592094
Moved 2996.925 384 647 0.0555556 0.6661521
Ended 2996.955 383 649 0.05324075 0.6712963
Accept 2997.017 1 are
Began 2997.262 413 378 0.1226852 -0.02572024
Stationary 2997.293 413 378 0.1226852 -0.02572024
Stationary 2997.324 413 378 0.1226852 -0.02572024
Stationary 2997.355 413 378 0.1226852 -0.02572024
Moved 2997.385 413 409.8965 0.1226852 0.05631804
Moved 2997.416 413 435.6229 0.1226852 0.1224867
Moved 2997.447 421.061 452.3663 0.141345 0.165551
Moved 2997.478 423.6949 465.4744 0.1474418 0.1992653
Moved 2997.508 426.4575 482.7448 0.1538367 0.2436852
Moved 2997.539 430.3454 496.3815 0.1628365 0.2787588
Moved 2997.57 434.2068 508.8273 0.171775 0.3107698
Moved 2997.601 436.7011 513.4023 0.1775489 0.3225367
Moved 2997.631 438.5692 517.5692 0.1818731 0.3332539
Moved 2997.662 441.438 520.438 0.1885139 0.3406326
Moved 2997.693 443.3056 521 0.192837 0.3420781
Moved 2997.723 453.2215 521 0.2157905 0.3420781
Moved 2997.754 476.542 507.3656 0.2697731 0.3070102
Moved 2997.785 502.7112 495.6444 0.33035 0.2768631
Moved 2997.816 524.6509 485.6745 0.3811364 0.2512204
Moved 2997.846 543.8373 477.0814 0.4255492 0.2291187
Moved 2997.877 558.1954 472.1609 0.4587856 0.2164633
Moved 2997.908 569.1221 469.2926 0.484079 0.2090859
Moved 2997.938 576.8317 469 0.5019252 0.2083333
Moved 2997.969 582.1527 469 0.5142424 0.2083333
Moved 2998 585.023 469 0.5208865 0.2083333
Moved 2998.031 586.5 469 0.5243056 0.2083333
Moved 2998.062 586 480.4506 0.5231482 0.2377844
Moved 2998.092 571.5215 485.8871 0.4896332 0.2517671
Moved 2998.123 558.3316 496.6684 0.4591009 0.2794968
Moved 2998.154 549.3036 503.0223 0.4382029 0.2958391
Moved 2998.184 540.3723 509.5426 0.4175284 0.3126096
Moved 2998.215 531.7753 514.4082 0.3976281 0.3251239
Moved 2998.246 523.175 520.55 0.3777199 0.3409207
Moved 2998.277 511.719 525.6405 0.3512014 0.3540135
Moved 2998.307 501.2275 529.3862 0.3269156 0.3636476
Moved 2998.338 492.3411 533.553 0.306345 0.3743646
Moved 2998.369 484.8289 536.057 0.2889559 0.380805
Moved 2998.399 479.1227 539.8773 0.275747 0.3906309
Moved 2998.43 474.3841 541.808 0.264778 0.3955966
Moved 2998.461 468.6418 544.6791 0.2514857 0.402981
Moved 2998.492 464.5085 547.2458 0.2419177 0.4095827
Moved 2998.522 461.8853 548 0.2358455 0.4115225
Moved 2998.553 462 549.5 0.2361111 0.4153806
Ended 2998.584 462 550.1415 0.2361111 0.4170304
Candidates 2998.676 13 you toy your tour utility fully root to report for truly foot out
Began 2999.905 511 469 0.349537 0.2083333
Moved 2999.936 491.61 469 0.3046529 0.2083333
Moved 2999.967 409.1052 459.613 0.1136694 0.1841896
Moved 2999.998 312.6682 457 -0.1095645 0.1774691
Moved 3000.028 236.8493 457 -0.2850711 0.1774691
Moved 3000.059 162.1729 457 -0.4579331 0.1774691
Moved 3000.09 121.8634 455 -0.5512421 0.172325
Moved 3000.12 95.12957 448.251 -0.6131259 0.1549666
Moved 3000.151 79.96523 441.3217 -0.6482286 0.1371443
Ended 3000.182 79 441 -0.6504629 0.1363167
Accept 3000.243 0 you
Delete 3000.243 LeftSwipe
Began 3000.551 365 434 0.01157403 0.1183127
Stationary 3000.581 365 434 0.01157403 0.1183127
Moved 3000.612 365 444.4189 0.01157403 0.1451104
Moved 3000.643 376.758 459.516 0.0387917 0.1839402
Moved 3000.674 386.2621 480.1554 0.06079197 0.2370251
Moved 3000.704 394.5999 500.4999 0.08009245 0.2893515
Moved 3000.735 400.3351 512.6702 0.09336828 0.3206538
Moved 3000.766 405.0622 524.1244 0.1043106 0.350114
Moved 3000.796 408.5974 532.7921 0.1124939 0.3724076
Moved 3000.827 411.4571 539.9141 0.1191135 0.3907256
Moved 3000.858 414.3383 544.3383 0.125783 0.4021045
Moved 3000.889 416.9063 548.9063 0.1317275 0.4138536
Moved 3000.919 419.7434 551.7434 0.1382949 0.4211506
Moved 3000.95 421.6085 552.6085 0.1426124 0.4233757
Moved 3000.981 426.9567 553 0.1549924 0.4243826
Moved 3001.011 436.9112 553 0.1780352 0.4243826
Moved 3001.042 454.992 547.008 0.2198889 0.4089711
Moved 3001.073 478.1454 540.5299 0.2734848 0.3923093
Moved 3001.104 503.5 535 0.3321759 0.3780863
Moved 3001.135 527.9633 530.8624 0.3888039 0.3674442
Moved 3001.165 545.0724 528.9855 0.4284083 0.362617
Moved 3001.196 551.7766 529 0.4439273 0.3626543
Moved 3001.227 554.2974 529 0.4497624 0.3626543
Stationary 3001.257 554 529 0.4490741 0.3626543
Moved 3001.288 543.5638 529 0.4249161 0.3626543
Moved 3001.319 525.9034 536.0966 0.3840356 0.3809068
Moved 3001.35 501.7991 540.1558 0.3282387 0.391347
Moved 3001.38 476.9814 545.893 0.2707903 0.4061033
Moved 3001.411 452.7601 550.64 0.2147225 0.4183125
Moved 3001.442 437.5417 552.8917 0.1794948 0.424104
Moved 3001.472 425.8375 555.7208 0.1524016 0.4313806
Moved 3001.503 421.405 557.595 0.1421413 0.436201
Moved 3001.534 420 559 0.1388889 0.4398148
Ended 3001.565 420 562 0.1388889 0.4475308
Candidates 3001.657 13 you fully out utility your for put foot toy pi po july pot
Began 3003.071 410 391 0.1157407 0.007715971
Stationary 3003.101 410 391 0.1157407 0.007715971
Moved 3003.132 376.8412 391 0.03898422 0.007715971
Moved 3003.163 336.9387 380.9944 -0.05338271 -0.01801848
Moved 3003.193 307.1166 376.4574 -0.1224153 -0.02968776
Moved 3003.224 278.255 373.5839 -0.1892246 -0.03707854
Moved 3003.255 256.9927 372 -0.2384427 -0.04115226
Moved 3003.286 250.292 371 -0.2539536 -0.04372435
Moved 3003.316 247.5 371 -0.2604167 -0.04372435
Moved 3003.347 248 386.275 -0.2592593 -0.004436705
Moved 3003.377 271.2784 409.2784 -0.2053741 0.0547283
Moved 3003.408 310.6244 442.7233 -0.1142954 0.1407491
Moved 3003.439 351.305 467.6525 -0.02012734 0.2048675
Moved 3003.47 390.8953 488.3065 0.07151683 0.2579899
Moved 3003.501 422.5 503.5 0.144676 0.2970678
Moved 3003.531 441.9499 511.4749 0.1896987 0.3175794
Moved 3003.562 465.9672 517.9953 0.2452945 0.33435
Moved 3003.593 483.4689 522 0.2858077 0.3446501
Moved 3003.624 489.5507 524.2753 0.2998859 0.3505023
Moved 3003.654 490 524 0.300926 0.3497942
Moved 3003.685 490 525 0.300926 0.3523662
Moved 3003.716 481.1699 526.9811 0.2804858 0.3574616
Moved 3003.747 455.1447 527 0.2202422 0.3575102
Moved 3003.777 413.9854 527 0.1249662 0.3575102
Moved 3003.808 380.6968 517.4495 0.04790932 0.3329461
Moved 3003.839 355.3982 514.1553 -0.01065225 0.3244736
Moved 3003.869 334.3655 511.338 -0.05933901 0.3172272
Moved 3003.9 315.3387 509 -0.1033827 0.3112139
Moved 3003.931 301.0154 508 -0.1365384 0.3086419
Moved 3003.962 289.1379 508 -0.1640325 0.3086419
Moved 3003.992 277.6252 508 -0.1906825 0.3086419
Moved 3004.023 267.8692 508 -0.2132657 0.3086419
Moved 3004.054 258 508 -0.2361111 0.3086419
Moved 3004.085 252.6496 508 -0.2484964 0.3086419
Ended 3004.115 252.6496 508 -0.2484964 0.3086419
Accept 3004.208 0 you
Candidates 3004.208 13 sure suite air series sites days fair arrow store site sue assure die
Began 3004.945 401 448 0.09490739 0.1543209
Stationary 3004.976 401 448 0.09490739 0.1543209
Moved 3005.007 386.9694 448 0.06242912 0.1543209
Moved 3005.037 381.4395 448 0.04962842 0.1543209
Moved 3005.068 372.6513 465.9144 0.02928555 0.2003971
Moved 3005.099 369 487.52 0.02083332 0.255967
Moved 3005.129 369 510.6436 0.02083332 0.3154413
Moved 3005.16 380.7641 533.0565 0.04806508 0.3730875
Moved 3005.191 389.7983 549.6638 0.06897757 0.4158019
Moved 3005.222 398.1541 563.9426 0.08831967 0.4525273
Moved 3005.252 407.9786 575.9786 0.1110616 0.4834839
Moved 3005.283 416.3853 583.2569 0.1305217 0.5022039
Moved 3005.314 432.2419 592.121 0.1672266 0.5250024
Moved 3005.345 446.6434 598.8217 0.2005634 0.5422369
Moved 3005.375 459.8876 600.7775 0.2312214 0.5472671
Moved 3005.406 476.7612 601 0.2702804 0.5478393
Moved 3005.437 496.5231 602 0.3160256 0.5504114
Moved 3005.468 516.6238 602 0.3625552 0.5504114
Moved 3005.498 535.0118 596.9882 0.40512 0.5375208
Moved 3005.529 555 591.5 0.4513889 0.5234053
Moved 3005.56 570.7593 587.6481 0.4878689 0.5134982
Moved 3005.591 584.9252 583.7687 0.5206603 0.5035202
Moved 3005.621 593.1898 581.2701 0.5397913 0.4970937
Moved 3005.652 597.5995 579.4005 0.5499988 0.4922852
Moved 3005.683 598.5 578.5 0.5520834 0.489969
Moved 3005.713 598 576.6622 0.550926 0.4852421
