the collapse of the Roman empire
the collapse of the Roman empire
FixStart
List

0.6 0.6
432 388.8
Began 117.6017 466 401 0.2453704 0.03343609
Stationary 117.6325 466 401 0.2453704 0.03343609
Stationary 117.6632 466 401 0.2453704 0.03343609
Moved 117.6939 452.5902 413.1147 0.2143292 0.06459538
Moved 117.7246 441.6244 433.2761 0.1889452 0.1164509
Moved 117.7553 428.2469 455.8049 0.1579789 0.1743954
Moved 117.7861 413.9109 486.1781 0.1247938 0.2525156
Moved 117.8168 408.4137 502.9658 0.1120687 0.2956939
Moved 117.8475 405.339 510.322 0.1049514 0.3146142
Moved 117.8783 404 515.5309 0.1018518 0.3280116
Moved 117.909 404 518.4032 0.1018518 0.3353991
Stationary 117.9397 404 518.4032 0.1018518 0.3353991
Moved 117.9704 415.2531 505.9337 0.1279006 0.3033272
Moved 118.0011 433.6996 483.2864 0.1706008 0.245078
Moved 118.0318 452.926 457.8094 0.2151065 0.179551
Moved 118.0625 469.2639 437.6833 0.2529257 0.1277863
Moved 118.0933 480.6826 414.6348 0.2793578 0.06850513
Moved 118.124 487.5976 394.2073 0.2953647 0.01596517
Moved 118.1547 492.3354 382.6583 0.306332 -0.01373895
Moved 118.1855 495.2135 376.5731 0.3129941 -0.02939028
Moved 118.2162 496.0808 372.8384 0.3150018 -0.03899586
Moved 118.2469 496 371.6271 0.3148148 -0.04211135
Moved 118.2776 496 370.9867 0.3148148 -0.04375858
Moved 118.3083 461.589 382.8356 0.2351597 -0.01328292
Moved 118.3391 428.4646 412.1129 0.1584829 0.06201858
Moved 118.3695 403.5513 437.2168 0.1008131 0.1265863
Moved 118.4005 383.1287 459.5165 0.05353868 0.1839415
Moved 118.4312 367.4253 480.1194 0.01718829 0.2369326
Moved 118.462 359.2392 492.1412 -0.001761119 0.2678529
Moved 118.4927 356.0765 496.847 -0.009082158 0.2799562
Moved 118.5234 353.207 500 -0.0157246 0.2880658
Moved 118.5541 351.336 502.664 -0.02005547 0.2949176
Moved 118.5849 349.9286 504.0714 -0.02331331 0.2985373
Moved 118.6155 350 505 -0.02314816 0.3009258
Moved 118.6463 350 506.4797 -0.02314816 0.3047317
Ended 118.677 350 507 -0.02314816 0.3060699
Candidates 118.8306 13 the there what where that gene refer she gender enter edge genre else
Began 120.4897 421 428 0.1412037 0.1028806
Stationary 120.5204 421 428 0.1412037 0.1028806
Stationary 120.5511 421 428 0.1412037 0.1028806
Stationary 120.5818 421 428 0.1412037 0.1028806
Stationary 120.6125 421 428 0.1412037 0.1028806
Moved 120.6433 405.9262 413.7933 0.1063106 0.06634084
Moved 120.674 392.611 395.5776 0.07548839 0.01948957
Moved 120.7047 372.4869 369.6086 0.02890478 -0.04730311
Moved 120.7354 357.0079 347.6759 -0.006926159 -0.1037143
Moved 120.7662 346.433 333.0549 -0.03140519 -0.1413197
Moved 120.7969 336.7963 321.7963 -0.05371223 -0.1702769
Moved 120.8276 327.1804 307.9674 -0.07597123 -0.2058452
Moved 120.8583 321.5201 298.5602 -0.08907387 -0.2300405
Moved 120.889 316.6466 293.2932 -0.1003551 -0.2435874
Moved 120.9198 315 290.1407 -0.1041667 -0.2516958
Moved 120.9504 313.7111 288.7111 -0.1071503 -0.2553727
Moved 120.9812 313 286.6982 -0.1087963 -0.2605498
Moved 121.0119 311.9806 287 -0.1111561 -0.2597736
Moved 121.0426 312 285.7501 -0.1111111 -0.2629884
Stationary 121.0734 312 286 -0.1111111 -0.2623458
Moved 121.1041 324.8518 300.6221 -0.08136162 -0.2247374
Moved 121.1348 348.1629 327.0256 -0.0274006 -0.1568273
Moved 121.1655 372.252 356.5651 0.02836118 -0.08085125
Moved 121.1963 399.3052 392.3815 0.09098421 0.01126917
Moved 121.227 417.1455 411.8364 0.1322812 0.06130744
Moved 121.2577 433.7903 433.2553 0.1708108 0.1163973
Moved 121.2884 448.7833 454.4966 0.2055169 0.1710304
Moved 121.3192 461.8615 472.2922 0.2357904 0.2168008
Moved 121.3498 474.7583 493.765 0.2656443 0.2720294
Moved 121.3806 484.4988 510.1235 0.2881916 0.3141035
Moved 121.4113 490.4852 520.4554 0.302049 0.3406775
Moved 121.442 497.7169 530.0754 0.3187893 0.3654203
Moved 121.4728 501.8608 536.7216 0.3283814 0.3825142
