I want to hold your hand
I want to hold your hand
Basic
Radial

0.6 0.6
432 388.8
Began 1218.352 371 420 0.025463 0.08230445
Ended 1218.382 371 420 0.025463 0.08230445
Candidates 1218.444 10 g h f j y t d u r k
Began 1219.765 405 340 0.1041667 -0.1234569
Moved 1219.796 358.4381 340 -0.003615568 -0.1234569
Moved 1219.826 265.5085 340 -0.2187304 -0.1234569
Moved 1219.857 191.8979 340 -0.3891252 -0.1234569
Moved 1219.888 146.7662 347.058 -0.4935969 -0.1053035
Ended 1219.918 124 352 -0.5462962 -0.09259266
Cancel 1219.98
Began 1220.41 476 535 0.2685185 0.3780863
Stationary 1220.441 476 535 0.2685185 0.3780863
Stationary 1220.471 476 535 0.2685185 0.3780863
Ended 1220.502 476 535 0.2685185 0.3780863
Candidates 1220.594 5 I o u p y
Began 1221.24 452 359 0.2129629 -0.07458848
Stationary 1221.27 452 359 0.2129629 -0.07458848
Moved 1221.301 472.0143 359 0.2592924 -0.07458848
Moved 1221.332 570.793 359 0.4879467 -0.07458848
Moved 1221.362 609.0843 359 0.576584 -0.07458848
Ended 1221.393 634 344 0.6342593 -0.1131688
Accept 1221.455 0 I
Began 1222.038 242 575 -0.2731481 0.480967
Moved 1222.069 237.7365 570.7365 -0.2830175 0.4700011
Moved 1222.1 229.6178 562.6178 -0.3018106 0.4491197
Moved 1222.13 216.1406 546.1406 -0.3330079 0.4067402
Moved 1222.161 196.9933 518.49 -0.3773303 0.3356223
Moved 1222.192 190.4041 509.1656 -0.3925832 0.3116399
Moved 1222.223 178.5937 492.7125 -0.4199219 0.2693221
Moved 1222.253 170.3783 477.7565 -0.4389392 0.2308552
Moved 1222.284 160.8995 460.799 -0.4608808 0.1872402
Moved 1222.315 155.4225 447.8451 -0.4735589 0.1539224
Moved 1222.346 150.4517 437.3552 -0.4850655 0.1269422
Moved 1222.376 147.0071 428.0284 -0.4930391 0.1029538
Moved 1222.407 145.251 419.753 -0.4971042 0.08166917
Moved 1222.438 145 412.4966 -0.4976852 0.06300569
Moved 1222.469 145 405.214 -0.4976852 0.04427466
Moved 1222.499 151.1988 396.9337 -0.4833361 0.02297755
Moved 1222.53 167.2047 386.1688 -0.4462855 -0.004710052
Moved 1222.561 192.9473 376.1345 -0.3866962 -0.03051828
Moved 1222.591 223.5 365.5 -0.3159722 -0.05787045
Moved 1222.622 277.5423 349.2253 -0.1908744 -0.09972906
Moved 1222.653 313.6152 335.9941 -0.1073722 -0.1337599
Moved 1222.684 344.526 319.2765 -0.03581951 -0.176758
Moved 1222.714 361.0623 308.8215 0.002458989 -0.2036484
Moved 1222.745 386.103 290.0546 0.06042361 -0.2519173
Moved 1222.776 400.5675 275.519 0.09390622 -0.289303
Moved 1222.806 411.7003 263.6246 0.1196765 -0.3198955
Moved 1222.837 416.0662 257.8677 0.1297828 -0.3347026
Moved 1222.868 419.5 254.5 0.1377314 -0.3433642
Moved 1222.899 419 255 0.1365741 -0.3420782
Moved 1222.929 408.294 280.3824 0.1117918 -0.2767941
Moved 1222.96 394.5392 317.8221 0.07995188 -0.1804988
Moved 1222.991 377 365 0.03935188 -0.05915646
Moved 1223.021 363.8293 406.8047 0.008864204 0.04836592
Moved 1223.052 355.6665 441.1118 -0.01003126 0.1366042
Moved 1223.083 344.7657 479.1498 -0.03526459 0.2344388
Moved 1223.114 334.1867 507.0332 -0.05975301 0.3061553
Moved 1223.144 321.1858 535.5356 -0.08984779 0.3794639
Moved 1223.175 310.6793 555.6414 -0.1141683 0.4311764
Ended 1223.206 307 561 -0.1226852 0.4449587
Candidates 1223.298 13 want range went rant wander teacher randy sent came grant fame wake take
Began 1223.912 391 416 0.07175922 0.07201634
Moved 1223.943 424.0524 416 0.1482694 0.07201634
Moved 1223.974 505.6653 416 0.3371882 0.07201634
Moved 1224.005 576.3403 429.4822 0.5007877 0.1066929
Ended 1224.035 592 431 0.5370371 0.1105966
Accept 1224.097 0 want
Began 1224.588 249 533 -0.2569445 0.3729423
Stationary 1224.619 249 533 -0.2569445 0.3729423
Moved 1224.65 275.1798 533 -0.196343 0.3729423
Moved 1224.681 310.3695 533 -0.1148855 0.3729423
Moved 1224.711 337.5761 533 -0.05190715 0.3729423
Moved 1224.742 368.4923 533 0.01965801 0.3729423
Moved 1224.773 387.1202 540.1202 0.06277829 0.3912556
Moved 1224.803 406.4522 543.5577 0.1075282 0.400097
Moved 1224.834 426.8461 546.2308 0.1547364 0.4069721
Moved 1224.865 443.9497 548.9916 0.1943279 0.414073
Moved 1224.896 459.7421 551 0.2308846 0.4192385
Moved 1224.926 476.5 552 0.2696759 0.4218106
Moved 1224.957 492.581 553.9401 0.3069005 0.4268006
Moved 1224.988 509.9 555 0.3469908 0.4295266
Ended 1225.019 512 555 0.3518519 0.4295266
Candidates 1225.08 13 to trip rio wto rep ep ri trio wp woo wo wi eu
Began 1225.756 420 368 0.1388889 -0.05144041
Moved 1225.787 438.9267 368 0.1827008 -0.05144041
Moved 1225.817 492.9176 368 0.3076797 -0.05144041
Moved 1225.848 562.0017 376.9566 0.4675965 -0.02840387
