learn to walk before you run
learn to walk before you run
Basic
List

0.6 0.6
432 388.8
Began 1882.502 488 315 0.2962963 -0.1877573
Stationary 1882.533 488 315 0.2962963 -0.1877573
Stationary 1882.563 488 315 0.2962963 -0.1877573
Stationary 1882.594 488 315 0.2962963 -0.1877573
Stationary 1882.625 488 315 0.2962963 -0.1877573
Stationary 1882.656 488 315 0.2962963 -0.1877573
Moved 1882.686 477.7403 315 0.272547 -0.1877573
Moved 1882.717 469.8301 315 0.2542363 -0.1877573
Moved 1882.748 465.5 315 0.244213 -0.1877573
Moved 1882.779 455.758 315 0.2216621 -0.1877573
Moved 1882.809 448.1251 322 0.2039933 -0.1697531
Moved 1882.84 442.4605 325.693 0.1908807 -0.1602547
Moved 1882.871 438.6726 330.3274 0.1821126 -0.148335
Moved 1882.902 436.4689 337.0623 0.1770113 -0.1310127
Moved 1882.932 435 346.1918 0.1736111 -0.1075314
Moved 1882.963 433.0635 355.746 0.1691285 -0.0829578
Moved 1882.994 433 372.0565 0.1689814 -0.04100705
Moved 1883.024 431.3218 386.3909 0.1650968 -0.004138672
Moved 1883.055 428.5 398.5 0.1585648 0.02700609
Moved 1883.086 423.8904 409.2192 0.1478944 0.05457623
Moved 1883.117 416.2191 423.5617 0.1301369 0.09146521
Moved 1883.147 407.8081 437.9899 0.1106669 0.1285747
Moved 1883.178 396.6019 451.6777 0.08472661 0.1637801
Moved 1883.209 381.8171 465.1829 0.05050262 0.1985155
Moved 1883.24 369.5759 473.212 0.02216647 0.2191667
Moved 1883.27 354.1172 480.9414 -0.01361758 0.2390467
Moved 1883.301 339.4105 486.5179 -0.04766097 0.2533895
Moved 1883.332 314.2629 487 -0.1058729 0.2546296
Moved 1883.363 301.6256 487 -0.1351259 0.2546296
Moved 1883.393 283.3832 481.2103 -0.1773537 0.2397384
Moved 1883.424 265.7953 473.3591 -0.2180664 0.2195449
Moved 1883.455 251.9783 469.4946 -0.2500503 0.2096052
Moved 1883.486 243.2706 468 -0.2702069 0.2057612
Moved 1883.516 238.082 467 -0.2822176 0.2031892
Moved 1883.547 237 467 -0.2847222 0.2031892
