why do you ask silly questions
why do you ask silly questions
FixStart
Radial

0.6 0.6
432 388.8
Stationary 1562.934 564 579 0.4722223 0.4912551
Moved 1562.965 539.9558 579 0.4165643 0.4912551
Moved 1562.995 509.2263 585.824 0.3454313 0.5088065
Moved 1563.026 490.7362 587.8528 0.3026301 0.5140246
Moved 1563.057 477.5 590.5 0.2719907 0.5208333
Moved 1563.088 463.7169 593.2566 0.2400854 0.5279232
Moved 1563.118 454.6122 595 0.2190097 0.5324073
Moved 1563.149 448.0115 596.9962 0.2037303 0.5375414
Moved 1563.18 444.5004 597.4996 0.1956027 0.5388364
Ended 1563.211 444 598 0.1944444 0.5401233
Candidates 1563.303 13 you it i your toy for got foot fully to o utility tour
Began 1563.641 299 505 -0.1412037 0.3009258
Stationary 1563.672 299 505 -0.1412037 0.3009258
Moved 1563.703 318.8459 505 -0.09526423 0.3009258
Moved 1563.733 356.6287 505 -0.007804036 0.3009258
Moved 1563.764 394.2177 505 0.07920761 0.3009258
Moved 1563.795 426.6617 513.0574 0.1543095 0.3216497
Moved 1563.825 454.212 515.0236 0.2180834 0.3267066
Moved 1563.856 471.5 519 0.2581018 0.3369341
Ended 1563.887 477 520 0.2708333 0.3395061
Accept 1563.948 0 you
Began 1564.133 326 474 -0.07870371 0.2211934
Stationary 1564.164 326 474 -0.07870371 0.2211934
Moved 1564.194 300.4323 474 -0.1378882 0.2211934
Moved 1564.225 281.5 474 -0.181713 0.2211934
Moved 1564.256 254.9893 474 -0.2430804 0.2211934
Moved 1564.286 225.1359 474 -0.3121854 0.2211934
Moved 1564.317 205.2073 464.0829 -0.3583164 0.1956865
Moved 1564.348 191.1198 460.624 -0.3909263 0.18679
Moved 1564.379 176.5488 455.6372 -0.4246556 0.1739639
Moved 1564.409 166.069 451.7673 -0.4489143 0.1640104
Moved 1564.44 159.8086 450 -0.4634061 0.1594649
Moved 1564.471 154.7995 448.3998 -0.4750011 0.1553491
Moved 1564.502 151.5316 448 -0.4825658 0.1543209
Moved 1564.532 149.5 448 -0.4872685 0.1543209
Moved 1564.563 147.5 448 -0.4918982 0.1543209
Moved 1564.594 147 448 -0.4930556 0.1543209
Stationary 1564.625 147 448 -0.4930556 0.1543209
Moved 1564.655 180.9383 462.4815 -0.4144946 0.1915675
Moved 1564.686 200.0917 467.0131 -0.3701581 0.203223
Moved 1564.717 215.4354 469.8871 -0.3346403 0.2106148
Moved 1564.748 235.2081 472.744 -0.2888701 0.217963
Moved 1564.778 254.5 473 -0.244213 0.2186213
Moved 1564.809 267.7426 473 -0.2135587 0.2186213
Moved 1564.84 284.3868 474 -0.1750306 0.2211934
Moved 1564.871 307.4849 474.9264 -0.1215627 0.223576
Moved 1564.901 329.1667 476.3519 -0.07137334 0.2272423
Moved 1564.932 357.0086 476 -0.00692457 0.2263374
Moved 1564.963 381.6164 476 0.0500379 0.2263374
Moved 1564.994 397.3405 476 0.08643638 0.2263374
Moved 1565.024 407.8705 476 0.1108114 0.2263374
Moved 1565.055 427.1497 476 0.155439 0.2263374
Moved 1565.086 442.5971 476 0.1911969 0.2263374
Moved 1565.116 453.5724 476 0.2166028 0.2263374
Moved 1565.147 465.9161 477.729 0.2451762 0.2307844
Moved 1565.178 474.7967 479 0.265733 0.2340534
Moved 1565.209 482.4018 480 0.2833374 0.2366254
Moved 1565.24 485.981 481 0.2916228 0.2391974
Moved 1565.27 489.8509 481 0.3005809 0.2391974
Ended 1565.301 491.2859 482.2859 0.3039025 0.2425047
Candidates 1565.362 13 all ask al fall hall gal ago call gsk walk talk wall deal
Began 1565.885 342 465 -0.04166668 0.1980452
Stationary 1565.916 342 465 -0.04166668 0.1980452
Stationary 1565.947 342 465 -0.04166668 0.1980452
Stationary 1565.977 342 465 -0.04166668 0.1980452
Moved 1566.008 356.9534 484.9067 -0.007052373 0.2492456
Moved 1566.039 363.3696 503.1088 0.007800063 0.2960617
Moved 1566.07 369.1255 517.3137 0.02112379 0.3325967
Moved 1566.1 375.7974 532.1938 0.03656795 0.3708688
Moved 1566.131 382.9467 545.8934 0.05311738 0.4061042
Moved 1566.162 391.0021 557.3361 0.07176409 0.4355352
Moved 1566.192 397.7607 566.641 0.08740901 0.4594675
Moved 1566.223 410.8504 579.8504 0.1177092 0.4934423
Moved 1566.254 425.7448 592.7448 0.1521869 0.5266067
Moved 1566.285 434.3703 598.9135 0.1721534 0.5424729
Moved 1566.315 440.0038 602.0019 0.1851939 0.5504162
Ended 1566.346 445 604 0.1967593 0.5555555
Accept 1566.438 1 ask
Began 1566.623 413 548 0.1226852 0.4115225
Stationary 1566.654 413 548 0.1226852 0.4115225
Stationary 1566.684 413 548 0.1226852 0.4115225
Moved 1566.715 389 548 0.06712963 0.4115225
Moved 1566.746 360.2375 537.4138 0.0005497535 0.3842945
Moved 1566.776 338.64 531.8972 -0.04944438 0.3701058
Moved 1566.807 323.3156 528.0789 -0.08491769 0.3602852
Moved 1566.838 312.4948 525.6237 -0.1099659 0.3539703
Moved 1566.869 301.5396 524 -0.135325 0.3497942
Moved 1566.9 291.1034 524 -0.1594828 0.3497942
Moved 1566.93 283.8068 524 -0.1763732 0.3497942
Moved 1566.961 277.7331 524 -0.1904326 0.3497942
Moved 1566.992 273.4932 524 -0.2002473 0.3497942
Moved 1567.022 270.6304 524 -0.2068741 0.3497942
Stationary 1567.053 270.6304 524 -0.2068741 0.3497942
Moved 1567.084 305.2529 545.5015 -0.1267294 0.4050964
Moved 1567.115 363.0448 570.9088 0.00704805 0.4704444
Moved 1567.145 412.8145 592.4189 0.1222559 0.5257686
Moved 1567.176 455.5983 609.2463 0.2212924 0.5690491
Moved 1567.207 492.9023 627.4012 0.3076442 0.6157438
Moved 1567.238 516.5791 638.2896 0.3624517 0.6437488
Moved 1567.268 530 644 0.3935185 0.6584361
Moved 1567.299 541.4868 649.1623 0.4201084 0.6717136
Moved 1567.33 548.0701 652 0.4353474 0.6790121
Moved 1567.361 550.9071 653.9071 0.4419146 0.6839173
Moved 1567.391 553.3622 654 0.4475976 0.6841563
Moved 1567.422 556.3492 654 0.4545121 0.6841563
Moved 1567.453 558.2105 654 0.4588206 0.6841563
Moved 1567.484 560.0411 654 0.4630582 0.6841563
Moved 1567.514 561.2651 654 0.4658916 0.6841563
Moved 1567.545 562.0261 654 0.4676529 0.6841563
Moved 1567.576 564.1797 654 0.4726382 0.6841563
Moved 1567.606 565 646.0999 0.474537 0.6638371
Moved 1567.637 565 637.652 0.474537 0.6421089
Moved 1567.668 565 631.5694 0.474537 0.6264644
Moved 1567.699 565 615.6919 0.474537 0.5856273
Moved 1567.729 556.9736 598.8153 0.4559574 0.5422204
Moved 1567.76 555 581.5192 0.4513889 0.4977346
Moved 1567.791 554 569.9159 0.4490741 0.4678906
Moved 1567.822 553 560.5 0.4467593 0.4436727
Moved 1567.852 553 552.5511 0.4467593 0.4232281
Moved 1567.883 553 545.9554 0.4467593 0.4062639
Moved 1567.914 561.9036 540.1929 0.4673693 0.3914424
Moved 1567.945 564.3651 537.6349 0.4730673 0.3848635
Moved 1567.975 568.3478 533.6522 0.4822867 0.3746197
Moved 1568.006 572.2166 530.7834 0.4912422 0.3672411
Moved 1568.037 574.0433 530 0.4954707 0.3652262
Moved 1568.068 574 528.8615 0.4953703 0.3622979
Stationary 1568.098 574 529 0.4953703 0.3626543
Moved 1568.129 559.1758 545.8242 0.4610552 0.4059262
Moved 1568.16 537.9239 561.4868 0.4118608 0.4462107
Moved 1568.191 509.9774 576.3759 0.34717 0.4845059
Moved 1568.221 487.7581 587.818 0.2957363 0.5139351
Moved 1568.252 465.2029 598.8986 0.2435253 0.5424344
