electric cars need big fuel cells
electric cars need big fuel cells
Basic
List

0.6 0.6
432 388.8
Moved 1377.696 279 190.0138 -0.1875 -0.5092238
Moved 1377.727 277.9309 190 -0.1899747 -0.5092593
Moved 1377.758 276.6255 188.6255 -0.1929964 -0.5127946
Moved 1377.789 276 187.8625 -0.1944444 -0.5147569
Ended 1377.819 275 187 -0.1967592 -0.5169753
Candidates 1377.85 13 electric atlantic specific diabetic romantic electronic authentic classic music phylogenetic appendix synthetic plastic
Began 1378.557 365 430 0.01157403 0.1080246
Stationary 1378.588 365 430 0.01157403 0.1080246
Moved 1378.618 344.693 430 -0.03543287 0.1080246
Moved 1378.649 331.345 439.9138 -0.06633093 0.1335229
Moved 1378.68 321.065 442.4838 -0.09012729 0.140133
Moved 1378.711 312.9388 445.3537 -0.1089379 0.1475146
Moved 1378.741 305.5556 449.2222 -0.1260287 0.1574645
Moved 1378.772 298.5466 452.6356 -0.1422532 0.1662437
Moved 1378.803 292.3671 455.6329 -0.1565577 0.173953
Moved 1378.833 287 458.5 -0.1689815 0.181327
Moved 1378.864 284.6238 460.3762 -0.1744819 0.1861526
Moved 1378.895 282.1198 461 -0.1802781 0.1877571
Moved 1378.926 280.2481 462 -0.1846109 0.1903292
Moved 1378.956 278.3784 463.6216 -0.1889388 0.1944999
Moved 1378.987 275.5081 465.4919 -0.1955832 0.1993105
Moved 1379.018 272.9624 467.0376 -0.2014759 0.2032859
Moved 1379.049 268.1642 469.9179 -0.2125829 0.2106941
Moved 1379.079 262.4377 473.7811 -0.2258387 0.2206304
Moved 1379.11 258.7874 477.2126 -0.2342884 0.2294562
Moved 1379.141 254.8366 481.1634 -0.2434338 0.2396177
Moved 1379.172 251 484 -0.2523148 0.2469135
Moved 1379.202 249.0927 485.9073 -0.2567299 0.2518193
Moved 1379.233 248 488.4719 -0.2592593 0.2584153
Moved 1379.264 245.5 489.5 -0.2650463 0.2610596
Moved 1379.294 244.5 490 -0.2673611 0.2623456
Moved 1379.325 243.6759 491.324 -0.2692687 0.265751
Moved 1379.356 243 492 -0.2708333 0.2674896
Moved 1379.387 242.5079 493 -0.2719724 0.2700616
Moved 1379.417 241.5 493 -0.2743055 0.2700616
Moved 1379.448 241.1332 493 -0.2751546 0.2700616
Moved 1379.479 241 494.3718 -0.275463 0.2735898
Stationary 1379.51 241 494 -0.275463 0.2726337
Moved 1379.54 239.8393 494 -0.2781498 0.2726337
Stationary 1379.571 240 494 -0.2777777 0.2726337
Stationary 1379.602 240 494 -0.2777777 0.2726337
Stationary 1379.632 240 494 -0.2777777 0.2726337
Stationary 1379.663 240 494 -0.2777777 0.2726337
