I can still feel your presence
I can still feel your presence
Basic
Radial

0.6 0.6
432 388.8
Moved 1802.36 560.6935 357.3065 0.4645683 -0.07894445
Moved 1802.391 562 351.1036 0.4675925 -0.0948982
Moved 1802.422 565.3143 343.0571 0.4752647 -0.115594
Moved 1802.452 568.1917 336.6166 0.4819252 -0.132159
Moved 1802.483 569 331.5187 0.4837963 -0.145271
Moved 1802.514 570 328.3856 0.4861112 -0.1533292
Moved 1802.545 570 326.5209 0.4861112 -0.1581252
Moved 1802.575 571 324.6451 0.4884259 -0.16295
Moved 1802.606 571 324 0.4884259 -0.164609
Ended 1802.637 572.3146 324 0.4914689 -0.164609
Candidates 1802.729 13 still stroll aol silk soil soul from grill full sell will wool swim
Began 1803.374 446 413 0.199074 0.06430033
Stationary 1803.405 446 413 0.199074 0.06430033
Moved 1803.435 478.1082 413 0.2733986 0.06430033
Moved 1803.466 512.5624 413 0.3531537 0.06430033
Moved 1803.497 542.1624 413 0.4216722 0.06430033
Moved 1803.527 581.9625 403.6885 0.5138022 0.04035114
Ended 1803.558 610.809 402.799 0.5805764 0.03806318
Accept 1803.62 0 still
Began 1804.357 259 322 -0.2337963 -0.1697531
Stationary 1804.388 259 322 -0.2337963 -0.1697531
Stationary 1804.418 259 322 -0.2337963 -0.1697531
Stationary 1804.449 259 322 -0.2337963 -0.1697531
Stationary 1804.48 259 322 -0.2337963 -0.1697531
Moved 1804.51 259 335.3542 -0.2337963 -0.135406
Moved 1804.541 247.6705 347.3239 -0.260022 -0.1046198
Moved 1804.572 241 359.5 -0.275463 -0.07330247
Moved 1804.603 230.6983 374.4526 -0.2993096 -0.0348442
Moved 1804.633 220.1936 391.7095 -0.3236259 0.009540902
Moved 1804.664 208.5399 409.1001 -0.350602 0.05426976
Moved 1804.695 200.0052 421.2435 -0.3703583 0.08550267
Moved 1804.726 187.172 444.6559 -0.4000647 0.14572
Moved 1804.756 180.8668 457.2664 -0.4146601 0.1781541
Moved 1804.787 177.0597 466.821 -0.423473 0.202729
Moved 1804.818 175 478.8604 -0.4282407 0.2336943
Moved 1804.849 175 483.1633 -0.4282407 0.2447616
Moved 1804.879 175 491.525 -0.4282407 0.2662678
Moved 1804.91 175 500.7103 -0.4282407 0.2898926
Moved 1804.941 175 506.6777 -0.4282407 0.3052408
Moved 1804.971 175 511.5464 -0.4282407 0.3177634
Moved 1805.002 175 514.4268 -0.4282407 0.3251716
Moved 1805.033 182 515.9192 -0.412037 0.3290102
Moved 1805.063 183 517.7952 -0.4097222 0.3338354
Moved 1805.094 183.6685 519 -0.4081746 0.3369341
