in sharp contrast to your words
in sharp contrast to your words
FixStart
Radial

0.6 0.6
432 388.8
Began 2026.568 337 316 -0.05324075 -0.1851853
Stationary 2026.598 337 316 -0.05324075 -0.1851853
Stationary 2026.629 337 316 -0.05324075 -0.1851853
Moved 2026.66 373.6546 353.6546 0.03160795 -0.088337
Moved 2026.691 403.4102 387.303 0.1004866 -0.001792829
Moved 2026.721 423.7242 407.9064 0.1475096 0.05119959
Moved 2026.752 440.0848 424.7656 0.1853815 0.09456155
Moved 2026.783 453.657 438.7883 0.2167985 0.1306284
Moved 2026.813 467.2375 452.2375 0.248235 0.1652198
Moved 2026.844 472.93 457.8599 0.261412 0.1796808
Moved 2026.875 476 460.8004 0.2685185 0.1872436
Moved 2026.906 477 461 0.2708333 0.1877571
Moved 2026.936 479.109 461 0.2757154 0.1877571
Moved 2026.967 479 439.21 0.275463 0.1317128
Moved 2026.997 467.7998 394.8994 0.2495366 0.01774525
Moved 2027.029 446.7886 326.3658 0.2008995 -0.1585241
Moved 2027.059 439.0125 299.7083 0.1828992 -0.2270877
Moved 2027.09 434.5803 271.9015 0.1726396 -0.2986074
Moved 2027.121 433 248.1975 0.1689814 -0.3595744
Moved 2027.151 432 231.7413 0.1666667 -0.4018999
Moved 2027.182 432 218.4016 0.1666667 -0.4362099
Moved 2027.213 432 207.4486 0.1666667 -0.4643812
Moved 2027.244 432 199.1316 0.1666667 -0.4857727
Moved 2027.274 432 191.3876 0.1666667 -0.5056905
Moved 2027.305 431.3279 187.3279 0.165111 -0.5161321
Ended 2027.336 431 184.7814 0.1643519 -0.5226816
Candidates 2027.428 13 on in ion upon join jim him jon job john inn pin omb
Began 2028.012 247 301 -0.2615741 -0.2237656
Stationary 2028.042 247 301 -0.2615741 -0.2237656
Stationary 2028.073 247 301 -0.2615741 -0.2237656
Stationary 2028.104 247 301 -0.2615741 -0.2237656
Moved 2028.135 255.6113 314.9933 -0.2416405 -0.1877743
Moved 2028.165 272.73 336.685 -0.202014 -0.1319831
Moved 2028.196 290.0973 357.7362 -0.1618118 -0.07783905
Moved 2028.227 303 373 -0.1319445 -0.03858032
Moved 2028.257 315.5984 388.9973 -0.1027815 0.002565031
Moved 2028.288 325.2591 400.3455 -0.08041878 0.03175265
Moved 2028.319 330.9084 406.9084 -0.06734157 0.0486328
Moved 2028.35 335.5206 413.0413 -0.05666519 0.06440649
Moved 2028.38 338.3954 416.3954 -0.05001068 0.07303328
Moved 2028.411 340 418.2621 -0.04629632 0.07783466
Ended 2028.442 341 418 -0.04398147 0.07716041
