sharp cheese keeps the mind sharp
sharp cheese keeps the mind sharp
Basic
List

0.6 0.6
432 388.8
Began 1485.401 280 337 -0.1851852 -0.1311728
Stationary 1485.432 280 337 -0.1851852 -0.1311728
Moved 1485.463 290.881 337 -0.1599976 -0.1311728
Moved 1485.494 321.6586 337 -0.08875325 -0.1311728
Moved 1485.524 364.5504 350.34 0.01053323 -0.09686214
Moved 1485.555 398.478 356.0399 0.08906941 -0.08220209
Moved 1485.586 425.2249 359 0.1509835 -0.07458848
Moved 1485.616 439.7023 359 0.184496 -0.07458848
Moved 1485.647 447.9474 360 0.2035819 -0.07201654
Moved 1485.678 453.4 361 0.2162037 -0.06944452
Moved 1485.708 455.7836 361 0.2217213 -0.06944452
Stationary 1485.739 456 361 0.2222222 -0.06944452
Moved 1485.77 448.2181 361 0.2042086 -0.06944452
Moved 1485.801 409.5457 361 0.114689 -0.06944452
Moved 1485.831 374.0704 361 0.03257046 -0.06944452
Moved 1485.862 334.0906 361 -0.05997539 -0.06944452
Moved 1485.893 301.829 361 -0.1346551 -0.06944452
Moved 1485.924 272.6247 351.5139 -0.2022576 -0.09384296
Moved 1485.954 251.9448 348.9921 -0.2501279 -0.100329
Moved 1485.985 234.647 347 -0.2901689 -0.1054527
Moved 1486.016 218.2512 346 -0.3281222 -0.1080248
Moved 1486.047 209.0435 346 -0.3494363 -0.1080248
Moved 1486.077 201.6317 346 -0.3665932 -0.1080248
Moved 1486.108 196.9554 346 -0.3774181 -0.1080248
Moved 1486.139 195.5295 346 -0.3807187 -0.1080248
Moved 1486.169 195 367.217 -0.3819444 -0.05345426
Moved 1486.2 206.8724 388.5532 -0.3544621 0.001422898
Moved 1486.231 226.5749 427.9529 -0.3088544 0.1027596
Moved 1486.261 245.4497 461.3423 -0.2651627 0.1886377
Moved 1486.292 260.8335 488.5335 -0.2295521 0.2585738
Moved 1486.323 274.2055 509.0877 -0.1985983 0.3114395
Moved 1486.354 284.9348 524.5579 -0.1737622 0.3512291
Moved 1486.384 295.2862 539.0007 -0.1498005 0.3883761
Moved 1486.415 305.9184 552.9184 -0.1251889 0.4241727
Moved 1486.446 322.0168 567.4134 -0.08792409 0.4614541
Moved 1486.477 335.9056 577.4292 -0.05577411 0.4872149
Moved 1486.507 358.9182 586.9703 -0.002504091 0.5117548
Moved 1486.538 397.0167 592 0.08568685 0.5246913
Moved 1486.569 430.4099 592 0.1629858 0.5246913
Moved 1486.599 454.1591 592 0.2179609 0.5246913
Moved 1486.63 488.8642 575.2543 0.2982967 0.4816211
Moved 1486.661 519.6092 562.7563 0.3694657 0.4494761
Moved 1486.691 540.459 557.0676 0.4177291 0.4348446
Moved 1486.722 560.4185 552.5117 0.4639316 0.4231266
Moved 1486.753 577.7067 551 0.5039507 0.4192385
Ended 1486.784 594.5314 551 0.5428966 0.4192385
Candidates 1486.845 13 sharp map nato snap video cheap neo metro sheep lap ceo keep crop
Began 1488.043 298 228 -0.1435185 -0.4115227
Stationary 1488.074 298 228 -0.1435185 -0.4115227
Stationary 1488.105 298 228 -0.1435185 -0.4115227
Moved 1488.135 288.3242 244.587 -0.1659162 -0.3688606
Moved 1488.166 286.1242 257.5032 -0.1710089 -0.3356398
Moved 1488.197 281.1932 278.0339 -0.1824231 -0.2828345
Moved 1488.228 278.3293 292.3538 -0.1890527 -0.2460038
Moved 1488.258 278 308 -0.1898148 -0.2057614
Moved 1488.289 278 325.6345 -0.1898148 -0.1604052
Moved 1488.32 292.7365 347.5389 -0.1557024 -0.1040665
Moved 1488.35 309.6501 374.0715 -0.1165507 -0.03582432
Moved 1488.381 327.0447 396.6289 -0.0762854 0.02219361
Moved 1488.412 345.2287 417.4744 -0.0341929 0.07580867
Moved 1488.443 359.6005 435.7206 -0.0009248654 0.1227381
