in sharp contrast to your words
in sharp contrast to your words
FixStart
List

0.6 0.6
432 388.8
Moved 486.8009 549.8837 399.3721 0.4395457 0.02924903
Moved 486.8317 560.6978 394.6511 0.4645782 0.01710672
Moved 486.8624 568.0886 391.9557 0.4816865 0.01017402
Moved 486.8927 572.1478 390 0.4910828 0.005143954
Moved 486.9239 576.8899 389 0.5020599 0.002572016
Moved 486.9545 581.2971 386.7029 0.5122619 -0.00333629
Moved 486.9852 587.3326 385.8337 0.5262329 -0.005571891
Moved 487.0161 590.6779 386 0.5339765 -0.005144111
Moved 487.0468 594.5494 385 0.5429384 -0.007716127
Moved 487.0775 597.4245 385 0.5495938 -0.007716127
Moved 487.1082 599.9773 385 0.555503 -0.007716127
Moved 487.1389 601.8376 385 0.5598094 -0.007716127
Moved 487.1696 603.712 385 0.5641482 -0.007716127
Ended 487.2004 605 385 0.5671296 -0.007716127
Accept 487.2618 0 in
Candidates 487.2618 13 sharp shall sheep detail thai stark step wrap hero apparel ceo so ratio
Began 487.9686 485 369 0.2893518 -0.04886839
Stationary 487.9993 485 369 0.2893518 -0.04886839
Stationary 488.0301 485 369 0.2893518 -0.04886839
Stationary 488.0607 485 369 0.2893518 -0.04886839
Moved 488.0915 474.1964 347.9822 0.2643436 -0.1029263
Moved 488.1222 467.9916 324.9662 0.2499805 -0.1621239
Moved 488.1529 461 302.5 0.2337964 -0.2199075
Moved 488.1837 450.7407 281.4813 0.2100479 -0.2739679
Moved 488.2144 439.1472 256.2944 0.1832111 -0.3387491
Moved 488.2451 432.3612 241.7224 0.1675029 -0.3762284
Moved 488.2759 427.5326 233.2988 0.1563254 -0.397894
Moved 488.3066 422.811 226.6221 0.1453959 -0.4150667
Moved 488.3373 418.9394 221.9393 0.1364337 -0.4271109
Moved 488.368 417.0681 219.0681 0.1321022 -0.4344956
Moved 488.3988 415.5203 218 0.1285191 -0.4372429
Stationary 488.4295 416 218 0.1296297 -0.4372429
Moved 488.4602 428.6509 233.8136 0.1589141 -0.39657
Moved 488.4909 458.1952 275.393 0.2273036 -0.2896271
Moved 488.5217 499.1863 330.7795 0.3221906 -0.1471721
Moved 488.5524 531.0536 380.7289 0.3959574 -0.01870136
Moved 488.5832 548.0082 405.0123 0.4352041 0.04375579
Moved 488.6138 559.5118 420.3165 0.4618328 0.0831186
Moved 488.6446 570.3111 434.0815 0.4868313 0.1185223
Moved 488.6753 577.2891 444.2891 0.5029839 0.1447763
Moved 488.706 580.5 448.5 0.5104166 0.1556069
Moved 488.7367 583.0532 452.0532 0.5163267 0.1647457
Moved 488.7675 584 453 0.5185185 0.167181
Moved 488.7981 575.2012 445.0011 0.4981509 0.1466077
Moved 488.8289 534.8605 399.1707 0.4047698 0.02873099
Moved 488.8596 480.7063 315.2278 0.2794128 -0.1871714
Moved 488.8904 469.8444 275.2217 0.2542693 -0.2900675
Moved 488.9211 468 245.6998 0.25 -0.3659984
Moved 488.9518 468 221.8191 0.25 -0.4274202
Moved 488.9825 467 201.9233 0.2476852 -0.4785923
Moved 489.0133 467 189.3439 0.2476852 -0.5109469
Moved 489.044 466 179.5923 0.2453704 -0.5360281
Moved 489.0748 466 173.7925 0.2453704 -0.5509452
Moved 489.1055 466 168.0532 0.2453704 -0.5657068
Moved 489.1362 465 165.658 0.2430555 -0.5718674
Moved 489.1669 458.5669 177.7717 0.2281642 -0.5407106
Moved 489.1976 441.0601 228.9716 0.1876392 -0.4090238
Moved 489.2284 432.3413 278.5389 0.1674568 -0.2815358
Moved 489.2591 429.5 323 0.1608796 -0.1671811
Moved 489.2899 428.5073 363.4344 0.1585817 -0.06318332
Moved 489.3206 429 372.6353 0.1597223 -0.03951838
Moved 489.3513 429 388.985 0.1597223 0.002533555
Moved 489.382 429 398.6646 0.1597223 0.02742952
Moved 489.4128 429 408.7085 0.1597223 0.05326255
Moved 489.4435 429 414.0904 0.1597223 0.06710484
Moved 489.4742 429 418.839 0.1597223 0.07931834
Moved 489.5049 436 421.4719 0.1759259 0.0860901
Moved 489.5356 438.3393 425.6786 0.1813411 0.09690998
Moved 489.5664 443.4313 431.647 0.1931281 0.1122606
Moved 489.5971 450.6091 438.4137 0.2097433 0.1296648
Moved 489.6278 454.6064 443.6064 0.2189964 0.1430206
Moved 489.6586 455 447.479 0.2199073 0.152981
Moved 489.6893 455 450.3514 0.2199073 0.1603687
Moved 489.72 441.2987 454.8506 0.1881913 0.1719409
Moved 489.7508 430.8084 458.5958 0.1639084 0.1815734
Moved 489.7815 422.9983 460.6672 0.1458294 0.1869012
Moved 489.8123 415.5 462 0.1284723 0.1903292
Moved 489.843 408.8509 463 0.1130807 0.1929011
Moved 489.8737 399.1613 464 0.09065112 0.1954732
Moved 489.9044 391.5443 464 0.07301906 0.1954732
Moved 489.9352 385.2853 464 0.05853087 0.1954732
Moved 489.9659 378.4169 464 0.04263172 0.1954732
Moved 489.9966 369.7254 464 0.02251248 0.1954732
Moved 490.0273 348.461 441.4034 -0.02671058 0.1373543
Moved 490.058 325.5667 417.0741 -0.07970681 0.07477897
Moved 490.0888 314.9319 401.2197 -0.1043244 0.03400123
Moved 490.1195 307.5242 389.2863 -0.1214718 0.003308386
Moved 490.1503 304.1827 383.3654 -0.1292067 -0.01192038
Moved 490.181 302.371 379.7419 -0.1334005 -0.02123993
Moved 490.2117 300.5 376.5 -0.1377315 -0.02957819
Moved 490.2424 301 375.8157 -0.1365741 -0.03133821
Stationary 490.2731 301 375.8157 -0.1365741 -0.03133821
Moved 490.3039 329.8585 393.6373 -0.06977196 0.01449911
Moved 490.3346 355.4943 407.7471 -0.01042982 0.05078983
Moved 490.3653 370.5 415 0.02430558 0.06944436
Moved 490.396 380.3213 420.1606 0.04703999 0.08271762
Moved 490.4268 388.904 425.952 0.0669073 0.09761295
Moved 490.4576 393.6469 429.8235 0.07788648 0.1075706
Moved 490.4883 396.2389 432.2389 0.08388628 0.1137831
Moved 490.519 401.4017 437.4017 0.09583732 0.127062
Moved 490.5497 409.2072 444.2073 0.1139057 0.144566
Moved 490.5804 423.5615 455.7077 0.1471332 0.1741453
Moved 490.6112 439.4181 467.4415 0.1838381 0.2043247
Moved 490.6418 452.4377 478.0783 0.2139762 0.2316828
Moved 490.6726 462.6959 486.6959 0.237722 0.2538475
Moved 490.7033 473.444 495.444 0.2626018 0.2763475
Moved 490.7341 482.8745 501.6248 0.2844318 0.2922449
Ended 490.7648 487.18 503.06 0.2943982 0.2959361
Accept 490.857 0 sharp
Candidates 490.857 13 contrast coverage increase chinese be contest contact contrary library university concrete diverse anniversary
Began 491.9018 422 353 0.1435185 -0.09002065
Stationary 491.9325 422 353 0.1435185 -0.09002065
Moved 491.9633 412.025 369.9001 0.1204282 -0.0465532
Moved 491.9939 408 394.5515 0.1111111 0.01685044
Moved 492.0247 407 431.0464 0.1087963 0.1107159
Moved 492.0554 407 441.1216 0.1087963 0.1366297
Moved 492.0861 407 449.5217 0.1087963 0.1582347
Moved 492.1168 406 454.4192 0.1064815 0.1708311
Moved 492.1475 406 458.5823 0.1064815 0.1815387
Moved 492.1783 418.1752 464.9072 0.1346648 0.1978064
Moved 492.209 443.6408 468.9701 0.1936129 0.2082564
Moved 492.2397 481.8396 470 0.2820361 0.2109053
Moved 492.2704 525.2355 470 0.3824895 0.2109053
Moved 492.3011 535.0547 470 0.4052192 0.2109053
Moved 492.3319 548.6149 463 0.4366086 0.1929011
Ended 492.3626 562 462 0.4675925 0.1903292
Accept 492.4241 0 contrast
Candidates 492.4241 13 to too top you tip i trip up group yo tp rio trio
Began 493.1616 435 343 0.1736111 -0.1157408
Stationary 493.1923 435 343 0.1736111 -0.1157408
Stationary 493.223 435 343 0.1736111 -0.1157408
