this is too much to handle
this is too much to handle
FixStart
Radial

0.6 0.6
432 388.8
Began 3924.404 350 429 -0.02314816 0.1054526
Moved 3924.434 350 440.1953 -0.02314816 0.1342471
Moved 3924.465 350 450.4395 -0.02314816 0.1605952
Moved 3924.496 350 478.3653 -0.02314816 0.2324209
Moved 3924.527 340.2657 515.6713 -0.04568115 0.3283726
Moved 3924.557 337.2198 543.2416 -0.05273198 0.3992838
Moved 3924.588 335 557.1999 -0.05787035 0.4351848
Moved 3924.619 334 566.6881 -0.06018519 0.4595886
Moved 3924.649 332 573.0844 -0.06481484 0.47604
Moved 3924.68 330.0932 576.9069 -0.06922875 0.4858714
Moved 3924.711 329 580.5 -0.07175927 0.4951131
Moved 3924.742 325.719 585.562 -0.0793542 0.5081326
Moved 3924.772 323.8545 587 -0.08367022 0.5118312
Moved 3924.803 324 588.5 -0.08333336 0.5156891
Moved 3924.834 327.9683 588 -0.07414754 0.5144032
Moved 3924.865 343.1717 570.394 -0.03895447 0.4691202
Moved 3924.895 361.0996 546.3005 0.002545416 0.4071513
Moved 3924.926 380.0767 504.4878 0.04647374 0.2996084
Moved 3924.957 389.7856 478.0361 0.06894807 0.2315742
Moved 3924.988 398.692 453.0519 0.08956482 0.1673146
Moved 3925.018 405.8512 431.4463 0.1061371 0.1117445
Moved 3925.049 410.9905 416.0284 0.1180336 0.07208954
Moved 3925.08 415.7339 405.399 0.1290138 0.04475059
Moved 3925.11 417.7386 399.5228 0.1336542 0.02963682
Moved 3925.141 419.5 396.5 0.1377314 0.02186214
Moved 3925.172 420.0395 404.2764 0.1389803 0.04186301
Moved 3925.203 428.0017 445.0069 0.1574114 0.1466226
Moved 3925.233 436.6051 488.4202 0.1773266 0.2582824
Moved 3925.264 449.5 527 0.2071759 0.3575102
Moved 3925.295 464.9143 560.0572 0.2428572 0.4425338
Moved 3925.325 474.3013 581.7029 0.2645863 0.4982071
Moved 3925.356 477 594.8647 0.2708333 0.5320594
Moved 3925.387 477 599.5162 0.2708333 0.5440231
Moved 3925.418 477 602.3795 0.2708333 0.5513876
Moved 3925.448 457.3008 602 0.2252333 0.5504114
Moved 3925.479 404.8635 567.8286 0.1038508 0.462522
Moved 3925.51 321.521 498.7886 -0.0890718 0.2849501
Moved 3925.541 279.9579 455.4543 -0.1852827 0.1734936
Moved 3925.572 249.2112 417.0745 -0.2564556 0.07478003
Moved 3925.602 233.24 395.3361 -0.2934258 0.01886846
Moved 3925.633 218.7565 373.3238 -0.3269526 -0.03774753
Moved 3925.664 210.6393 360.9589 -0.3457423 -0.06955009
Moved 3925.694 203.911 351.3666 -0.361317 -0.09422185
Moved 3925.725 199.9225 344.845 -0.3705497 -0.1109953
Moved 3925.756 197.0536 341.0535 -0.3771909 -0.1207472
Moved 3925.787 195.1823 338.1823 -0.3815224 -0.128132
Moved 3925.817 193.5 336.5 -0.3854167 -0.1324588
Moved 3925.848 194 336 -0.3842593 -0.1337449
Ended 3925.879 194 336 -0.3842593 -0.1337449
Candidates 3925.971 13 this thus third toys is united us his food groups thoughts id units
Began 3926.493 307 469 -0.1226852 0.2083333
Stationary 3926.524 307 469 -0.1226852 0.2083333
Moved 3926.555 344.5453 469 -0.0357748 0.2083333
Moved 3926.586 406.9055 469 0.1085774 0.2083333
Moved 3926.616 445.2893 469 0.197429 0.2083333
Moved 3926.647 474.7769 469 0.2656873 0.2083333
Moved 3926.678 495.6659 469 0.3140414 0.2083333
Moved 3926.708 513.0022 469 0.3541718 0.2083333
Moved 3926.739 529.9354 469 0.393369 0.2083333
Moved 3926.77 540.5866 469 0.4180245 0.2083333
Moved 3926.801 548.1848 469 0.435613 0.2083333
Ended 3926.832 548.1848 469 0.435613 0.2083333
Accept 3926.924 0 this
Began 3927.569 294 368 -0.1527778 -0.05144041
Moved 3927.6 314.6272 392.1526 -0.1050296 0.01068056
Moved 3927.63 358.1471 434.2813 -0.00428915 0.1190362
Moved 3927.661 396.9659 469.4702 0.08556932 0.2095426
Moved 3927.692 432.842 505.38 0.1686157 0.3019033
Moved 3927.723 451.4166 525.8193 0.2116125 0.3544735
Moved 3927.753 464.3673 543.9142 0.2415911 0.4010139
Moved 3927.784 469.5407 554.0815 0.2535665 0.4271643
Moved 3927.815 473.6313 561.8941 0.2630355 0.4472584
Moved 3927.845 475.4982 566.4982 0.2673568 0.4591002
Moved 3927.876 476 569.3641 0.2685185 0.4664715
Moved 3927.907 476 570.9169 0.2685185 0.4704651
Moved 3927.938 476 571.5 0.2685185 0.471965
Moved 3927.969 451.1021 560.7233 0.2108844 0.4442472
Moved 3927.999 422.3426 540.8525 0.1443116 0.3931392
Moved 3928.03 321.248 458.152 -0.08970364 0.1804319
Stationary 3928.061 321.248 458.152 -0.08970364 0.1804319
Moved 3928.091 283.8453 423.8453 -0.1762841 0.09219459
Moved 3928.122 258.2215 397.878 -0.2355984 0.02540631
Moved 3928.153 234.4302 377.4302 -0.2906708 -0.02718568
Moved 3928.184 215.5367 360.6293 -0.3344058 -0.0703978
Moved 3928.214 202.7012 348.7012 -0.3641176 -0.1010772
Moved 3928.245 191.0454 339.5341 -0.3910986 -0.1246552
Moved 3928.276 180.9229 333.2819 -0.4145303 -0.1407358
Moved 3928.306 172.3092 327.5395 -0.4344693 -0.1555055
Moved 3928.337 166.5369 323.2684 -0.4478313 -0.1664907
Moved 3928.368 161.3987 320.3987 -0.4597252 -0.1738718
Moved 3928.399 157.5283 318.5283 -0.4686846 -0.1786825
Moved 3928.429 157 318 -0.4699074 -0.1800412
Ended 3928.46 155.8007 316.8007 -0.4726836 -0.1831259
Candidates 3928.552 13 is goods odds gods ups good oops ps god odd kids hood hours
Began 3929.044 318 481 -0.09722222 0.2391974
Moved 3929.075 330.9681 481 -0.06720354 0.2391974
Moved 3929.105 391.3034 481 0.07246166 0.2391974
Moved 3929.136 449.5 481 0.2071759 0.2391974
Moved 3929.167 489.7128 481 0.3002611 0.2391974
Moved 3929.198 517.8196 481 0.3653231 0.2391974
Moved 3929.229 533.385 481 0.4013543 0.2391974
Ended 3929.259 541.9509 481 0.4211825 0.2391974
Accept 3929.321 0 is
Began 3930.458 318 369 -0.09722222 -0.04886839
Stationary 3930.489 318 369 -0.09722222 -0.04886839
Stationary 3930.519 318 369 -0.09722222 -0.04886839
Stationary 3930.55 318 369 -0.09722222 -0.04886839
Moved 3930.581 312.3622 378.8661 -0.1102726 -0.02349265
Moved 3930.611 297.1482 407.179 -0.1454904 0.0493287
Moved 3930.642 279.9116 440.8287 -0.1853898 0.1358763
Moved 3930.673 269.1193 466.2018 -0.210372 0.2011362
Moved 3930.703 264.2833 483.5835 -0.2215665 0.2458422
Moved 3930.734 262 498.7421 -0.2268519 0.2848304
Moved 3930.765 261 508.3615 -0.2291666 0.3095717
Moved 3930.796 259.6815 515.9555 -0.2322188 0.3291036
Moved 3930.826 260 518.8622 -0.2314815 0.3365796
Moved 3930.857 258.268 524.1959 -0.2354906 0.3502979
Moved 3930.888 257 530.2059 -0.2384259 0.3657558
Moved 3930.919 257 537.2747 -0.2384259 0.3839368
Moved 3930.949 257 542.0062 -0.2384259 0.3961063
Moved 3930.98 268.4716 547.7358 -0.2118714 0.410843
Moved 3931.011 294.1513 550.7434 -0.1524274 0.4185786
Moved 3931.042 328.2654 551 -0.07345965 0.4192385
Moved 3931.072 362.1814 541.5457 0.005049507 0.394922
Moved 3931.103 397.6862 535.8284 0.08723665 0.380217
Moved 3931.134 424.2346 531.6146 0.1486911 0.3693789
Moved 3931.165 445.7603 527.0599 0.1985192 0.3576643
Moved 3931.195 458.5928 524.6815 0.228224 0.3515469
Moved 3931.226 468.5857 521.8047 0.2513556 0.3441479
Moved 3931.257 475.3949 520.3026 0.2671177 0.3402843
Moved 3931.287 481.566 518.434 0.2814028 0.3354784
Moved 3931.318 485.4402 516.5598 0.290371 0.3306577
Moved 3931.349 488.3103 517 0.2970145 0.33179
