the price of gas is high
the price of gas is high
FixStart
Radial

0.6 0.6
432 388.8
Began 1154.784 430 306 0.162037 -0.2109054
Moved 1154.815 430 318.2083 0.162037 -0.1795054
Moved 1154.845 441.3685 342.1581 0.1883529 -0.1179061
Moved 1154.876 445.5 367.5 0.1979166 -0.05272634
Moved 1154.907 450.1 387.6997 0.2085648 -0.000772437
Moved 1154.938 451.9681 397.9363 0.2128892 0.02555623
Moved 1154.968 452.847 403.694 0.2149236 0.0403653
Moved 1154.999 453 405.283 0.2152778 0.04445205
Moved 1155.03 457.4719 406 0.2256294 0.04629618
Moved 1155.06 472.7111 390.2889 0.2609053 0.005886957
Moved 1155.091 488.9666 366.0601 0.2985339 -0.05642981
Moved 1155.122 498.6915 348.617 0.3210451 -0.1012937
Moved 1155.152 505.8576 334.2849 0.3376333 -0.1381562
Moved 1155.183 510.6098 322.0853 0.3486337 -0.1695337
Moved 1155.214 512 314.235 0.3518519 -0.1897248
Moved 1155.245 513 308.8203 0.3541666 -0.2036516
Moved 1155.275 513 304.4167 0.3541666 -0.2149777
Moved 1155.306 496.2431 302 0.3153775 -0.2211935
Moved 1155.336 460.576 307.7878 0.2328147 -0.2063071
Moved 1155.368 423.3945 322.8027 0.1467465 -0.1676885
Moved 1155.398 392.645 341.2367 0.07556707 -0.1202761
Moved 1155.429 372.5 357 0.02893518 -0.07973259
Moved 1155.46 356.2634 372.7366 -0.008649628 -0.03925771
Moved 1155.49 344.0212 386.9735 -0.03698801 -0.002640225
Moved 1155.521 336.4138 398.5862 -0.05459756 0.02722783
Moved 1155.552 331.4338 407.1324 -0.06612549 0.04920892
Moved 1155.583 326.4771 414.5229 -0.07759943 0.06821734
Moved 1155.613 322.8652 421.2696 -0.08596018 0.0855699
Moved 1155.644 321 425.0095 -0.09027779 0.09518886
Ended 1155.675 319.8828 427.2345 -0.09286398 0.1009117
Candidates 1155.798 13 the there huge he june this under higher time tiger us fine gift
Began 1156.289 292 322 -0.1574074 -0.1697531
Moved 1156.32 300.2759 322 -0.1382503 -0.1697531
Moved 1156.35 323.0356 322 -0.08556565 -0.1697531
Moved 1156.381 355 322 -0.01157408 -0.1697531
Moved 1156.412 376.9723 322 0.03928761 -0.1697531
Moved 1156.443 390.9716 322 0.07169347 -0.1697531
Moved 1156.473 398.723 322 0.08963653 -0.1697531
Ended 1156.504 401.601 322 0.09629855 -0.1697531
Accept 1156.596 0 the
Began 1156.873 389 273 0.06712963 -0.295782
Stationary 1156.904 389 273 0.06712963 -0.295782
Moved 1156.934 413.0507 290.1186 0.1228026 -0.2517526
Moved 1156.965 466.1909 315.5178 0.2458121 -0.1864256
Moved 1156.996 523.4541 345.8309 0.378366 -0.1084598
Moved 1157.026 552.8337 362.9002 0.4463742 -0.06455716
Moved 1157.057 575.7279 374.364 0.4993702 -0.03507221
Moved 1157.088 589.4879 380.6927 0.531222 -0.01879437
Moved 1157.119 598.4701 384 0.5520141 -0.01028807
Moved 1157.149 601.6033 386.6033 0.5592668 -0.003592448
Moved 1157.18 604.4809 388 0.565928 -3.924585E-08
Moved 1157.211 604 391.0473 0.5648147 0.007837633
Moved 1157.241 591.4258 399.7445 0.5357079 0.03020698
Moved 1157.272 566.9923 412.2031 0.4791488 0.0622506
Moved 1157.303 542.5 418 0.4224537 0.07716041
Moved 1157.334 503.4458 423 0.3320504 0.09002049
Moved 1157.364 468.992 425 0.2522962 0.09516452
Moved 1157.395 443.3736 426 0.1929944 0.09773654
Moved 1157.426 426.0162 426 0.1528153 0.09773654
Moved 1157.457 408.3706 426 0.111969 0.09773654
Moved 1157.487 398.4226 426 0.08894125 0.09773654
Moved 1157.518 392.8791 426 0.07610897 0.09773654
Moved 1157.549 390.394 426 0.07035633 0.09773654
Moved 1157.579 389.5 426 0.06828706 0.09773654
Moved 1157.61 390 426 0.06944448 0.09773654
Moved 1157.641 409.8885 427.9073 0.1154827 0.1026423
Moved 1157.672 448.7036 430.7465 0.2053325 0.1099445
Moved 1157.702 486.4667 431 0.2927469 0.1105966
Moved 1157.733 518.9022 431 0.3678292 0.1105966
Moved 1157.764 537.5088 431 0.4109 0.1105966
Moved 1157.794 547.8932 431 0.434938 0.1105966
Moved 1157.825 551.8116 425.3184 0.4440084 0.09598339
Moved 1157.856 552 424 0.4444444 0.09259254
Moved 1157.887 533.702 411.6808 0.402088 0.06090729
Moved 1157.917 489.5206 382.0754 0.2998162 -0.01523822
Moved 1157.948 442.2716 346.2037 0.1904435 -0.1075008
Moved 1157.979 417.227 327.256 0.1324698 -0.1562347
Moved 1158.01 384.8931 297.8931 0.057623 -0.2317564
Moved 1158.04 367.7166 280.7166 0.01786262 -0.2759346
Moved 1158.071 353.553 260.3741 -0.01492366 -0.3282558
Moved 1158.102 343.4713 243.5748 -0.03826086 -0.371464
Moved 1158.132 335.5 230 -0.05671298 -0.4063786
Moved 1158.163 329.2449 213.7349 -0.07119229 -0.4482129
Moved 1158.194 324.1549 202.3097 -0.08297484 -0.4775986
Moved 1158.224 321.2294 192.6882 -0.08974667 -0.5023451
Moved 1158.255 320 185.708 -0.09259259 -0.5202984
Moved 1158.286 319 180.4866 -0.09490739 -0.533728
Moved 1158.317 318 177.9203 -0.09722222 -0.5403284
Moved 1158.347 318 176.5 -0.09722222 -0.5439816
Moved 1158.378 318 175.6266 -0.09722222 -0.5462279
Stationary 1158.409 318 176 -0.09722222 -0.5452675
Moved 1158.44 318 254.5869 -0.09722222 -0.3431407
Moved 1158.47 318 283.7751 -0.09722222 -0.2680681
Moved 1158.501 318 334.665 -0.09722222 -0.1371786
Moved 1158.532 316.5246 363.7044 -0.1006374 -0.06248866
Moved 1158.562 312.3028 385.4404 -0.1104103 -0.006583453
Moved 1158.593 311 396.8524 -0.113426 0.02276852
Moved 1158.624 307.9101 405.1799 -0.1205786 0.04418687
Moved 1158.655 305.3651 410.2699 -0.1264698 0.05727842
Moved 1158.685 303.4938 413.5062 -0.1308014 0.06560239
Ended 1158.716 303 415 -0.1319445 0.06944436
Candidates 1158.839 13 price prove purpose propose project private prize product police post office other house
Began 1159.3 303 334 -0.1319445 -0.1388889
Moved 1159.33 317.3085 334 -0.09882286 -0.1388889
Moved 1159.361 340.4003 334 -0.04536976 -0.1388889
Moved 1159.392 362.9528 343.6562 0.006835262 -0.1140531
Moved 1159.423 388.2904 346.3272 0.06548703 -0.1071832
Moved 1159.453 400.8068 346 0.09446024 -0.1080248
Moved 1159.484 407.1564 346 0.1091584 -0.1080248
Ended 1159.515 409.3099 346 0.1141434 -0.1080248
Accept 1159.607 0 price
Began 1159.791 444 282 0.1944444 -0.2726338
Stationary 1159.822 444 282 0.1944444 -0.2726338
Stationary 1159.853 444 282 0.1944444 -0.2726338
Moved 1159.883 468.5025 297.6125 0.2511632 -0.2324782
Moved 1159.914 499.7006 311.5859 0.323381 -0.1965383
Moved 1159.945 534.1456 328.6365 0.4031148 -0.152684
Moved 1159.976 553.0439 343.0366 0.446861 -0.1156466
Moved 1160.006 565.2261 353.5809 0.4750606 -0.08852641
Moved 1160.037 575.5239 366.9048 0.4988978 -0.05425732
Moved 1160.068 578.252 380.0081 0.505213 -0.02055549
Moved 1160.099 579 389.5034 0.5069445 0.003866737
Moved 1160.129 579 394.3494 0.5069445 0.01633063
Moved 1160.16 579 400.0902 0.5069445 0.03109618
Moved 1160.191 563.4882 405.8203 0.4710375 0.04583406
Moved 1160.221 542.3979 410.2891 0.4222173 0.05732791
Moved 1160.252 508.2472 411 0.3431648 0.05915629
Moved 1160.283 464.3805 393.5645 0.2416216 0.01431179
Moved 1160.313 427.7381 378.6484 0.1568011 -0.02405261
Moved 1160.344 398.8872 364.393 0.09001672 -0.06071765
Moved 1160.375 380.9677 351.9806 0.04853626 -0.09264259
Moved 1160.406 369.3607 343.3607 0.02166818 -0.1148132
Moved 1160.436 358.2075 334.2075 -0.004149328 -0.1383554
Moved 1160.467 355.4314 331.4313 -0.01057555 -0.1454956
Moved 1160.498 349.543 325.543 -0.02420609 -0.1606406
Ended 1160.529 349.543 325.543 -0.02420609 -0.1606406
Candidates 1160.651 13 per is how his of its or hours good hits press puts hour
Began 1161.512 381 329 0.04861106 -0.151749
Stationary 1161.542 381 329 0.04861106 -0.151749
Moved 1161.573 365.2955 311.1194 0.01225819 -0.197738
Moved 1161.604 342.7705 285.3091 -0.0398831 -0.2641226
Moved 1161.635 326.2076 265.2669 -0.0782232 -0.3156715
Moved 1161.665 313.6313 248.7892 -0.1073349 -0.3580526
Moved 1161.696 306.5721 239.5721 -0.1236757 -0.381759
Moved 1161.727 302.5 234 -0.1331019 -0.3960905
Ended 1161.757 299.8473 230.8473 -0.1392424 -0.4041994
Accept 1161.85 4 of
Began 1162.095 428 274 0.1574074 -0.2932099
Stationary 1162.126 428 274 0.1574074 -0.2932099
Moved 1162.157 402.3241 274 0.09797245 -0.2932099
Moved 1162.187 372.5 274 0.02893518 -0.2932099
Moved 1162.218 334.0412 285.3265 -0.06008983 -0.2640781
Moved 1162.249 298.705 293.0492 -0.1418867 -0.2442151
Moved 1162.28 278.4862 295.9028 -0.1886893 -0.2368757
Moved 1162.31 264.1083 296.4729 -0.2219714 -0.2354093
Moved 1162.341 252.9668 297 -0.2477621 -0.2340535
Moved 1162.372 246.5599 297 -0.2625928 -0.2340535
Moved 1162.402 242.9056 297 -0.2710519 -0.2340535
Moved 1162.433 240.3731 297 -0.2769141 -0.2340535
Moved 1162.464 237.5 297 -0.2835648 -0.2340535
Moved 1162.495 235.6366 297 -0.2878784 -0.2340535
Moved 1162.525 235 297 -0.2893518 -0.2340535
Stationary 1162.556 235 297 -0.2893518 -0.2340535
Stationary 1162.587 235 297 -0.2893518 -0.2340535
Stationary 1162.618 235 297 -0.2893518 -0.2340535
Moved 1162.648 244.3447 300.0766 -0.2677207 -0.2261405
Moved 1162.679 265.7301 305.346 -0.2182174 -0.2125875
Moved 1162.71 290.1808 310.4362 -0.1616186 -0.1994955
Moved 1162.74 297 310 -0.1458333 -0.2006174
Moved 1162.771 309.6944 310 -0.1164481 -0.2006174
Moved 1162.802 318.1467 310 -0.09688259 -0.2006174
Moved 1162.833 323.8412 310 -0.08370082 -0.2006174
Moved 1162.863 327.4925 310 -0.07524893 -0.2006174
Moved 1162.894 329.5 310 -0.07060184 -0.2006174
Ended 1162.925 330.3745 310 -0.06857753 -0.2006174
Candidates 1163.048 13 a adds as gas ad ads add ass sad assess sees dad at
Began 1163.57 259 314 -0.2337963 -0.1903292
Stationary 1163.601 259 314 -0.2337963 -0.1903292
Stationary 1163.631 259 314 -0.2337963 -0.1903292
Stationary 1163.662 259 314 -0.2337963 -0.1903292
Stationary 1163.693 259 314 -0.2337963 -0.1903292
Stationary 1163.724 259 314 -0.2337963 -0.1903292
Stationary 1163.754 259 314 -0.2337963 -0.1903292
Stationary 1163.785 259 314 -0.2337963 -0.1903292
Stationary 1163.816 259 314 -0.2337963 -0.1903292
Stationary 1163.846 259 314 -0.2337963 -0.1903292
Stationary 1163.877 259 314 -0.2337963 -0.1903292
Stationary 1163.908 259 314 -0.2337963 -0.1903292
Stationary 1163.939 259 314 -0.2337963 -0.1903292
Stationary 1163.969 259 314 -0.2337963 -0.1903292
Stationary 1164 259 314 -0.2337963 -0.1903292
