I want to hold your hand
I want to hold your hand
Basic
Radial

0.6 0.6
432 388.8
Began 599.8289 461 533 0.2337964 0.3729423
Stationary 599.8596 461 533 0.2337964 0.3729423
Stationary 599.8904 461 533 0.2337964 0.3729423
Stationary 599.9211 461 533 0.2337964 0.3729423
Ended 599.9518 461 533 0.2337964 0.3729423
Candidates 600.0132 6 I u o y p t
Began 600.5048 454 412 0.2175926 0.06172835
Moved 600.5355 493.0841 412 0.3080651 0.06172835
Moved 600.5662 531.488 412 0.3969631 0.06172835
Moved 600.597 554.4458 412 0.4501061 0.06172835
Moved 600.6277 562.9667 412 0.4698302 0.06172835
Ended 600.6584 565 405 0.474537 0.04372424
Accept 600.7198 0 I
Began 601.4264 336 495 -0.05555556 0.2752057
Stationary 601.4572 336 495 -0.05555556 0.2752057
Stationary 601.488 336 495 -0.05555556 0.2752057
Stationary 601.5182 336 495 -0.05555556 0.2752057
Moved 601.5494 329.8176 495 -0.06986663 0.2752057
Moved 601.5801 326.0292 495 -0.07863611 0.2752057
Moved 601.6108 323.4687 491.2808 -0.0845632 0.2656399
Moved 601.6415 317.8031 481.7046 -0.09767806 0.2410097
Moved 601.6722 305.2652 463.1086 -0.126701 0.1931805
Moved 601.703 275.5591 417.9086 -0.1954649 0.07692545
Moved 601.7337 258.5232 390.5418 -0.2349 0.006537457
Moved 601.7645 246.895 370.8425 -0.2618172 -0.04412945
Moved 601.7952 240.3794 359.1725 -0.2768996 -0.07414491
Moved 601.8259 235.3527 351.5291 -0.2885354 -0.09380395
Moved 601.8565 231.6158 347.6158 -0.2971856 -0.1038688
Moved 601.8873 230.0629 345.0629 -0.3007804 -0.1104351
Moved 601.9181 228.9276 343.9276 -0.3034084 -0.113355
Stationary 601.9487 229 344 -0.3032407 -0.1131688
Stationary 601.9794 229 344 -0.3032407 -0.1131688
Moved 602.0103 264.433 344 -0.2212199 -0.1131688
Moved 602.041 307.0239 341.8976 -0.1226298 -0.1185763
Moved 602.0717 350.714 329.3572 -0.02149537 -0.1508302
Moved 602.1024 387.1646 315.0723 0.06288101 -0.1875712
Moved 602.1331 411.2852 299.8099 0.1187158 -0.2268265
Moved 602.1638 429.7811 288.1459 0.1615303 -0.2568263
Moved 602.1946 441 281 0.1875 -0.2752058
Moved 602.2253 448.0981 273.9019 0.2039306 -0.2934623
Moved 602.256 454.2133 269.3933 0.2180864 -0.3050584
Moved 602.2867 457.9201 266.1599 0.2266668 -0.3133749
Moved 602.3174 460.454 265 0.2325323 -0.3163581
Moved 602.3482 461 264 0.2337964 -0.31893
Stationary 602.3789 461 264 0.2337964 -0.31893
Stationary 602.4095 461 264 0.2337964 -0.31893
Moved 602.4404 431.3292 319.8678 0.1651139 -0.1752372
Moved 602.4711 416.327 354.2153 0.1303864 -0.08689495
Moved 602.5018 405.5232 389.9073 0.1053777 0.004905692
Moved 602.5325 396.8585 421.7807 0.08532048 0.08688444
Moved 602.5633 390.4765 448.3556 0.07054756 0.1552355
Moved 602.594 385.3434 466.9697 0.05866537 0.2031114
Moved 602.6247 380.227 479.9326 0.04682164 0.2364521
Moved 602.6554 377.532 488.9361 0.04058321 0.2596092
Moved 602.6862 373.5515 495.4485 0.03136933 0.2763592
Ended 602.7169 369.5 504 0.02199074 0.2983539
Candidates 602.7783 13 want went danny range rant same yankee amy fame came sent any rent
Began 603.2699 390 417 0.06944448 0.0745884
Stationary 603.3005 390 417 0.06944448 0.0745884
Moved 603.3314 415.3391 417 0.1280996 0.0745884
Moved 603.3621 443.4158 417 0.1930922 0.0745884
Moved 603.3928 474.5 417 0.2650462 0.0745884
Moved 603.4235 497.8431 404.3305 0.3190813 0.04200233
Moved 603.4543 511.1711 401.6097 0.349933 0.03500432
Ended 603.4849 520 400 0.3703704 0.03086416
Accept 603.5461 0 want
Began 604.0994 350 488 -0.02314816 0.2572016
Stationary 604.1301 350 488 -0.02314816 0.2572016
Stationary 604.1609 350 488 -0.02314816 0.2572016
Moved 604.1915 375.2179 488 0.03522664 0.2572016
Moved 604.2223 399.0872 488 0.09047955 0.2572016
Moved 604.2531 434.5276 479.863 0.1725176 0.236273
Moved 604.2838 466.3481 475.7753 0.2461761 0.2257595
Moved 604.3145 489.7172 472.3261 0.3002713 0.2168881
Moved 604.3452 509.1305 470.0966 0.3452095 0.2111538
Moved 604.3759 525.7816 466.0728 0.3837536 0.2008045
Moved 604.4067 536.0657 463.9836 0.4075596 0.1954309
Moved 604.4374 545.9122 464 0.4303524 0.1954732
Ended 604.4681 550.5 464 0.4409722 0.1954732
Candidates 604.4988 13 to top tool took till go toll fill too tip full roll uk
Began 605.0212 397 388 0.0856481 -3.924585E-08
Moved 605.0519 431.6511 400.748 0.165859 0.03278799
Moved 605.0826 486 410.5 0.2916667 0.05787029
Moved 605.1133 519.0042 414 0.3680654 0.06687239
Moved 605.144 536.3295 415.2589 0.4081701 0.07011016
Ended 605.1747 536.3295 415.2589 0.4081701 0.07011016
Accept 605.2362 0 to
Began 605.697 328 358 -0.07407407 -0.07716057
Stationary 605.7278 328 358 -0.07407407 -0.07716057
