exercise is good for the mind
exercise is good for the mind
Basic
List

0.6 0.6
432 388.8
Began 757.1068 344 495 -0.03703703 0.2752057
Stationary 757.1374 344 495 -0.03703703 0.2752057
Stationary 757.1682 344 495 -0.03703703 0.2752057
Stationary 757.1989 344 495 -0.03703703 0.2752057
Stationary 757.2296 344 495 -0.03703703 0.2752057
Stationary 757.2603 344 495 -0.03703703 0.2752057
Stationary 757.291 344 495 -0.03703703 0.2752057
Stationary 757.3218 344 495 -0.03703703 0.2752057
Stationary 757.3524 344 495 -0.03703703 0.2752057
Stationary 757.3831 344 495 -0.03703703 0.2752057
Stationary 757.4139 344 495 -0.03703703 0.2752057
Moved 757.4446 344 504.3075 -0.03703703 0.2991447
Moved 757.4753 344 506.3185 -0.03703703 0.3043172
Moved 757.506 344 507.1699 -0.03703703 0.3065069
Moved 757.5367 344 508 -0.03703703 0.3086419
Moved 757.5674 344 509.4694 -0.03703703 0.3124212
Moved 757.5981 333.2128 512 -0.06200746 0.31893
Moved 757.6288 328.0239 514.6587 -0.07401883 0.3257682
Moved 757.6596 322.3017 516.2328 -0.08726458 0.3298168
Moved 757.6903 314.6891 518 -0.1048863 0.3343621
Moved 757.7211 308.0383 519.9808 -0.1202817 0.3394568
Moved 757.7518 301.7352 521 -0.1348722 0.3420781
Moved 757.7825 296.2242 522 -0.1476293 0.3446501
Moved 757.8132 290.4989 523 -0.1608822 0.3472221
Moved 757.8439 285.7518 524.1241 -0.1718709 0.3501133
Moved 757.8746 283.369 524 -0.1773866 0.3497942
Moved 757.9053 280.4931 524 -0.1840438 0.3497942
Moved 757.936 277.6183 524 -0.1906984 0.3497942
Moved 757.9667 274.7523 524 -0.1973327 0.3497942
Moved 757.9974 271.419 524 -0.2050486 0.3497942
Moved 758.0282 267.684 524 -0.2136945 0.3497942
Moved 758.0589 263.476 524 -0.2234353 0.3497942
Moved 758.0897 260.9706 524 -0.2292348 0.3497942
Moved 758.1203 259.0883 524 -0.2335918 0.3497942
Moved 758.1511 257.6613 524 -0.2368951 0.3497942
Moved 758.1818 256.6266 524 -0.2392904 0.3497942
Moved 758.2125 255.7508 524 -0.2413176 0.3497942
Moved 758.2432 254.8052 524 -0.2435065 0.3497942
Stationary 758.2739 254.8052 524 -0.2435065 0.3497942
Moved 758.3046 253.8505 524 -0.2457163 0.3497942
Moved 758.3353 254 517 -0.2453704 0.33179
Moved 758.3661 254 516 -0.2453704 0.329218
Moved 758.3968 253 513.5 -0.2476852 0.3227879
Moved 758.4275 253 511.5602 -0.2476852 0.3177987
Moved 758.4582 253 509.5375 -0.2476852 0.3125963
Moved 758.489 253 506.664 -0.2476852 0.3052057
Moved 758.5197 253 502.5716 -0.2476852 0.29468
Moved 758.5504 253 499.2448 -0.2476852 0.2861233
Moved 758.5811 258.0147 493.1195 -0.2360771 0.270369
Moved 758.6118 263.4969 485.5093 -0.2233868 0.2507954
Moved 758.6425 268.0337 474.9157 -0.2128849 0.2235485
Moved 758.6733 271.7935 461.5164 -0.2041818 0.1890852
Moved 758.704 273 450.889 -0.2013889 0.1617516
Moved 758.7347 274 439.7665 -0.199074 0.1331442
Moved 758.7654 274 423.528 -0.199074 0.0913784
Moved 758.7961 274 408.5411 -0.199074 0.05283187
Moved 758.8268 274 395.1793 -0.199074 0.01846525
Moved 758.8575 274 382.5 -0.199074 -0.01414617
Moved 758.8882 274 367.1733 -0.199074 -0.05356659
Moved 758.919 274 351.7709 -0.199074 -0.09318198
Moved 758.9497 274 341.6725 -0.199074 -0.1191552
Moved 758.9804 274 330.9238 -0.199074 -0.1468008
Moved 759.0112 274 319.0406 -0.199074 -0.1773646
Moved 759.0418 274 308.5526 -0.199074 -0.20434
Moved 759.0726 274 301.265 -0.199074 -0.223084
Moved 759.1033 274 295.4025 -0.199074 -0.2381623
Moved 759.134 274 288.656 -0.199074 -0.2555144
Moved 759.1647 266 282.9275 -0.2175926 -0.2702484
Moved 759.1954 263.9585 278.9584 -0.2223184 -0.2804568
Moved 759.2261 263.0834 275.0834 -0.2243439 -0.2904233
Moved 759.2569 261.2078 270.4155 -0.2286857 -0.3024293
Moved 759.2876 260.3372 265.6745 -0.2307008 -0.3146232
Moved 759.3183 258.7693 260.5387 -0.2343302 -0.3278325
Moved 759.3491 258 255.8911 -0.2361111 -0.3397862
Moved 759.3797 257 252.0164 -0.2384259 -0.3497522
Moved 759.4104 257 249.3555 -0.2384259 -0.3565961
Moved 759.4412 257 247.8011 -0.2384259 -0.3605938
Moved 759.4719 256 246.5 -0.2407407 -0.3639403
Moved 759.5026 256 247 -0.2407407 -0.3626543
Stationary 759.5333 256 247 -0.2407407 -0.3626543
Stationary 759.564 256 247 -0.2407407 -0.3626543
Moved 759.5947 254.6045 271.5593 -0.243971 -0.2994873
Moved 759.6254 252.7206 288.9556 -0.2483319 -0.2547439
Moved 759.6561 253 311.4084 -0.2476852 -0.1969947
Moved 759.6869 253 333.8538 -0.2476852 -0.1392651
Moved 759.7177 253 350.8328 -0.2476852 -0.09559458
Moved 759.7484 253 363.2954 -0.2476852 -0.06354069
Moved 759.7791 259.7097 386.7097 -0.2321536 -0.003318786
Moved 759.8098 261.834 399.3358 -0.2272362 0.02915582
Moved 759.8405 264 415.4755 -0.2222222 0.07066746
Moved 759.8712 265.2674 421.0697 -0.2192884 0.08505578
Moved 759.9019 266.1297 432.519 -0.2172923 0.1145035
Moved 759.9326 267 443.0265 -0.2152778 0.141529
Moved 759.9634 268 450.3195 -0.212963 0.1602868
Moved 759.9941 269.4304 456.8608 -0.2096519 0.177111
Moved 760.0248 269 461.3026 -0.2106481 0.1885353
Moved 760.0555 269 466.1778 -0.2106481 0.2010745
Moved 760.0862 269 469.371 -0.2106481 0.2092876
Moved 760.1169 269 472.5523 -0.2106481 0.2174698
Moved 760.1476 269 476.8395 -0.2106481 0.2284966
Moved 760.1784 269 478 -0.2106481 0.2314814
Moved 760.209 269 480.8484 -0.2106481 0.2388077
Moved 760.2398 269 483.7237 -0.2106481 0.2462028
Moved 760.2705 269 485.5975 -0.2106481 0.2510224
Moved 760.3013 269 488.0887 -0.2106481 0.2574297
Moved 760.332 269 489.9973 -0.2106481 0.2623386
Moved 760.3627 269 491.8674 -0.2106481 0.2671485
Moved 760.3934 262 493.7435 -0.2268519 0.271974
Moved 760.4241 262 496.3207 -0.2268519 0.2786026
Moved 760.4548 261 498.1861 -0.2291666 0.2834004
Moved 760.4856 259.9419 501.0581 -0.231616 0.2907872
Moved 760.5163 260 503.6954 -0.2314815 0.2975703
Moved 760.5469 260 506.4643 -0.2314815 0.3046921
Moved 760.5777 259 509.3344 -0.2337963 0.3120739
Moved 760.6085 259 512.1957 -0.2337963 0.3194332
Moved 760.6391 258 514.7088 -0.2361111 0.325897
Moved 760.6698 258 516.5802 -0.2361111 0.3307103
Moved 760.7006 258 518.2245 -0.2361111 0.3349396
Moved 760.7313 258 520.3248 -0.2361111 0.3403415
Moved 760.762 258 521.3217 -0.2361111 0.3429054
Moved 760.7927 258 522.1533 -0.2361111 0.3450444
Moved 760.8234 267.6209 524 -0.2138405 0.3497942
Moved 760.8542 271.102 525 -0.2057825 0.3523662
Moved 760.8849 277.0188 525 -0.1920861 0.3523662
Moved 760.9156 282.7735 525 -0.178765 0.3523662
Moved 760.9463 288.5079 525 -0.1654909 0.3523662
Moved 760.977 293.6368 525 -0.1536186 0.3523662
Moved 761.0078 297.1926 525 -0.1453875 0.3523662
Moved 761.0385 299.0334 525 -0.1411264 0.3523662
Moved 761.0692 301.7039 525 -0.1349447 0.3523662
Moved 761.0999 303.4812 525 -0.1308305 0.3523662
Moved 761.1306 306.3528 525 -0.1241834 0.3523662
Moved 761.1613 308.2341 525 -0.1198285 0.3523662
