the facts get in the way
the facts get in the way
Basic
List

0.6 0.6
432 388.8
Began 2021.255 309 500 -0.1180555 0.2880658
Stationary 2021.286 309 500 -0.1180555 0.2880658
Stationary 2021.317 309 500 -0.1180555 0.2880658
Moved 2021.348 309 484.4631 -0.1180555 0.2481046
Moved 2021.378 318.7524 471.8715 -0.09548058 0.2157187
Moved 2021.409 325.4904 461.2643 -0.07988323 0.188437
Moved 2021.44 332.2402 453.7598 -0.06425872 0.1691351
Moved 2021.471 338.377 446.9344 -0.0500532 0.1515802
Moved 2021.501 345.1011 440.8989 -0.03448819 0.1360567
Moved 2021.532 352.2841 435.1439 -0.01786093 0.1212549
Moved 2021.563 358.5823 428.4177 -0.003281683 0.103955
Moved 2021.594 364.664 424.336 0.01079619 0.09345678
Moved 2021.624 371.4094 420.2953 0.02641052 0.08306405
Moved 2021.655 377.141 416.4295 0.03967831 0.07312111
Moved 2021.686 382.1082 412.9459 0.05117645 0.06416109
Moved 2021.717 388.8933 408.0533 0.06688257 0.05157749
Moved 2021.747 394.6285 403.1857 0.08015861 0.03905791
Moved 2021.778 399.3578 399.321 0.09110609 0.02911791
Moved 2021.809 402.2296 395.7704 0.0977538 0.01998548
Moved 2021.839 405.0977 392.9022 0.104393 0.01260852
Moved 2021.87 405 390.0311 0.1041667 0.005223859
Moved 2021.901 405 388.3834 0.1041667 0.0009860129
Moved 2021.932 405 386.6513 0.1041667 -0.003468902
Moved 2021.963 391.6287 385 0.07321467 -0.007716127
Moved 2021.993 373.2233 385 0.03060957 -0.007716127
Moved 2022.024 350.3584 403.9849 -0.02231846 0.04111341
Moved 2022.055 328.7796 423.2204 -0.07226949 0.0905874
Moved 2022.085 315.3409 440.0739 -0.1033777 0.133935
Moved 2022.116 305.4508 457.373 -0.1262714 0.1784285
Moved 2022.147 296.5702 470.8596 -0.1468282 0.2131162
Moved 2022.178 287.9417 484.4305 -0.1668016 0.2480207
Moved 2022.208 280.8929 494.6607 -0.1831184 0.2743331
Moved 2022.239 275.9592 502.1223 -0.1945388 0.2935244
Moved 2022.27 271.079 507.921 -0.2058357 0.3084387
Moved 2022.301 268.2119 512.5762 -0.2124725 0.320412
Moved 2022.331 266 516.3138 -0.2175926 0.3300253
Moved 2022.362 265 518.2034 -0.2199074 0.3348853
Moved 2022.393 265 521.0734 -0.2199074 0.3422668
Ended 2022.424 275.5 524 -0.1956018 0.3497942
Candidates 2022.516 13 the there where she they he what register sheet sheer that edge enter
Began 2023.469 336 336 -0.05555556 -0.1337449
Stationary 2023.5 336 336 -0.05555556 -0.1337449
Stationary 2023.53 336 336 -0.05555556 -0.1337449
Stationary 2023.561 336 336 -0.05555556 -0.1337449
Moved 2023.592 318.3397 326.6794 -0.0964359 -0.1577177
Moved 2023.622 305.8316 326 -0.1253898 -0.1594652
Moved 2023.653 288.6564 325 -0.1651471 -0.1620371
Moved 2023.684 271.5 325 -0.2048611 -0.1620371
Moved 2023.715 251.5535 325 -0.2510337 -0.1620371
