the union will go on strike
the union will go on strike
FixStart
List

0.6 0.6
432 388.8
Began 1068.819 424 346 0.1481481 -0.1080248
Stationary 1068.85 424 346 0.1481481 -0.1080248
Moved 1068.881 406.2881 373.9661 0.1071485 -0.03609559
Moved 1068.911 396.7224 398.4069 0.08500556 0.02676669
Moved 1068.942 390.0497 419.6522 0.06955941 0.08140995
Moved 1068.973 388 436.2758 0.06481478 0.124166
Moved 1069.004 387 447.0746 0.06250004 0.151941
Moved 1069.034 387 453.2919 0.06250004 0.1679317
Moved 1069.065 394.4999 459.1428 0.07986088 0.1829805
Moved 1069.096 405.7854 463.9464 0.1059848 0.1953351
Moved 1069.127 416.2612 464 0.1302342 0.1954732
Moved 1069.157 428.4966 448.7552 0.1585568 0.1562632
Moved 1069.188 438.7304 421.8348 0.1822464 0.08702356
Moved 1069.219 442.0979 389.8255 0.1900413 0.004695217
Moved 1069.249 443 362.2832 0.1921296 -0.06614403
Moved 1069.28 444 339.5129 0.1944444 -0.1247098
Moved 1069.311 444 324.2086 0.1944444 -0.1640726
Moved 1069.342 444 315.5073 0.1944444 -0.1864524
Moved 1069.372 429.0998 310.1833 0.1599532 -0.2001459
Moved 1069.403 403.3875 315.5364 0.1004339 -0.1863776
Moved 1069.434 372.4003 336.4798 0.0287043 -0.1325109
Moved 1069.465 348.6019 356.9733 -0.02638449 -0.07980111
Moved 1069.495 330.1813 381.728 -0.06902467 -0.01613177
Moved 1069.526 318.6396 407.401 -0.09574164 0.04989965
Moved 1069.557 313.2867 429.9927 -0.1081326 0.108006
Moved 1069.588 313 447.158 -0.1087963 0.1521553
Ended 1069.618 313 453 -0.1087963 0.167181
Candidates 1069.711 13 the there that these what rubber river use this rice tube driver five
Began 1070.356 408 392 0.1111111 0.01028803
Moved 1070.387 408 401.7887 0.1111111 0.03546475
Moved 1070.417 418.8583 415.6693 0.136246 0.07116588
Moved 1070.448 425.8595 432.719 0.1524526 0.1150179
Moved 1070.479 437.5431 450.7004 0.179498 0.1612665
Moved 1070.51 447.992 460.992 0.2036853 0.1877366
Moved 1070.54 461.569 470.3414 0.2351134 0.2117833
Moved 1070.571 472.4977 475.2488 0.2604112 0.2244054
Moved 1070.602 479.9928 478.4964 0.2777612 0.2327581
Moved 1070.633 484.3682 480 0.2878893 0.2366254
Moved 1070.663 486.2276 480 0.2921936 0.2366254
Stationary 1070.694 486 480 0.2916667 0.2366254
Moved 1070.725 468.5671 427.1342 0.2513127 0.1006538
Moved 1070.756 443.1324 372.0549 0.1924362 -0.04101121
Moved 1070.786 427.6406 331.9816 0.1565753 -0.1440803
Moved 1070.817 421.0866 297.5194 0.1414041 -0.2327176
Moved 1070.848 420 268.5193 0.1388889 -0.3073063
Moved 1070.879 420 249.7803 0.1388889 -0.3555035
Moved 1070.909 420 237.0526 0.1388889 -0.3882391
Moved 1070.94 420 227.8171 0.1388889 -0.4119929
Moved 1070.971 420 225 0.1388889 -0.4192387
Moved 1071.001 429.7405 231.3944 0.1614363 -0.4027922
Moved 1071.032 443.5702 267.9149 0.1934496 -0.3088609
Moved 1071.063 448.6905 286.7621 0.2053021 -0.2603857
Moved 1071.094 457.2001 331.5011 0.2250003 -0.1453162
Moved 1071.124 463.2296 367.2222 0.2389574 -0.053441
Moved 1071.155 466.4859 395.4016 0.2464952 0.01903699
Moved 1071.186 470.3474 414.0842 0.2554337 0.06708883
Moved 1071.217 475.4223 431.0558 0.2671813 0.1107402
Moved 1071.247 483.1234 444.9042 0.2850077 0.1463584
Moved 1071.278 493.6046 455.3023 0.3092698 0.1731026
Moved 1071.309 507.1145 462.0381 0.3405428 0.1904273
Moved 1071.339 520.2116 465.0423 0.3708602 0.198154
Moved 1071.37 531.7855 467 0.3976517 0.2031892
Moved 1071.401 537.7904 467 0.4115519 0.2031892
Moved 1071.432 539.2231 467 0.4148684 0.2031892
Moved 1071.462 507.3662 409.8088 0.3411254 0.05609265
Moved 1071.493 465.6164 355.5118 0.2444825 -0.08356008
Moved 1071.524 447.4772 328.859 0.2024936 -0.1521116
Moved 1071.555 438.5 306.5 0.181713 -0.2096194
Moved 1071.585 433.6632 286.6423 0.1705166 -0.2606936
Moved 1071.616 432 264.6638 0.1666667 -0.3172227
Moved 1071.647 431 249.7366 0.1643519 -0.355616
Moved 1071.678 431 236.0679 0.1643519 -0.3907719
Moved 1071.708 431 222.7369 0.1643519 -0.4250594
Moved 1071.739 431 214.0045 0.1643519 -0.4475193
Ended 1071.77 431 209 0.1643519 -0.4603909
Accept 1071.831 0 the
Candidates 1071.831 13 union icon rubin function public opinion non dublin junction club moon bin kingdom
Began 1072.262 388 261 0.06481478 -0.3266461
Stationary 1072.292 388 261 0.06481478 -0.3266461
Moved 1072.323 355.3137 305.0295 -0.01084795 -0.2134015
Moved 1072.354 333.7311 337.4033 -0.06080762 -0.1301355
Moved 1072.385 318.5205 364.9589 -0.09601726 -0.0592621
Moved 1072.415 309.6384 388.9644 -0.1165778 0.002480299
Moved 1072.446 304.0052 403.9794 -0.1296177 0.04109928
