that is a very odd question
that is a very odd question
Basic
Radial

0.6 0.6
432 388.8
Began 1029.915 352 537 -0.01851852 0.3832304
Stationary 1029.945 352 537 -0.01851852 0.3832304
Stationary 1029.976 352 537 -0.01851852 0.3832304
Stationary 1030.007 352 537 -0.01851852 0.3832304
Moved 1030.037 362.0747 502.4476 0.004802545 0.2943611
Moved 1030.068 377.8262 460.5649 0.04126439 0.186638
Moved 1030.099 397.3082 422.1859 0.08636167 0.08792653
Moved 1030.13 413.767 397.3883 0.1244607 0.0241468
Moved 1030.16 428.0344 373.9381 0.157487 -0.03616749
Moved 1030.191 433.4248 365.1505 0.1699647 -0.05876949
Moved 1030.222 435.828 359.3441 0.1755277 -0.07370363
Moved 1030.253 436 355.2196 0.1759259 -0.08431179
Moved 1030.283 398.8241 355 0.08987068 -0.08487654
Moved 1030.314 346.5451 368.8637 -0.03114551 -0.04921893
Moved 1030.345 271.576 389.1587 -0.2046851 0.002980173
Moved 1030.375 214.0727 406.6935 -0.3377947 0.04808006
Moved 1030.406 180.3248 417.5032 -0.4159149 0.07588276
Moved 1030.437 168.5907 424.3069 -0.443077 0.09338198
Moved 1030.468 161.6227 430.066 -0.4592067 0.1081943
Moved 1030.498 157.7697 434.4606 -0.4681258 0.1194974
Moved 1030.529 157 439.2969 -0.4699074 0.1319365
Moved 1030.56 191.3898 468.3012 -0.3903014 0.2065359
Moved 1030.591 282.8413 515.2533 -0.178608 0.3272975
Moved 1030.621 323.575 530.6058 -0.08431708 0.3667843
Moved 1030.652 346.0805 535.3602 -0.03222113 0.3790127
Moved 1030.683 358.6294 537 -0.003172755 0.3832304
Ended 1030.714 364.8727 538.1746 0.01127948 0.3862513
Candidates 1030.806 13 that what they there the last user share larry thai use these laser
Began 1031.175 373 401 0.0300926 0.03343609
Moved 1031.205 381.6061 401 0.05001426 0.03343609
Moved 1031.236 412.8021 401 0.122227 0.03343609
Moved 1031.267 438.5396 401 0.1818045 0.03343609
Ended 1031.297 451.0147 401 0.2106822 0.03343609
Accept 1031.39 0 that
Began 1031.697 506 565 0.337963 0.4552468
Moved 1031.728 481.9223 553.2301 0.2822276 0.4249744
Moved 1031.759 408.2155 517.1757 0.1116099 0.332242
Moved 1031.789 353.1056 490.0939 -0.01595934 0.2625872
Moved 1031.82 305.6178 467.3156 -0.1258848 0.2040009
Moved 1031.851 274.7729 454.1092 -0.1972849 0.1700338
Moved 1031.881 250.5217 442.4348 -0.2534219 0.140007
Moved 1031.912 241.9087 438.9543 -0.2733595 0.1310553
Ended 1031.943 238.5 439 -0.28125 0.1311728
Candidates 1032.004 13 is its puts it our outer potter peers ours toys or orf pierre
Began 1032.465 358 414 -0.004629641 0.06687239
Moved 1032.496 370.4674 414 0.02423008 0.06687239
Moved 1032.527 401.5555 414 0.09619325 0.06687239
Moved 1032.558 433.2283 414 0.1695099 0.06687239
Ended 1032.588 457.241 414 0.2250949 0.06687239
Accept 1032.65 0 is
Began 1033.049 202 421 -0.3657407 0.08487643
Stationary 1033.08 202 421 -0.3657407 0.08487643
Ended 1033.111 202 421 -0.3657407 0.08487643
Candidates 1033.172 7 a s d w e q f
Began 1033.603 387 416 0.06250004 0.07201634
Moved 1033.633 410.1844 416 0.1161677 0.07201634
Moved 1033.664 443.1333 416 0.1924381 0.07201634
Moved 1033.695 467.3139 416 0.2484119 0.07201634
Ended 1033.725 479.455 416 0.2765163 0.07201634
Accept 1033.818 0 a
Began 1034.309 416 264 0.1296297 -0.31893
Stationary 1034.34 416 264 0.1296297 -0.31893
Stationary 1034.371 416 264 0.1296297 -0.31893
Moved 1034.401 400.8349 272.6311 0.09452531 -0.2967308
Moved 1034.432 382.9687 298.5508 0.05316833 -0.2300648
Moved 1034.463 365.6406 340.0184 0.01305689 -0.1234095
Moved 1034.494 350.5363 398.7025 -0.02190669 0.027527
Moved 1034.525 343.6529 439.0827 -0.0378405 0.1313855
Moved 1034.555 339.1563 469.0621 -0.04824927 0.2084929
Moved 1034.586 332.0461 491.8387 -0.06470819 0.2670749
Moved 1034.617 325.3891 510.7589 -0.08011787 0.3157377
Moved 1034.647 318.7179 528.6583 -0.0955605 0.3617754
Moved 1034.678 314.2487 540.8782 -0.1059057 0.3932052
Moved 1034.709 311.0852 546.8297 -0.1132288 0.4085124
Moved 1034.74 308.5425 552.915 -0.1191146 0.4241641
Moved 1034.77 307.2588 554.7411 -0.1220861 0.4288608
Moved 1034.801 305 557 -0.1273148 0.4346707
Moved 1034.832 304 559.8275 -0.1296296 0.441943
Moved 1034.863 303 561.3876 -0.1319445 0.4459555
Moved 1034.893 303 562.5 -0.1319445 0.4488167
Moved 1034.924 303 564 -0.1319445 0.4526748
Moved 1034.955 309.6712 565.7413 -0.1165017 0.4571534
Moved 1034.986 330.0254 566 -0.06938571 0.4578188
Moved 1035.016 352.9538 560.0462 -0.01631066 0.4425055
