what goes up must come down
what goes up must come down
FixStart
List

0.6 0.6
432 388.8
Began 1766.239 469 494 0.2523148 0.2726337
Stationary 1766.27 469 494 0.2523148 0.2726337
Stationary 1766.3 469 494 0.2523148 0.2726337
Stationary 1766.331 469 494 0.2523148 0.2726337
Moved 1766.362 451.2664 511.5502 0.2112648 0.3177731
Moved 1766.392 437.3386 522.8845 0.1790246 0.346925
Moved 1766.423 423.3102 534.3518 0.1465515 0.3764192
Moved 1766.454 408.7759 546.4827 0.1129073 0.4076201
Moved 1766.484 397.6068 556.3146 0.08705269 0.4329078
Moved 1766.515 378.8146 570.2409 0.04355222 0.4687265
Moved 1766.546 355.4062 583.9961 -0.01063377 0.5041051
Moved 1766.577 332.3594 596.9514 -0.0639829 0.5374264
Moved 1766.607 324.9609 601.0234 -0.08110895 0.5478997
Moved 1766.638 309 609 -0.1180555 0.5684156
Moved 1766.669 301.792 611.0693 -0.1347408 0.5737379
Moved 1766.7 296.1645 612.6118 -0.1477673 0.5777052
Moved 1766.73 292.1221 613.8779 -0.1571247 0.5809615
Moved 1766.761 287.2406 617.7594 -0.1684246 0.5909449
Moved 1766.792 285.0792 619.9208 -0.1734277 0.596504
Moved 1766.823 284 622.4644 -0.1759259 0.6030462
Moved 1766.853 283 624.7994 -0.1782407 0.6090518
Moved 1766.884 283 626.0234 -0.1782407 0.6122
Moved 1766.915 296.8955 627 -0.1460752 0.6147118
Moved 1766.945 322.4459 613.0856 -0.08693074 0.5789236
Moved 1766.976 340.0448 600.3966 -0.04619266 0.5462875
Moved 1767.007 354.8995 586.1005 -0.01180669 0.5095178
Moved 1767.037 365.9369 571.0631 0.01374284 0.4708412
Moved 1767.068 375.8606 560.1394 0.03671437 0.4427453
Moved 1767.099 385 550 0.05787035 0.4166666
Moved 1767.13 393.1728 541.8272 0.07678886 0.395646
Moved 1767.16 404.996 533.2024 0.1041574 0.3734629
Moved 1767.191 416.5662 524.5754 0.1309402 0.351274
Moved 1767.222 427 517.5 0.1550926 0.3330761
Moved 1767.253 438.9265 511.049 0.1827003 0.316484
Moved 1767.283 449 504.5 0.2060185 0.2996398
Moved 1767.314 455.1918 500.8721 0.2203514 0.2903088
Moved 1767.345 465 497 0.2430555 0.2803498
Moved 1767.375 473.4733 494.1317 0.2626696 0.2729723
Moved 1767.406 490.9989 489.1432 0.3032382 0.2601418
Moved 1767.437 524.6552 490 0.3811462 0.2623456
Moved 1767.468 559 490 0.4606481 0.2623456
Moved 1767.498 572.9767 495.5674 0.4930016 0.276665
Moved 1767.529 584.0716 501.3572 0.5186843 0.2915565
Moved 1767.56 588.9113 504 0.5298872 0.2983539
Moved 1767.59 589.5 504 0.5312501 0.2983539
Moved 1767.621 589 504 0.5300926 0.2983539
Moved 1767.652 571.6071 504 0.4898311 0.2983539
Moved 1767.683 541.6946 504 0.4205894 0.2983539
Moved 1767.714 512.2113 504 0.3523409 0.2983539
Moved 1767.744 491.7136 504 0.3048926 0.2983539
Moved 1767.775 468.7532 504 0.2517435 0.2983539
Moved 1767.806 446.8108 505 0.2009509 0.3009258
Moved 1767.836 428.2664 505 0.1580242 0.3009258
Moved 1767.867 410.5 505 0.1168981 0.3009258
Moved 1767.898 392.6591 505 0.07559984 0.3009258
Moved 1767.928 368.9607 505 0.02074232 0.3009258
Moved 1767.959 331.1119 505 -0.06687064 0.3009258
Moved 1767.99 301.4599 505 -0.1355094 0.3009258
Moved 1768.021 285.4395 505 -0.1725937 0.3009258
Moved 1768.051 276.1927 505 -0.1939983 0.3009258
Moved 1768.082 272.0191 505 -0.2036594 0.3009258
Moved 1768.113 269.7263 505 -0.2089668 0.3009258
Moved 1768.144 267.184 505 -0.2148518 0.3009258
Moved 1768.174 265.8206 505 -0.2180078 0.3009258
Moved 1768.205 266 506.8998 -0.2175926 0.3058122
Moved 1768.236 266 511.4336 -0.2175926 0.3174731
Moved 1768.266 279.806 523.1194 -0.1856343 0.3475292
Moved 1768.297 305.6294 544.1912 -0.1258579 0.4017262
Moved 1768.328 326.9425 556.8569 -0.07652199 0.4343027
Moved 1768.359 346.8803 568.9282 -0.03036971 0.4653501
Moved 1768.389 362 576.5 0.004629592 0.484825
Moved 1768.42 374.4195 583.2517 0.0333785 0.5021905
Moved 1768.451 387.133 590.8798 0.0628079 0.5218101
Moved 1768.482 396.556 597.6671 0.08462042 0.539267
Moved 1768.512 405.728 604.296 0.1058518 0.5563167
Moved 1768.543 418.9242 612.9545 0.1363987 0.5785866
Moved 1768.574 429.5 619 0.1608796 0.5941358
Moved 1768.604 438.09 625.3175 0.1807639 0.6103844
Moved 1768.635 449.2635 631.6318 0.2066285 0.6266248
Moved 1768.666 463.2763 637.7105 0.2390656 0.6422594
Moved 1768.697 479.907 644.2458 0.2775624 0.6590683
Ended 1768.727 519 664 0.3680556 0.7098765
Candidates 1768.758 13 what ebay that they register every salary wheat friday delay wednesday webster also
Began 1770.264 474 511 0.2638889 0.3163579
Stationary 1770.294 474 511 0.2638889 0.3163579
Stationary 1770.325 474 511 0.2638889 0.3163579
Stationary 1770.356 474 511 0.2638889 0.3163579
Stationary 1770.387 474 511 0.2638889 0.3163579
Stationary 1770.417 474 511 0.2638889 0.3163579
Moved 1770.448 474 523.1115 0.2638889 0.3475088
Moved 1770.479 474 537.5007 0.2638889 0.3845182
Moved 1770.509 474 547.2122 0.2638889 0.4094964
Moved 1770.54 467 553.7172 0.2476852 0.4262272
Moved 1770.571 466 559.8383 0.2453704 0.4419707
Moved 1770.602 466 563.9746 0.2453704 0.4526095
Moved 1770.632 466 567.2248 0.2453704 0.4609691
Moved 1770.663 466 569.7844 0.2453704 0.4675523
Moved 1770.694 466 571.17 0.2453704 0.4711162
Moved 1770.724 465.1029 571 0.2432937 0.4706789
Moved 1770.755 465 572.5 0.2430555 0.474537
Moved 1770.786 463.5 572 0.2395834 0.4732509
Moved 1770.817 463 559.5468 0.2384259 0.4412211
Moved 1770.847 463 546.4759 0.2384259 0.4076025
Moved 1770.878 463 528.4136 0.2384259 0.361146
Moved 1770.909 463 512.3195 0.2384259 0.3197518
Moved 1770.94 463 500.5098 0.2384259 0.2893769
Moved 1770.97 467.9517 486.7557 0.2498882 0.2540011
Moved 1771.001 471.9579 478.1261 0.2591619 0.2318058
Moved 1771.032 474.5035 468.4896 0.2650543 0.2070204
Moved 1771.063 478.1231 462.8769 0.2734331 0.1925845
Moved 1771.093 480.6164 459.3836 0.2792046 0.1835998
Moved 1771.124 483.7064 459 0.2863574 0.1826131
Moved 1771.155 501.0192 494.3845 0.3264333 0.2736225
Moved 1771.185 509.9006 512.576 0.3469921 0.3204114
Moved 1771.216 518 529 0.3657407 0.3626543
Moved 1771.247 526.5305 542.7957 0.3854872 0.398137
Moved 1771.278 538.4866 562.3787 0.4131635 0.4485047
Moved 1771.308 548.3232 576.154 0.4359333 0.483935
Moved 1771.339 559.556 589.945 0.4619351 0.5194057
Moved 1771.37 567.5284 601.1605 0.4803898 0.5482522
Moved 1771.4 578.7482 611.7482 0.5063615 0.5754839
Moved 1771.431 588.9161 621.9161 0.5298985 0.601636
Moved 1771.462 596.8179 628.8179 0.5481895 0.6193874
Moved 1771.493 604.2982 633.8655 0.565505 0.6323699
Moved 1771.523 617.3791 642.1896 0.5957849 0.6537796
Moved 1771.554 627.5887 648.2943 0.6194182 0.669481
Moved 1771.585 636.8133 654.4066 0.6407715 0.685202
Moved 1771.615 642.0597 659.0597 0.6529159 0.6971698
Moved 1771.646 647.0364 664.0364 0.664436 0.7099701
Moved 1771.677 651 669 0.673611 0.7227365
Moved 1771.708 652.1362 671.1362 0.6762413 0.7282309
Moved 1771.738 654.2615 674.2615 0.681161 0.7362694
Moved 1771.769 654 675.5 0.6805556 0.7394547
Moved 1771.8 655 677.4335 0.6828703 0.7444276
Stationary 1771.831 655 677.4335 0.6828703 0.7444276
Moved 1771.861 655 678 0.6828703 0.7458847
Stationary 1771.892 655 678 0.6828703 0.7458847
Moved 1771.923 642.6063 678 0.6541814 0.7458847
Moved 1771.953 628.655 669.842 0.6218864 0.7249023
Moved 1771.984 614.177 662.6473 0.5883726 0.7063971
Moved 1772.015 592.1537 652.923 0.5373927 0.6813864
Moved 1772.046 574.6555 646.5518 0.4968877 0.6649994
Moved 1772.076 556.0784 641.2157 0.4538851 0.6512748
Moved 1772.107 539.6075 635.8879 0.4157581 0.6375716
Moved 1772.138 521.5894 631.7398 0.3740495 0.6269027
Moved 1772.169 505.7545 628.8221 0.3373947 0.6193983
Moved 1772.199 493.3274 625.2655 0.3086282 0.6102507
Moved 1772.23 487.9562 625 0.2961949 0.6095678
Moved 1772.261 470.5 623 0.2557871 0.6044238
Moved 1772.292 457.4974 622 0.2256884 0.6018518
Moved 1772.322 446.4157 622 0.2000365 0.6018518
Moved 1772.353 436.5484 622 0.1771955 0.6018518
Moved 1772.384 423.9198 622 0.1479626 0.6018518
Moved 1772.414 412.1906 628.7332 0.1208116 0.6191695
Moved 1772.445 400.5 633 0.09374996 0.6301439
Moved 1772.476 390.7212 635.8197 0.0711138 0.6373962
Moved 1772.506 380.7348 638.3163 0.04799734 0.6438175
