I listen to the tape everyday
I listen to the tape everyday
FixStart
List

0.6 0.6
432 388.8
Began 1062.097 455 291 0.2199073 -0.2494857
Stationary 1062.128 455 291 0.2199073 -0.2494857
Moved 1062.158 471.7844 318.1766 0.2587602 -0.1795871
Moved 1062.189 493.2139 347.2673 0.3083655 -0.1047651
Moved 1062.22 517.6127 388.1285 0.3648441 0.0003306071
Moved 1062.251 528.3246 406.8745 0.3896404 0.04854539
Moved 1062.281 536.2941 418.5881 0.4080882 0.07867315
Moved 1062.312 541.36 426.36 0.4198149 0.09866263
Moved 1062.343 546.1079 435.1079 0.4308054 0.1211623
Moved 1062.374 547.9291 438.9291 0.4350211 0.1309905
Moved 1062.404 550.5 442.5 0.4409722 0.1401748
Moved 1062.435 552.3012 446.6024 0.4451417 0.1507263
Moved 1062.466 553.3734 447.3734 0.4476236 0.1527093
Moved 1062.496 554 450.049 0.4490741 0.1595908
Moved 1062.527 555.4831 450 0.4525071 0.1594649
Moved 1062.558 555 451 0.4513889 0.162037
Ended 1062.589 556.5 451 0.4548612 0.162037
Candidates 1062.681 13 I u ii iii it go o you gi hi guy up iu
Began 1063.387 425 336 0.150463 -0.1337449
Stationary 1063.418 425 336 0.150463 -0.1337449
Stationary 1063.449 425 336 0.150463 -0.1337449
Moved 1063.48 449.0204 336 0.2060657 -0.1337449
Moved 1063.51 470.7998 336 0.256481 -0.1337449
Moved 1063.541 488.5294 346.2549 0.2975219 -0.1073692
Moved 1063.572 505.7627 347 0.3374135 -0.1054527
Moved 1063.603 522.3668 349.7667 0.375849 -0.09833685
Moved 1063.633 537.8591 351.5718 0.4117108 -0.09369382
Moved 1063.664 548.3201 353.4401 0.4359262 -0.0888888
Moved 1063.695 552.3135 355.3135 0.4451701 -0.08407027
Moved 1063.725 554 358.6992 0.4490741 -0.07536209
Moved 1063.756 548.2249 378.4971 0.4357057 -0.02444177
Moved 1063.787 536.203 399.5941 0.4078774 0.02982002
Moved 1063.818 526.1224 417.2858 0.3845426 0.0753234
Moved 1063.848 518.0851 430.8298 0.3659377 0.1101588
Moved 1063.879 512.1534 440.5396 0.352207 0.1351327
Moved 1063.91 506.5625 446.4376 0.339265 0.1503023
Moved 1063.94 498.1953 449.2012 0.3198964 0.1574103
Moved 1063.971 481.0862 449 0.2802922 0.156893
Moved 1064.002 445.783 424.8605 0.1985718 0.09480562
Moved 1064.033 402.7345 393.3876 0.09892245 0.01385681
Moved 1064.063 368.7438 363.1481 0.02024025 -0.06391949
Moved 1064.094 345.1032 340.8323 -0.03448322 -0.1213162
Moved 1064.125 330.386 326.386 -0.06855096 -0.1584722
Moved 1064.156 321.6292 315.839 -0.08882125 -0.1855993
Moved 1064.186 314.7955 310.3978 -0.10464 -0.1995943
Moved 1064.217 310.059 307.5295 -0.1156041 -0.2069714
Moved 1064.248 307.6603 308 -0.1211567 -0.2057614
Moved 1064.278 306.5 308 -0.1238426 -0.2057614
Moved 1064.309 307 332.0565 -0.1226852 -0.1438876
Moved 1064.34 325.1347 350.7616 -0.08070678 -0.09577778
Moved 1064.371 343.5 370.5 -0.03819446 -0.04501037
Moved 1064.401 367.0821 394.0821 0.01639376 0.0156432
Moved 1064.432 390.1891 413.305 0.06988218 0.06508474
Moved 1064.463 408.753 426.2518 0.112854 0.0983841
Moved 1064.494 419.9172 434.6879 0.1386972 0.120082
Moved 1064.524 425.3497 439.1749 0.1512725 0.1316226
Moved 1064.555 426 442.0441 0.1527777 0.1390021
Moved 1064.586 426 444 0.1527777 0.1440329
Moved 1064.616 426 446.4371 0.1527777 0.150301
