taking the train is usually faster
taking the train is usually faster
Basic
List

0.6 0.6
432 388.8
Began 1055.661 449 390 0.2060185 0.005143954
Stationary 1055.691 449 390 0.2060185 0.005143954
Moved 1055.722 440.5398 390 0.1864347 0.005143954
Moved 1055.753 431.5 390 0.1655093 0.005143954
Moved 1055.783 418.7263 390 0.1359405 0.005143954
Moved 1055.814 408.4391 400.187 0.1121277 0.03134499
Moved 1055.845 399.8176 405.0608 0.09217044 0.04388059
Moved 1055.876 392.1481 410.2346 0.074417 0.05718761
Moved 1055.906 385.0136 415.9864 0.05790194 0.07198145
Moved 1055.937 379.2996 420.7004 0.04467497 0.08410583
Moved 1055.968 374.5529 424.2235 0.03368735 0.09316739
Moved 1055.999 371.2589 428.7411 0.02606213 0.1047868
Moved 1056.029 368.3876 432.6124 0.01941582 0.1147437
Moved 1056.06 366.5192 436.4808 0.0150907 0.1246934
Moved 1056.091 364.959 442.0819 0.01147926 0.1390995
Moved 1056.121 363.0805 449.7585 0.007130702 0.1588439
Moved 1056.152 361 458.2228 0.002314846 0.180614
Moved 1056.183 359 465.3405 -0.002314796 0.198921
Moved 1056.214 356.7952 471.4095 -0.007418444 0.2145306
Moved 1056.244 352.9206 483.3178 -0.0163876 0.2451588
Moved 1056.275 347.4243 493.2928 -0.02911046 0.2708148
Moved 1056.306 342 502.5 -0.04166668 0.2944958
Moved 1056.337 335.321 512.9054 -0.05712738 0.3212586
Moved 1056.367 326.6984 522.3016 -0.07708704 0.3454259
Moved 1056.398 321.0562 528.9438 -0.0901478 0.3625098
Moved 1056.429 318.6162 532.7675 -0.09579574 0.3723443
Moved 1056.459 315.6226 535.3774 -0.1027255 0.3790569
Moved 1056.49 315 536 -0.1041667 0.3806583
Moved 1056.521 312.8826 536 -0.1090681 0.3806583
Moved 1056.552 304.7818 518.2072 -0.12782 0.334895
Moved 1056.582 272.1674 467.9457 -0.2033162 0.2056215
Moved 1056.613 240.481 407.9621 -0.2766642 0.05134284
Moved 1056.644 220.166 372.3556 -0.3236899 -0.04023775
Moved 1056.675 207.4893 346.9787 -0.3530339 -0.1055075
Moved 1056.705 198.8783 330.4638 -0.3729669 -0.1479841
Moved 1056.736 191.8491 319.2737 -0.3892381 -0.1767653
Moved 1056.767 187.8932 312.7864 -0.3983953 -0.1934506
Moved 1056.798 183.0387 308.0193 -0.4096326 -0.2057116
Moved 1056.828 180.1506 304.1506 -0.4163181 -0.215662
Moved 1056.859 176 301.5 -0.4259259 -0.2224794
Moved 1056.89 174.77 301 -0.428773 -0.2237656
Moved 1056.92 171.8959 300 -0.4354261 -0.2263375
Moved 1056.951 169.0245 300 -0.442073 -0.2263375
Moved 1056.982 168 300 -0.4444444 -0.2263375
Stationary 1057.013 168 300 -0.4444444 -0.2263375
Moved 1057.043 183.8346 322.8346 -0.4077902 -0.1676066
Moved 1057.074 198.5 335.5 -0.3738426 -0.1350309
Moved 1057.105 231.5552 358.9331 -0.2973259 -0.07476061
Moved 1057.136 262.1942 375.0971 -0.2264023 -0.03318645
Moved 1057.166 291.8911 387.5565 -0.1576594 -0.001140838
Moved 1057.197 317.8217 396.9331 -0.09763504 0.02297601
Moved 1057.228 345.521 403.6713 -0.03351614 0.04030691
Moved 1057.258 372.3857 409.7095 0.02867053 0.05583727
Moved 1057.289 400.237 412.5819 0.09314129 0.06322499
Moved 1057.32 424.1182 414 0.1484217 0.06687239
Moved 1057.351 446.9447 414 0.2012608 0.06687239
Moved 1057.381 469.0477 407.9523 0.2524253 0.05131749
Moved 1057.412 486 402 0.2916667 0.03600815
Moved 1057.443 496.9622 397.5189 0.3170422 0.02448278
Moved 1057.474 504.2277 393.8861 0.3338605 0.01513913
Moved 1057.504 505.5 392.5 0.3368056 0.01157403
Moved 1057.535 505 389.4698 0.3356481 0.003780317
Moved 1057.566 492.5139 385.6127 0.3067451 -0.006140288
Moved 1057.597 481.9124 381.7281 0.2822045 -0.01613146
Moved 1057.627 466.197 377.7324 0.2458264 -0.02640861
Moved 1057.658 451.6662 376 0.2121904 -0.03086435
Moved 1057.689 435.2815 376 0.1742627 -0.03086435
Moved 1057.719 422.3745 376 0.1443854 -0.03086435
Moved 1057.75 414.058 376 0.1251343 -0.03086435
Moved 1057.781 405.3022 393.3956 0.1048661 0.01387757
Moved 1057.812 401.2742 403.1776 0.09554207 0.03903691
Moved 1057.842 401 415.9427 0.09490739 0.07186897
Moved 1057.873 401 432.8661 0.09490739 0.1153962
Moved 1057.904 401 449.9983 0.09490739 0.1594605
Moved 1057.935 411.7305 464.4609 0.1197464 0.1966587
Moved 1057.965 418.5 476 0.1354167 0.2263374
Moved 1057.996 426.733 486.9773 0.1544745 0.2545712
Moved 1058.027 435.3347 494.2231 0.1743859 0.2732076
Moved 1058.057 442.9674 499.9673 0.1920541 0.2879818
Moved 1058.088 448.5307 502.5307 0.2049322 0.2945748
Moved 1058.119 453.8097 504.4048 0.217152 0.2993951
Moved 1058.15 459.5555 505 0.2304524 0.3009258
Moved 1058.18 466.4476 505 0.2464065 0.3009258
Moved 1058.211 472.3381 505 0.260042 0.3009258
Moved 1058.242 475.547 494.3591 0.2674698 0.2735572
Moved 1058.273 476 482.9069 0.2685185 0.244102
Moved 1058.303 468.078 460.078 0.2501806 0.1853858
Moved 1058.334 455.746 431.4919 0.2216342 0.1118619
Moved 1058.365 446.539 408.3475 0.2003219 0.05233415
Moved 1058.396 440.7975 393.9939 0.1870313 0.01541636
Moved 1058.426 433.5963 380.1925 0.1703617 -0.02008108
Moved 1058.457 425.9642 359.8748 0.1526949 -0.07233867
Moved 1058.488 419.2272 344.4544 0.1371 -0.112
Moved 1058.518 415 331 0.1273148 -0.146605
Moved 1058.549 407.2156 312.9082 0.1092953 -0.1931374
Moved 1058.58 401.7384 296.2152 0.09661664 -0.236072
Moved 1058.611 398.0061 284.0243 0.08797705 -0.2674273
Moved 1058.641 394.3731 269.6617 0.07956744 -0.3043682
Moved 1058.672 390.5687 256.2747 0.07076085 -0.3387997
Moved 1058.703 390 248.141 0.06944448 -0.3597197
Moved 1058.734 387.8455 242.8455 0.06445726 -0.3733399
