the collapse of the Roman empire
the collapse of the Roman empire
FixStart
List

0.6 0.6
432 388.8
Began 1713.593 417 433 0.1319444 0.1157406
Stationary 1713.624 417 433 0.1319444 0.1157406
Stationary 1713.654 417 433 0.1319444 0.1157406
Stationary 1713.685 417 433 0.1319444 0.1157406
Moved 1713.716 430.0633 450.0633 0.1621836 0.1596277
Moved 1713.746 440.6095 462.6095 0.1865961 0.1918967
Moved 1713.777 453.2536 476.7043 0.2158648 0.2281488
Moved 1713.808 463.0099 488.0132 0.2384489 0.2572356
Moved 1713.839 471.8986 499.1232 0.2590245 0.2858107
Moved 1713.869 481.5288 509.5289 0.2813168 0.3125742
Moved 1713.9 491.5551 517.1663 0.3045256 0.3322178
Moved 1713.931 502.7078 525.7808 0.330342 0.3543744
Moved 1713.961 510.4168 531.2778 0.348187 0.3685129
Moved 1713.992 518.4674 536.4674 0.3668227 0.3818605
Moved 1714.023 521.2934 539.2934 0.3733644 0.389129
Moved 1714.054 523.5 540.5 0.3784722 0.3922324
Moved 1714.084 523 541.0626 0.3773148 0.3936793
Stationary 1714.115 523 541 0.3773148 0.3935184
Moved 1714.146 513.2097 541 0.3546521 0.3935184
Moved 1714.177 506.0594 541 0.3381006 0.3935184
Moved 1714.207 496.9855 541 0.3170961 0.3935184
Moved 1714.238 485.7747 541 0.2911451 0.3935184
Moved 1714.269 475.4088 541 0.26715 0.3935184
Moved 1714.299 464.3003 534 0.2414358 0.3755144
Moved 1714.33 454.3211 533 0.218336 0.3729423
Moved 1714.361 440.7128 532 0.1868351 0.3703703
Moved 1714.392 428.0499 531 0.1575229 0.3677982
Moved 1714.422 415.5 530 0.1284723 0.3652262
Moved 1714.453 403.6546 530 0.1010524 0.3652262
Moved 1714.484 394.917 530 0.08082648 0.3652262
Moved 1714.515 387.2061 530 0.06297708 0.3652262
Moved 1714.545 383.5367 540.9266 0.05448302 0.3933297
Moved 1714.576 382 550.9142 0.05092591 0.419018
Moved 1714.607 382 564.3698 0.05092591 0.4536258
Moved 1714.637 393.6489 574.4733 0.07789086 0.4796122
Moved 1714.668 401.1229 583.1229 0.0951918 0.5018591
Moved 1714.699 407.1108 590.1108 0.1090529 0.5198323
Moved 1714.73 413.4569 594.1523 0.1237428 0.530227
Moved 1714.76 422.1674 599.4449 0.1439059 0.5438396
Moved 1714.791 429.7665 601.2555 0.1614966 0.5484965
Moved 1714.822 434 601 0.1712963 0.5478393
Moved 1714.853 435.0736 601 0.1737816 0.5478393
Moved 1714.883 435.6165 595.4518 0.1750381 0.5335695
Moved 1714.914 436 578.8859 0.1759259 0.4909616
Moved 1714.945 436 565.5 0.1759259 0.4565328
Moved 1714.975 436 547.4549 0.1759259 0.4101205
Moved 1715.006 436 527.5915 0.1759259 0.3590315
Moved 1715.037 436 508.8217 0.1759259 0.3107554
Moved 1715.068 436 488.5 0.1759259 0.2584876
Moved 1715.098 440.5535 470.4885 0.1864664 0.2121616
Moved 1715.129 444.392 457.04 0.1953518 0.1775719
Moved 1715.16 447.9065 446.1403 0.2034872 0.1495378
Moved 1715.19 450.5 436 0.2094908 0.1234567
Moved 1715.221 453.5296 427.9407 0.2165037 0.1027282
Moved 1715.252 458.6491 414.0528 0.2283543 0.06700817
Moved 1715.283 461.8718 406.2564 0.2358143 0.04695574
Moved 1715.313 465.8198 400.1802 0.2449531 0.03132773
Moved 1715.344 469.2893 395.7106 0.2529846 0.01983187
Moved 1715.375 473.202 391.798 0.2620417 0.009768371
Moved 1715.406 476.7562 389.2438 0.270269 0.003198969
Moved 1715.436 478.1515 387.8485 0.2734988 -0.0003897113
Moved 1715.467 478 386.7758 0.2731481 -0.003148695
Moved 1715.498 469.7762 397.2798 0.2541115 0.02386768
Moved 1715.528 451.7636 416.2364 0.2124159 0.07262438
Moved 1715.559 433.5346 434.4654 0.170219 0.1195097
Moved 1715.59 417.855 451.145 0.1339236 0.1624099
Moved 1715.621 404.987 462.0131 0.1041365 0.1903627
Moved 1715.651 395 472.5 0.08101851 0.2173353
Moved 1715.682 385.7259 481.3655 0.0595507 0.2401375
Moved 1715.713 377.4836 490.5164 0.04047135 0.2636739
Moved 1715.744 369.344 501.57 0.02162973 0.2921039
Moved 1715.774 361.5913 511.8782 0.003683567 0.3186168
