a very traditional way to dress
a very traditional way to dress
FixStart
List

0.6 0.6
432 388.8
Began 992.4312 477 447 0.2708333 0.1517489
Stationary 992.4625 477 447 0.2708333 0.1517489
Moved 992.4933 459.5763 447 0.2305007 0.1517489
Moved 992.524 435.3717 437.8835 0.1744715 0.1283011
Moved 992.5547 411.5571 434.2595 0.1193451 0.1189802
Moved 992.5854 375.597 428.1331 0.03610402 0.1032228
Moved 992.6161 353.5568 425.7285 -0.01491492 0.09703832
Moved 992.6469 332.853 423.317 -0.06284028 0.09083591
Moved 992.6776 317.0284 423 -0.09947126 0.09002049
Moved 992.7083 304.8988 421.7798 -0.1275491 0.08688211
Moved 992.739 295.1238 421 -0.1501764 0.08487643
Moved 992.7697 288.9326 421 -0.164508 0.08487643
Moved 992.8004 285.5561 421 -0.1723238 0.08487643
Moved 992.8311 283.5 421 -0.1770833 0.08487643
Moved 992.8619 281.0544 421 -0.1827444 0.08487643
Moved 992.8926 279.8219 421 -0.1855974 0.08487643
Moved 992.9232 278.5 421 -0.1886574 0.08487643
Moved 992.954 277.8084 421 -0.1902584 0.08487643
Stationary 992.9847 277.8084 421 -0.1902584 0.08487643
Ended 993.0154 278 421 -0.1898148 0.08487643
Candidates 993.1076 13 a as add sa s da aa ga gas aaa fda ass faa
Began 993.6297 490 416 0.300926 0.07201634
Stationary 993.6605 490 416 0.300926 0.07201634
Stationary 993.6912 490 416 0.300926 0.07201634
Stationary 993.7219 490 416 0.300926 0.07201634
Stationary 993.7526 490 416 0.300926 0.07201634
Moved 993.7833 483.2752 416 0.2853593 0.07201634
Moved 993.814 475.541 399.0821 0.2674562 0.02850332
Moved 993.8447 470.8749 385.0621 0.2566549 -0.007556279
Moved 993.8755 467.2842 369.9893 0.2483431 -0.046324
Moved 993.9062 465.8771 353.14 0.245086 -0.08966061
Moved 993.937 466 340 0.2453704 -0.1234569
Moved 993.9676 466 325.4633 0.2453704 -0.1608454
Moved 993.9983 466 313.8071 0.2453704 -0.1908253
Moved 994.0291 466 299.6812 0.2453704 -0.2271575
Moved 994.0598 466 288.7789 0.2453704 -0.2551984
Moved 994.0905 466 280.4144 0.2453704 -0.2767119
Moved 994.1212 466 275 0.2453704 -0.2906379
