traveling requires a lot of fuel
traveling requires a lot of fuel
Basic
Radial

0.6 0.6
432 388.8
Began 2603.802 370 553 0.02314816 0.4243826
Stationary 2603.833 370 553 0.02314816 0.4243826
Stationary 2603.864 370 553 0.02314816 0.4243826
Moved 2603.895 361.7178 553 0.003976326 0.4243826
Moved 2603.925 350.8425 553 -0.0211979 0.4243826
Moved 2603.956 330.7469 553 -0.06771544 0.4243826
Moved 2603.987 313.424 546 -0.1078149 0.4063785
Moved 2604.017 291.5 543.5 -0.1585648 0.3999484
Moved 2604.048 268.6579 534.4632 -0.21144 0.3767056
Moved 2604.079 236.8168 514.8626 -0.2851463 0.3262926
Moved 2604.11 209.99 491.9899 -0.3472455 0.2674637
Moved 2604.14 187.1529 470.153 -0.400109 0.2112987
Moved 2604.171 161.9039 444.9039 -0.4585559 0.1463576
Moved 2604.202 151.5157 430.1928 -0.4826026 0.1085205
Moved 2604.232 145.9462 423.9462 -0.4954949 0.09245421
Moved 2604.263 146 419.3818 -0.4953704 0.08071452
Moved 2604.294 164.8726 405.9482 -0.4516838 0.04616297
Moved 2604.324 203.8139 377.0034 -0.3615419 -0.02828355
Moved 2604.355 243.1111 341.6528 -0.2705762 -0.1192059
Moved 2604.386 300.7471 293.1188 -0.1371595 -0.244036
Moved 2604.417 340.3419 262.2347 -0.04550497 -0.3234704
Moved 2604.448 366.0065 241.8839 0.01390388 -0.375813
Moved 2604.478 379.9448 229.0442 0.04616847 -0.408837
Moved 2604.509 385.856 222.2881 0.05985181 -0.4262138
Moved 2604.54 389 219.2756 0.06712963 -0.4339619
Moved 2604.571 389 218.5 0.06712963 -0.4359568
Moved 2604.601 364.1398 259.3763 0.009582838 -0.3308224
Moved 2604.632 329.4651 318.1543 -0.07068261 -0.1796444
Moved 2604.663 303.4239 359.6862 -0.1309632 -0.07282367
Moved 2604.693 284.77 388.345 -0.1741435 0.0008871918
Moved 2604.724 265.5362 417.1957 -0.2186663 0.07509185
Moved 2604.755 252.57 438.7524 -0.2486805 0.130536
Moved 2604.785 244.0441 454.9118 -0.2684164 0.1720982
Moved 2604.816 241 467.4424 -0.275463 0.2043272
Moved 2604.847 240 483.2144 -0.2777777 0.2448928
Moved 2604.878 240 491.6776 -0.2777777 0.2666605
Moved 2604.908 252.04 498.52 -0.2499075 0.2842591
Moved 2604.939 283.9517 502 -0.1760377 0.2932098
Moved 2604.97 332.919 486.7243 -0.06268755 0.2539205
Moved 2605 396.1399 455.834 0.08365721 0.17447
Moved 2605.031 438.7538 431.787 0.1823006 0.1126209
Moved 2605.062 477.9744 402.8911 0.2730888 0.03829999
Moved 2605.093 508.4074 383.6204 0.3435357 -0.0112645
Moved 2605.124 524.5 374.5 0.3807871 -0.03472222
Moved 2605.154 532.0916 370.9542 0.3983601 -0.04384209
Moved 2605.185 535.9139 371 0.407208 -0.04372435
Moved 2605.216 537 386.0096 0.4097222 -0.005119308
Moved 2605.246 527.0586 436.8242 0.3867096 0.1255765
Moved 2605.277 512.4867 503.2242 0.3529785 0.2963586
Moved 2605.308 503.907 535.4185 0.333118 0.3791626
Moved 2605.339 501.0853 547.7441 0.3265863 0.4108645
Moved 2605.369 498.5714 553.8572 0.3207671 0.4265874
Moved 2605.4 494.4042 553 0.3111209 0.4243826
Moved 2605.431 463.532 504.3903 0.2396575 0.2993576
Moved 2605.461 436.4034 439.4105 0.1768596 0.1322286
Moved 2605.492 420.7769 363.992 0.1406872 -0.06174896
