that is a very odd question
that is a very odd question
Basic
List

0.6 0.6
432 388.8
Began 2767.069 386 496 0.06018519 0.2777777
Stationary 2767.1 386 496 0.06018519 0.2777777
Stationary 2767.131 386 496 0.06018519 0.2777777
Stationary 2767.161 386 496 0.06018519 0.2777777
Stationary 2767.192 386 496 0.06018519 0.2777777
Stationary 2767.223 386 496 0.06018519 0.2777777
Stationary 2767.253 386 496 0.06018519 0.2777777
Stationary 2767.284 386 496 0.06018519 0.2777777
Stationary 2767.315 386 496 0.06018519 0.2777777
Stationary 2767.346 386 496 0.06018519 0.2777777
Stationary 2767.376 386 496 0.06018519 0.2777777
Stationary 2767.407 386 496 0.06018519 0.2777777
Stationary 2767.438 386 496 0.06018519 0.2777777
Moved 2767.469 399.7239 484.2761 0.09195358 0.2476235
Moved 2767.499 414.2139 467.3433 0.1254952 0.2040721
Moved 2767.53 424.9792 452.368 0.1504148 0.1655554
Moved 2767.561 433.5788 440.0353 0.1703213 0.1338356
Moved 2767.592 438.5109 432.7336 0.1817381 0.1150556
Moved 2767.622 441.6262 424.1213 0.1889496 0.09290455
Moved 2767.653 443 420.5068 0.1921296 0.08360792
Moved 2767.684 443 418.5 0.1921296 0.07844638
Moved 2767.715 418.7454 417.0828 0.1359846 0.07480142
Moved 2767.745 381.0758 414.2197 0.0487866 0.06743752
Moved 2767.776 346.1498 407.6917 -0.03206064 0.05064721
Moved 2767.807 320.0019 401.7782 -0.09258822 0.03543763
Moved 2767.837 292.8387 395.977 -0.1554659 0.02051683
Moved 2767.868 272.5147 392.103 -0.2025122 0.01055282
Moved 2767.899 256.9104 389.2276 -0.2386334 0.003157368
Moved 2767.93 246.7776 386.6944 -0.262089 -0.003358032
Moved 2767.96 237.4374 383.8124 -0.2837097 -0.01077048
Moved 2767.991 230.883 382 -0.2988819 -0.01543218
Moved 2768.022 225.6349 381.3174 -0.3110303 -0.01718772
Moved 2768.053 222.5611 381 -0.3181457 -0.01800419
Moved 2768.083 219.6968 380 -0.3247759 -0.02057613
Stationary 2768.114 220 380 -0.3240741 -0.02057613
Moved 2768.145 231.0074 397.806 -0.2985939 0.02522107
Moved 2768.176 262.4068 427.806 -0.2259102 0.1023816
Moved 2768.207 291.7388 453.7911 -0.158012 0.1692157
Moved 2768.237 315.7692 471.7308 -0.102386 0.2153568
Moved 2768.268 334.3059 485.5373 -0.05947704 0.2508675
Moved 2768.299 350.7631 497.0105 -0.02138172 0.2803767
Moved 2768.329 363.5063 506.8798 0.008116564 0.3057607
Moved 2768.36 371.2856 512.1904 0.02612392 0.3194196
Moved 2768.391 378.0119 516.006 0.04169424 0.3292334
Moved 2768.422 383.7575 519.7576 0.05499432 0.3388826
Moved 2768.452 392.0294 522.7574 0.07414223 0.3465981
Moved 2768.483 399.8636 526.2878 0.09227684 0.3556785
Ended 2768.514 401 527 0.09490739 0.3575102
Candidates 2768.606 13 that last okay jay today thai pay just post lay lady they play
Began 2769.344 463 489 0.2384259 0.2597736
Stationary 2769.375 463 489 0.2384259 0.2597736
Stationary 2769.405 463 489 0.2384259 0.2597736
Stationary 2769.436 463 489 0.2384259 0.2597736
Stationary 2769.467 463 489 0.2384259 0.2597736
Stationary 2769.498 463 489 0.2384259 0.2597736
Stationary 2769.528 463 489 0.2384259 0.2597736
Stationary 2769.559 463 489 0.2384259 0.2597736
Moved 2769.59 473.0827 489 0.2617656 0.2597736
Stationary 2769.621 473 489 0.2615741 0.2597736
Moved 2769.651 474 489 0.2638889 0.2597736
Stationary 2769.682 474 489 0.2638889 0.2597736
Moved 2769.713 441.4245 479.1799 0.1884826 0.2345161
Moved 2769.744 391.8476 459.2131 0.0737213 0.1831613
Moved 2769.774 353.6595 441.4255 -0.0146771 0.1374112
Moved 2769.805 325.4907 431.1472 -0.07988259 0.1109753
Moved 2769.836 299.5776 422.5259 -0.1398666 0.088801
Moved 2769.866 279 409 -0.1875 0.05401234
Moved 2769.897 262.5136 400.2568 -0.2256629 0.03152455
Moved 2769.928 250.4786 392.7393 -0.2535218 0.01218957
Moved 2769.958 244.0101 388.0101 -0.2684952 2.582377E-05
Moved 2769.99 238.484 385.484 -0.2812871 -0.006471209
Moved 2770.02 235.6131 382.6131 -0.2879327 -0.0138552
Moved 2770.051 232.7433 382 -0.2945758 -0.01543218
Moved 2770.082 230.9368 381 -0.2987574 -0.01800419
Moved 2770.113 229.5 380 -0.3020833 -0.02057613
Ended 2770.143 229 379 -0.3032407 -0.02314815
Accept 2770.235 0 that
Candidates 2770.235 13 is odds if us ps id oa pass psa his its gifts of
Began 2771.035 178 363 -0.4212963 -0.06430049
Stationary 2771.065 178 363 -0.4212963 -0.06430049
Stationary 2771.096 178 363 -0.4212963 -0.06430049
Stationary 2771.127 178 363 -0.4212963 -0.06430049
Stationary 2771.158 178 363 -0.4212963 -0.06430049
Stationary 2771.188 178 363 -0.4212963 -0.06430049
