this is too much to handle
this is too much to handle
FixStart
List

0.6 0.6
432 388.8
Began 128.7651 330 320 -0.06944443 -0.1748972
Stationary 128.7958 330 320 -0.06944443 -0.1748972
Moved 128.8265 323.473 340.2522 -0.08455321 -0.1228082
Moved 128.8571 312.5 392 -0.1099537 0.01028803
Moved 128.8878 313 456.43 -0.1087963 0.1760029
Moved 128.9185 313 465.953 -0.1087963 0.2004963
Moved 128.9493 313 469.8463 -0.1087963 0.2105099
Stationary 128.98 313 470 -0.1087963 0.2109053
Moved 129.0107 330.2956 413.0401 -0.06876011 0.06440343
Moved 129.0414 337.1409 357.1684 -0.05291457 -0.07929946
Moved 129.0721 345.0197 324.9308 -0.03467649 -0.162215
Moved 129.1028 349.0523 312.8954 -0.02534196 -0.1931702
Moved 129.1335 352.3994 305.2011 -0.0175939 -0.2129602
Moved 129.1642 355.2747 305 -0.0109382 -0.2134774
Moved 129.1949 387.1341 357.6414 0.06281048 -0.07808285
Moved 129.2256 416.5473 424.804 0.1308965 0.09466042
Moved 129.2563 422.5804 441.3218 0.1448621 0.1371446
Moved 129.2871 423 447.9121 0.1458333 0.1540948
Moved 129.3177 423 448.9937 0.1458333 0.1568768
Moved 129.3485 387.9814 431.7458 0.06477187 0.1125149
Moved 129.3792 291.7932 350.0566 -0.157886 -0.09759118
Moved 129.4099 265.5 322.5 -0.21875 -0.1684671
Moved 129.4406 249.4229 303.4229 -0.2559655 -0.2175339
Moved 129.4713 238.0681 290.0681 -0.2822497 -0.2518824
Moved 129.502 231.1361 281.2722 -0.2982961 -0.2745057
Moved 129.5327 229 278.6993 -0.3032407 -0.2811232
Ended 129.5634 229 279 -0.3032407 -0.2803498
Candidates 129.6248 13 this thus third did if grid toys todd gross ross tips food rod
Began 129.8705 262 279 -0.2268519 -0.2803498
Stationary 129.9012 262 279 -0.2268519 -0.2803498
Moved 129.9319 280.4297 312.0565 -0.1841906 -0.195328
Moved 129.9626 315 359.5 -0.1041667 -0.07330247
Moved 129.9933 338.9502 390.0558 -0.04872635 0.005287633
Moved 130.024 353.961 407.961 -0.01397923 0.05133998
Moved 130.0547 359.8661 414.8661 -0.0003099938 0.06909998
Moved 130.0854 361.3299 417.3299 0.00307858 0.07543693
Stationary 130.1161 361 417 0.002314846 0.0745884
Moved 130.1468 313.3907 383.293 -0.1078919 -0.0121064
Moved 130.1775 269.5311 345.6249 -0.2094187 -0.1089896
Moved 130.2082 244.7382 323.7382 -0.2668097 -0.1652824
Moved 130.2389 222.3285 301.7875 -0.318684 -0.22174
Moved 130.2695 208.3739 286.3739 -0.3509864 -0.2613841
Moved 130.3003 197.4711 275.4711 -0.3762244 -0.2894263
Moved 130.3311 187.5936 263.8904 -0.3990888 -0.3192118
Moved 130.3617 179.2534 255.8356 -0.4183949 -0.3399291
Moved 130.3925 174.5528 250.5527 -0.429276 -0.3535166
Moved 130.4232 173 250 -0.4328704 -0.3549383
Stationary 130.4539 173 250 -0.4328704 -0.3549383
Ended 130.4846 173 250 -0.4328704 -0.3549383
Accept 130.546 0 this
Candidates 130.546 13 is goods id odds if his gods kids good hits us usa foods
Began 130.8837 287 277 -0.1689815 -0.2854939
Stationary 130.9145 287 277 -0.1689815 -0.2854939
Moved 130.9452 278.6049 293.5803 -0.1884145 -0.2428492
Moved 130.9759 272.1019 321.3888 -0.2034679 -0.1713253
Moved 131.0066 272 347.5585 -0.2037037 -0.1040162
Moved 131.0373 272 363.6736 -0.2037037 -0.06256787
Moved 131.068 275.7785 372.6194 -0.1949571 -0.03955927
Moved 131.0987 283.3344 381.4459 -0.1774667 -0.01685751
Moved 131.1294 316.7084 401.8445 -0.1002119 0.0356082
Moved 131.1601 367.5198 422.9788 0.01740694 0.08996587
Moved 131.1906 401 430 0.09490739 0.1080246
Moved 131.2215 422.8526 432 0.1454922 0.1131687
Moved 131.2522 437.687 432 0.179831 0.1131687
Moved 131.2829 453.0406 432 0.2153717 0.1131687
Moved 131.3136 462.091 432 0.2363218 0.1131687
Moved 131.3443 470.1715 432 0.2550266 0.1131687
Moved 131.375 475.2725 432 0.2668344 0.1131687
Moved 131.4057 480.1337 432 0.2780871 0.1131687
Ended 131.4364 484 432 0.287037 0.1131687
Accept 131.4978 0 is
Candidates 131.4978 13 to tip too up top tp yup trip yo grip ttp rip rp
Began 131.9585 357 300 -0.006944438 -0.2263375
Stationary 131.9891 357 300 -0.006944438 -0.2263375
Stationary 132.0199 357 300 -0.006944438 -0.2263375
Moved 132.0506 350 346.9064 -0.02314816 -0.1056934
Moved 132.0812 383.658 432.1748 0.05476395 0.1136182
Moved 132.112 409.3999 477.5999 0.1143516 0.2304523
Moved 132.1427 437.0836 514.4309 0.1784343 0.3251823
Moved 132.1734 458.5 541.5 0.2280092 0.3948044
Moved 132.2041 466.233 553.466 0.2459097 0.4255812
Moved 132.2348 468.9914 556.9915 0.2522949 0.4346487
Moved 132.2655 469 559.8672 0.2523148 0.4420453
Moved 132.2962 469 560.5 0.2523148 0.4436727
Moved 132.3269 469 561.2242 0.2523148 0.4455355
Stationary 132.3576 469 561 0.2523148 0.4449587
Stationary 132.3882 469 561 0.2523148 0.4449587
Moved 132.419 469 563.5 0.2523148 0.4513887
Ended 132.4498 469 563.5 0.2523148 0.4513887
Accept 132.5111 2 too
Began 132.7261 319 457 -0.09490739 0.1774691
Stationary 132.7568 319 457 -0.09490739 0.1774691
Moved 132.7875 346.3228 412.1512 -0.03166015 0.06211736
Moved 132.8182 369.6265 371.3545 0.02228359 -0.0428126
Moved 132.8489 383.0833 348.1043 0.05343348 -0.1026124
Moved 132.8796 391.4619 337.0761 0.07282853 -0.1309772
Moved 132.9103 394 331.7943 0.07870366 -0.144562
Moved 132.941 395 331 0.08101851 -0.146605
Moved 132.9717 383.1529 392.8309 0.05359471 0.0124252
Moved 133.0024 395.7794 480.3806 0.08282274 0.2376042
Moved 133.0332 395 505.5612 0.08101851 0.3023693
Moved 133.0639 395 514.668 0.08101851 0.325792
Moved 133.0945 395 519.6603 0.08101851 0.3386325
Moved 133.1252 390.1415 521 0.06977211 0.3420781
Moved 133.1559 324.1369 461.7241 -0.08301635 0.1896194
Moved 133.1866 267.5132 377.9751 -0.2140898 -0.02578429
Moved 133.2174 252.704 348.4081 -0.2483703 -0.1018311
Moved 133.2481 243.6131 326.8395 -0.2694141 -0.1573059
Moved 133.2788 238.5 313.5 -0.28125 -0.1916154
Moved 133.3095 237 307.928 -0.2847222 -0.2059466
Moved 133.3402 237 306.5 -0.2847222 -0.2096194
Moved 133.3709 246.7466 306 -0.2621606 -0.2109054
Moved 133.4016 282.3619 338.8167 -0.1797177 -0.1265002
Moved 133.4323 318.8317 371.8317 -0.09529699 -0.0415853
Moved 133.463 345.9661 397.8694 -0.03248597 0.0253843
Moved 133.4937 364.8744 416.8743 0.01128326 0.07426512
Moved 133.5244 375.9867 426.49 0.03700614 0.0989968
Ended 133.5551 383 431 0.05324075 0.1105966
Candidates 133.6472 13 much nick black click bunch block chuck luck check mock chick bitch kick
Began 133.985 325 347 -0.08101851 -0.1054527
Stationary 134.0157 325 347 -0.08101851 -0.1054527
Moved 134.0464 325 354.0312 -0.08101851 -0.08736841
Moved 134.0771 325 377.6027 -0.08101851 -0.0267422
Moved 134.1078 325 401.8519 -0.08101851 0.03562735
Moved 134.1386 325 419.7789 -0.08101851 0.08173569
Moved 134.1693 325 425.6627 -0.08101851 0.09686889
Moved 134.2 325 429.5 -0.08101851 0.1067386
Moved 134.2306 332 431.2477 -0.06481484 0.1112337
Moved 134.2614 333 433 -0.06249999 0.1157406
Moved 134.2921 339.9912 436.9956 -0.04631658 0.1260175
Moved 134.3228 366.8098 443.1099 0.01576334 0.1417436
Moved 134.3535 403.4686 449.7448 0.1006218 0.1588085
Moved 134.3842 428.3062 452.2562 0.1581163 0.165268
Moved 134.4149 449.9285 455.1326 0.2081677 0.1726662
