a very traditional way to dress
a very traditional way to dress
FixStart
List

0.6 0.6
432 388.8
Began 3630.247 384 473 0.0555556 0.2186213
Moved 3630.278 360.495 473 0.0011458 0.2186213
Moved 3630.308 316.2037 463.3469 -0.1013804 0.1937935
Moved 3630.339 284.9945 463 -0.1736238 0.1929011
Moved 3630.37 267.1176 462 -0.2150057 0.1903292
Moved 3630.401 256.2393 462 -0.2401869 0.1903292
Moved 3630.431 247.6416 462 -0.260089 0.1903292
Ended 3630.462 247.6416 462 -0.260089 0.1903292
Candidates 3630.554 13 a s as ss d sa da aa ga add sd aaa fda
Began 3632.029 426 527 0.1527777 0.3575102
Stationary 3632.059 426 527 0.1527777 0.3575102
Moved 3632.09 426 512.6595 0.1527777 0.3206262
Moved 3632.121 426 493.7425 0.1527777 0.2719713
Moved 3632.152 426 466.6968 0.1527777 0.2024093
Moved 3632.182 419 430.406 0.1365741 0.1090688
Moved 3632.213 419 403.9954 0.1365741 0.04114025
Moved 3632.244 419 381.945 0.1365741 -0.01557362
Moved 3632.274 419 367.0551 0.1365741 -0.05387082
Moved 3632.305 419 357.5 0.1365741 -0.07844657
Moved 3632.336 419 351.6923 0.1365741 -0.09338409
Moved 3632.366 400.5068 352 0.09376585 -0.09259266
Moved 3632.397 369.5931 378.4212 0.02220631 -0.02463682
Moved 3632.428 340.8165 408.4261 -0.04440621 0.05253619
Moved 3632.459 320.1213 433.8441 -0.09231185 0.1179116
Moved 3632.49 308 452.5 -0.1203704 0.165895
Moved 3632.52 300.5678 467.8644 -0.1375745 0.2054125
Moved 3632.551 294.2177 484.2382 -0.1522739 0.2475261
Moved 3632.582 287.7087 500.874 -0.167341 0.2903138
Moved 3632.612 284.9239 514.3805 -0.1737873 0.3250526
Moved 3632.643 283 525.4144 -0.1782407 0.3534319
Moved 3632.674 281 533.6044 -0.1828704 0.3744967
Moved 3632.705 280 539.7443 -0.1851852 0.3902889
Moved 3632.735 280 545.6093 -0.1851852 0.4053735
Moved 3632.766 280 551.1192 -0.1851852 0.4195452
Moved 3632.797 280 555.3231 -0.1851852 0.4303576
Moved 3632.827 280 561.1777 -0.1851852 0.4454157
Moved 3632.858 293.2307 568.673 -0.1545586 0.4646938
