want to join us for lunch
want to join us for lunch
FixStart
List

0.6 0.6
432 388.8
Moved 3452.953 574.7769 574 0.4971688 0.478395
Moved 3452.984 587.8558 574 0.5274441 0.478395
Moved 3453.015 597.9191 574 0.5507388 0.478395
Moved 3453.046 607.9885 574 0.5740473 0.478395
Moved 3453.076 613.8198 574 0.5875459 0.478395
Moved 3453.107 619.4072 574 0.6004795 0.478395
Moved 3453.138 624.936 574 0.6132777 0.478395
Moved 3453.168 629.2368 574 0.6232334 0.478395
Moved 3453.199 631.6486 574 0.6288162 0.478395
Moved 3453.23 633.0291 574 0.6320117 0.478395
Moved 3453.26 635.5 574 0.6377314 0.478395
Ended 3453.291 637 574 0.6412038 0.478395
Accept 3453.353 0 want
Candidates 3453.353 13 to top too trip grip rip rio rp tip rep tripp ep trio
Began 3454.735 432 465 0.1666667 0.1980452
Stationary 3454.765 432 465 0.1666667 0.1980452
Stationary 3454.796 432 465 0.1666667 0.1980452
Stationary 3454.827 432 465 0.1666667 0.1980452
Moved 3454.857 446.7638 469.3911 0.2008421 0.2093391
Moved 3454.888 465.7664 474.3952 0.2448297 0.2222098
Moved 3454.919 484.0604 476 0.2871768 0.2263374
Moved 3454.949 497.0927 478 0.3173441 0.2314814
Moved 3454.98 511.875 479 0.3515624 0.2340534
Moved 3455.011 521.4985 481.1246 0.3738391 0.2395181
Moved 3455.042 527.7533 481.8766 0.3883178 0.2414522
Moved 3455.072 534.9086 484.3029 0.404881 0.2476925
Moved 3455.103 544.2023 490.1349 0.4263942 0.2626925
Moved 3455.134 554.4821 499.4821 0.4501901 0.2867338
Moved 3455.165 564 508.5 0.4722223 0.3099279
Moved 3455.195 571.9645 516.9645 0.4906587 0.3316988
Moved 3455.226 581.937 526.937 0.513743 0.357348
Moved 3455.257 590.4818 537.4818 0.5335226 0.3844696
Moved 3455.287 597.8933 548.8577 0.5506789 0.4137286
Moved 3455.318 603.4157 560.8314 0.5634623 0.444525
Moved 3455.349 608.9271 570.8541 0.5762201 0.4703036
Moved 3455.379 613.4311 580.8622 0.586646 0.4960448
Moved 3455.41 615.6398 591.1989 0.5917587 0.5226307
Moved 3455.441 618.4026 601.6103 0.5981541 0.5494092
Moved 3455.471 618 607.3378 0.5972223 0.5641404
Moved 3455.502 618 610.9316 0.5972223 0.5733836
Moved 3455.533 618 614.4019 0.5972223 0.5823094
Moved 3455.564 618 617.1565 0.5972223 0.5893942
Moved 3455.594 606.2275 619.9241 0.5699711 0.5965126
Moved 3455.625 594.5 622.5 0.542824 0.6031378
Moved 3455.656 581.6346 623 0.5130432 0.6044238
Moved 3455.687 567.5875 623 0.4805267 0.6044238
Moved 3455.717 557.4052 623 0.4569563 0.6044238
Moved 3455.748 548.9039 623 0.4372775 0.6044238
Moved 3455.779 539.5807 614.3871 0.415696 0.5822713
