the back yard of our house
the back yard of our house
FixStart
Radial

0.6 0.6
432 388.8
Began 234.2179 363 297 0.006944438 -0.2340535
Stationary 234.2487 363 297 0.006944438 -0.2340535
Moved 234.2794 334.4121 335.3131 -0.05923118 -0.1355115
Moved 234.3102 320.0358 364.202 -0.09250964 -0.06120901
Moved 234.3408 314.8257 386.7844 -0.1045702 -0.003126678
Moved 234.3715 315 401.1939 -0.1041667 0.03393495
Moved 234.4023 315 406.0223 -0.1041667 0.04635371
Moved 234.433 335.8646 407 -0.05586898 0.04886827
Moved 234.4638 366.3787 367.7077 0.01476546 -0.05219212
Moved 234.4945 389.5007 333.0703 0.06828874 -0.1412801
Moved 234.5252 397.1637 318.7545 0.08602718 -0.1781007
Moved 234.5559 399.5 311.5 0.09143522 -0.1967593
Moved 234.5866 400 310 0.09259263 -0.2006174
Moved 234.6173 382.8815 321.7267 0.05296647 -0.170456
Moved 234.6481 351.5297 353.4703 -0.0196071 -0.08881109
Moved 234.6788 326.753 378.247 -0.07696062 -0.02508493
Moved 234.7095 302.0218 404.7255 -0.1342087 0.04301809
Moved 234.7402 282.714 426.7555 -0.1789029 0.09967968
Moved 234.771 272.4029 442.9951 -0.202771 0.1414483
Moved 234.8017 267.4144 450.7569 -0.2143186 0.1614117
Ended 234.8324 264 456.5 -0.2222222 0.1761831
Candidates 234.9246 13 the there they where re r t he e further she free threw
Began 235.3854 206 368 -0.3564815 -0.05144041
Moved 235.4162 213.6172 368 -0.3388492 -0.05144041
Moved 235.4468 253.481 368 -0.2465717 -0.05144041
Moved 235.4776 329.6492 368 -0.07025654 -0.05144041
Moved 235.5083 379.2764 380.5518 0.04462123 -0.01915684
Moved 235.5391 410.2248 383 0.1162611 -0.01286016
Ended 235.5697 423 383 0.1458333 -0.01286016
Accept 235.6312 0 the
Began 235.7541 326 421 -0.07870371 0.08487643
Stationary 235.7848 326 421 -0.07870371 0.08487643
Moved 235.8156 337.3965 385.9407 -0.0523228 -0.005296699
Moved 235.8463 352.9391 339.1949 -0.01634464 -0.1255276
Moved 235.877 359.8948 311.4207 -0.0002434353 -0.1969633
Moved 235.9077 361 288.2255 0.002314846 -0.2566217
Moved 235.9384 361 278.3402 0.002314846 -0.2820468
Moved 235.9691 350.3504 273.4501 -0.02233694 -0.2946242
Moved 235.9999 326.9255 283.2728 -0.07656132 -0.2693601
Moved 236.0306 295.2138 314.7861 -0.149968 -0.1883073
Moved 236.0613 261.3767 345.8735 -0.2282946 -0.10835
Moved 236.0921 237.033 367.8703 -0.2846458 -0.051774
Moved 236.1228 214.9169 386.5728 -0.3358406 -0.003670939
Moved 236.1535 196.4007 401.1423 -0.378702 0.03380226
Moved 236.1842 185.1814 409.9093 -0.4046728 0.05635096
Moved 236.215 177.5 413.5 -0.4224537 0.06558634
Moved 236.2457 174.9346 416.0654 -0.4283921 0.07218455
Stationary 236.2764 175 416 -0.4282407 0.07201634
Moved 236.3071 199.6993 375.6376 -0.3710663 -0.03179644
Moved 236.3378 226.6195 330.6088 -0.3087511 -0.1476113
Moved 236.3686 252.3772 296.2786 -0.2491269 -0.235909
Moved 236.3993 265.5461 281.4539 -0.2186433 -0.2740383
Moved 236.43 279.6887 278 -0.1859058 -0.2829219
Moved 236.4607 306.2241 285.7401 -0.1244813 -0.2630141
Moved 236.4915 342.3347 315.6201 -0.04089202 -0.1861625
Moved 236.5222 374.5804 345.6185 0.03375083 -0.1090061
Moved 236.5529 399.5132 366.824 0.09146572 -0.05446493
Moved 236.5836 419.5424 384.4822 0.1378298 -0.009047897
Moved 236.6143 434.1476 400.1476 0.171638 0.0312437
Moved 236.6451 442.5439 408.5439 0.1910739 0.05283925
Moved 236.6758 450.7059 414.4706 0.2099674 0.06808285
Moved 236.7065 457.299 420.2991 0.2252293 0.08307366
Ended 236.7372 464.1076 426.7384 0.2409898 0.09963573
Candidates 236.7987 13 back bank nacl ball jack neck lack basal call nazi mall naval black
Began 237.1981 213 402 -0.3402778 0.03600815
Moved 237.2288 242.3388 402 -0.2723639 0.03600815
Moved 237.2596 296.9751 402 -0.145891 0.03600815
Moved 237.2903 353.8829 413.7402 -0.01415993 0.06620403
Moved 237.321 386.3223 411 0.06093115 0.05915629
Moved 237.3517 407.4859 411 0.1099211 0.05915629
Ended 237.3824 410 411 0.1157407 0.05915629
Accept 237.4439 0 back
Began 237.5361 363 315 0.006944438 -0.1877573
Stationary 237.5668 363 315 0.006944438 -0.1877573
Moved 237.5975 358.7838 323.4323 -0.002815177 -0.1660692
Moved 237.6283 349.511 352.2005 -0.0242801 -0.0920769
Moved 237.659 343.3303 398.0452 -0.0385872 0.02583649
Moved 237.6897 343 427.5348 -0.03935183 0.101684
Moved 237.7204 342 440.346 -0.04166668 0.1346347
Moved 237.7511 340 446.6365 -0.04629632 0.1508141
Moved 237.7819 337.7565 449.2435 -0.05148967 0.1575193
Moved 237.8126 332.0905 449 -0.06460543 0.156893
Moved 237.8433 312.4267 437.1806 -0.1101234 0.1264932
Moved 237.874 279.2889 411.4144 -0.1868313 0.0602221
Moved 237.9048 242.9206 377.7072 -0.2710171 -0.02647329
Moved 237.9355 220.4641 356.4641 -0.3229997 -0.08111082
Moved 237.9662 204.8434 340.8433 -0.3591589 -0.1212878
Moved 237.9969 197.7127 334.7127 -0.375665 -0.1370558
Moved 238.0276 194.6349 332.6349 -0.3827896 -0.1424001
Moved 238.0583 194 333 -0.3842593 -0.141461
Stationary 238.0891 194 333 -0.3842593 -0.141461
Moved 238.1198 222.8342 372.0366 -0.3175135 -0.04105807
Moved 238.1505 268.6305 417.6305 -0.2115035 0.07621007
Moved 238.1812 305.4279 454.7852 -0.1263242 0.1717724
Moved 238.212 322.8371 470.8371 -0.08602525 0.2130583
Moved 238.2427 327.7947 473.7947 -0.07454922 0.2206654
Moved 238.2734 330.5 475 -0.06828706 0.2237653
Moved 238.3042 331 475 -0.06712963 0.2237653
Moved 238.3348 310.7475 376.4406 -0.1140104 -0.02973093
Moved 238.3656 296.5369 327.2451 -0.1469053 -0.1562627
Moved 238.3963 290.8338 304.3353 -0.1601069 -0.2151871
Moved 238.427 286.4166 289.8333 -0.1703319 -0.2524865
Moved 238.4577 283.8747 281.6242 -0.1762159 -0.2736003
Moved 238.4885 283 279.1165 -0.1782407 -0.2800503
Ended 238.5192 283 279 -0.1782407 -0.2803498
Candidates 238.6114 13 yard rates rated tests treated rats yards hearts tears treats tested earth rewards
Began 239.0415 200 378 -0.3703704 -0.02572024
Stationary 239.0722 200 378 -0.3703704 -0.02572024
Moved 239.103 248.6133 378 -0.2578395 -0.02572024
Moved 239.1337 317.6732 378 -0.09797871 -0.02572024
Moved 239.1644 352.3235 386.9387 -0.01776968 -0.002729746
Moved 239.1951 380.7406 386 0.04801065 -0.005144111
Ended 239.2259 393 386 0.07638891 -0.005144111
Accept 239.2873 0 yard
Began 239.4102 276 297 -0.1944444 -0.2340535
Stationary 239.4409 276 297 -0.1944444 -0.2340535
Moved 239.4716 310.2889 340.5922 -0.115072 -0.1219338
Moved 239.5024 355.5145 394.1321 -0.01038303 0.01577197
