if you were not so stupid
if you were not so stupid
Basic
Radial

0.6 0.6
432 388.8
Began 2399.153 554 554 0.4490741 0.4269547
Moved 2399.183 538.6454 542.833 0.413531 0.398233
Moved 2399.214 512.9619 517.9619 0.3540785 0.3342641
Moved 2399.245 496.3515 504.4812 0.3156285 0.2995915
Moved 2399.276 481.0934 492.7446 0.2803089 0.2694046
Moved 2399.306 460.3341 474.8578 0.2322548 0.2233996
Moved 2399.337 440.2533 459.0381 0.1857715 0.182711
Moved 2399.368 430.0973 449.0973 0.1622622 0.1571432
Moved 2399.398 416.6904 438.6904 0.1312277 0.1303764
Moved 2399.429 404.2187 429.9141 0.1023582 0.1078036
Moved 2399.46 394.2961 423.864 0.07938901 0.09224279
Moved 2399.49 386.6909 419.7939 0.06178448 0.08177443
Moved 2399.521 378.0853 416.0284 0.04186402 0.07208954
Moved 2399.552 363.1725 411 0.00734369 0.05915629
Moved 2399.583 359.5 408 -0.001157423 0.05144025
Moved 2399.614 348.1211 403.5605 -0.02749756 0.04002198
Moved 2399.644 339.8091 398.9045 -0.04673819 0.02804658
Moved 2399.675 330.093 394.031 -0.06922921 0.01551173
Moved 2399.706 323.9608 389.9608 -0.0834242 0.005043053
Moved 2399.736 319.604 386.604 -0.09350925 -0.003590564
Ended 2399.767 319 386 -0.09490739 -0.005144111
Candidates 2399.89 13 of off if pg pd oh pig ps oops odd ph log ooh
Began 2400.75 387 371 0.06250004 -0.04372435
Moved 2400.781 376.3726 388.348 0.03789951 0.000894884
Moved 2400.812 357.8017 415.2974 -0.005088597 0.07020938
Moved 2400.842 338.9762 445.373 -0.0486662 0.1475642
Ended 2400.873 332 456 -0.06481484 0.174897
Accept 2400.935 2 if
Began 2401.242 330 503 -0.06944443 0.2957818
Stationary 2401.273 330 503 -0.06944443 0.2957818
Stationary 2401.303 330 503 -0.06944443 0.2957818
Moved 2401.334 351.3184 516.591 -0.0200964 0.3307381
Moved 2401.365 370.3841 523.7536 0.02403716 0.3491604
Moved 2401.396 397.7509 532.2503 0.08738627 0.371014
Moved 2401.426 433.9936 537.3625 0.1712814 0.3841627
Moved 2401.457 463.5022 538 0.2395885 0.3858024
Moved 2401.488 485.6317 538 0.290814 0.3858024
Moved 2401.518 500.8933 538 0.326142 0.3858024
Moved 2401.549 511.0027 538 0.3495433 0.3858024
Moved 2401.58 519.5074 538 0.3692302 0.3858024
Moved 2401.611 526.4195 538 0.3852303 0.3858024
Moved 2401.641 529.5817 538 0.3925503 0.3858024
Moved 2401.672 531.4536 531 0.3968834 0.3677982
Moved 2401.703 532.0014 531 0.3981514 0.3677982
Moved 2401.733 532 530 0.3981481 0.3652262
Moved 2401.764 516.2919 525.5093 0.3617869 0.3536762
Moved 2401.795 489.6161 518.2054 0.3000374 0.3348903
Moved 2401.826 438.7669 507.5813 0.1823308 0.307565
Moved 2401.856 401.8742 497.972 0.09693106 0.2828498
Moved 2401.887 384.45 494.1125 0.0565972 0.2729229
Moved 2401.918 378.0891 493 0.04187306 0.2700616
Ended 2401.948 377 493 0.03935188 0.2700616
Candidates 2402.071 13 you toy root your roy report tour i error type u rope reply
Began 2402.901 298 452 -0.1435185 0.164609
Moved 2402.932 323.2926 446.0865 -0.08497084 0.1493995
Moved 2402.962 387.1653 452.9091 0.0628827 0.1669473
Ended 2402.993 397 456 0.0856481 0.174897
Accept 2403.054 0 you
Began 2403.884 190 467 -0.3935185 0.2031892
Stationary 2403.915 190 467 -0.3935185 0.2031892
Stationary 2403.946 190 467 -0.3935185 0.2031892
Moved 2403.976 208.9232 467 -0.3497147 0.2031892
Moved 2404.007 223.0652 475.7329 -0.3169788 0.2256504
Moved 2404.038 242.4091 483.4697 -0.2722011 0.2455497
Moved 2404.068 257.4391 489.2195 -0.2374095 0.2603383
Moved 2404.099 268.9335 492.4834 -0.2108021 0.268733
Moved 2404.13 273.0298 493 -0.2013198 0.2700616
Moved 2404.161 276.9036 494 -0.1923529 0.2726337
Moved 2404.191 277.5 494 -0.1909722 0.2726337
Moved 2404.222 277 494 -0.1921296 0.2726337
Moved 2404.253 269.5854 494 -0.209293 0.2726337
Moved 2404.283 264.9468 494 -0.2200305 0.2726337
Moved 2404.314 260.0844 494 -0.231286 0.2726337
Moved 2404.345 255.5083 495 -0.241879 0.2752057
Moved 2404.376 252.6332 495 -0.2485342 0.2752057
Moved 2404.406 249.7611 496 -0.2551827 0.2777777
Moved 2404.437 245.3389 496 -0.2654192 0.2777777
Moved 2404.468 239.7023 496 -0.2784668 0.2777777
Moved 2404.499 236.4791 496 -0.285928 0.2777777
Moved 2404.529 234.8041 496 -0.2898053 0.2777777
Moved 2404.56 233.6838 496 -0.2923987 0.2777777
Stationary 2404.591 233.6838 496 -0.2923987 0.2777777
Moved 2404.621 232.813 496 -0.2944143 0.2777777
Moved 2404.652 233 497.02 -0.2939815 0.2804012
Moved 2404.683 233 498.094 -0.2939815 0.2831635
Stationary 2404.714 233 498.094 -0.2939815 0.2831635
Stationary 2404.744 233 498.094 -0.2939815 0.2831635
Moved 2404.775 233 499.1497 -0.2939815 0.2858788
Moved 2404.806 232 499 -0.2962963 0.2854938
Moved 2404.836 232 500.5 -0.2962963 0.2893518
Stationary 2404.867 232 500.5 -0.2962963 0.2893518
Stationary 2404.898 232 500.5 -0.2962963 0.2893518
Stationary 2404.929 232 500.5 -0.2962963 0.2893518
Moved 2404.959 232 501.0726 -0.2962963 0.2908245
Stationary 2404.99 232 501.0726 -0.2962963 0.2908245
Stationary 2405.021 232 501 -0.2962963 0.2906378
Stationary 2405.052 232 501 -0.2962963 0.2906378
Stationary 2405.082 232 501 -0.2962963 0.2906378
Stationary 2405.113 232 501 -0.2962963 0.2906378
Moved 2405.144 232 503 -0.2962963 0.2957818
Moved 2405.175 232 505.5 -0.2962963 0.3022119
Moved 2405.205 241.5 506 -0.2743055 0.3034978
Moved 2405.236 245.1079 507 -0.265954 0.3060699
Moved 2405.267 247.9795 508 -0.2593067 0.3086419
Moved 2405.297 250.8549 508 -0.2526506 0.3086419
Ended 2405.328 254.553 509.2765 -0.2440903 0.3119251
Candidates 2405.482 13 are were see we e art set se few wee re areas ser
Began 2406.25 316 474 -0.1018519 0.2211934
Stationary 2406.281 316 474 -0.1018519 0.2211934
Moved 2406.311 340.5297 499.7405 -0.0450702 0.2873983
Moved 2406.342 391.9297 553.9297 0.07391135 0.4267737
Ended 2406.373 435 592.5 0.1736111 0.5259773
Accept 2406.434 1 were
Began 2406.864 372 409 0.02777775 0.05401234
Moved 2406.895 372 397.0606 0.02777775 0.02330399
Moved 2406.926 384.793 380.4141 0.05739113 -0.01951123
Moved 2406.956 389.1363 373.7274 0.06744523 -0.03670955
Moved 2406.987 393.0335 374 0.0764665 -0.03600823
Moved 2407.018 408.3006 396.6013 0.111807 0.0221225
Moved 2407.049 429.0014 438.8604 0.1597254 0.1308136
Moved 2407.079 442.7588 480.3727 0.1915712 0.2375841
