he is still on our team
he is still on our team
FixStart
Radial

0.6 0.6
432 388.8
Moved 647.8495 222.6535 507.6931 -0.3179317 0.3078524
Moved 647.8802 220.0023 510.9953 -0.3240687 0.3163458
Moved 647.911 219 513.5 -0.3263889 0.3227879
Moved 647.9417 218 518.192 -0.3287037 0.3348558
Moved 647.9724 227.1336 523.9144 -0.307561 0.3495741
Moved 648.0031 239.6479 531.7653 -0.2785929 0.3697665
Moved 648.0339 256.5 544 -0.2395834 0.4012345
Moved 648.0646 272.2184 556.2184 -0.203198 0.4326605
Moved 648.0953 287.8304 567.3728 -0.1670593 0.4613497
Moved 648.126 312.7266 585.0096 -0.1094291 0.5067118
Moved 648.1567 333.8206 597.6118 -0.06060034 0.539125
Moved 648.1875 349.7332 602.9111 -0.02376571 0.5527547
Moved 648.2183 362.8493 608.2831 0.006595651 0.5665716
Moved 648.249 375.2166 611 0.03522376 0.5735595
Moved 648.2797 385.8953 612 0.0599427 0.5761316
Moved 648.3104 400.2296 612 0.09312421 0.5761316
Moved 648.3411 411.4347 612 0.1190618 0.5761316
Moved 648.3719 426.6756 612 0.1543415 0.5761316
Moved 648.4026 441.36 615.4534 0.1883334 0.5850137
Moved 648.4333 450.3268 619.7756 0.2090897 0.5961305
Moved 648.4641 457.0287 622.0096 0.2246036 0.6018764
Moved 648.4948 461.5692 623 0.2351139 0.6044238
Moved 648.5255 463.057 624.057 0.2385579 0.6071424
Moved 648.5562 464 624 0.2407408 0.6069958
Moved 648.5866 465.9665 624 0.2452928 0.6069958
Moved 648.6177 468.5 613.5 0.2511574 0.5799896
Moved 648.6484 473.1265 608.8103 0.2618668 0.5679277
Moved 648.6791 479.2442 599.1337 0.2760282 0.5430393
Moved 648.7098 484.8169 591.2747 0.2889279 0.5228258
Moved 648.7405 489.8505 585.1495 0.3005798 0.5070717
Moved 648.7713 494.9709 577.0437 0.3124326 0.4862234
Moved 648.8021 498.5 569.5 0.3206019 0.4668209
Moved 648.8328 501.828 564.516 0.3283055 0.4540019
Moved 648.8635 504.3256 557.0233 0.3340869 0.4347306
Moved 648.8942 507.8836 547.4656 0.3423232 0.410148
Moved 648.9249 511.8731 537.2538 0.3515581 0.3838831
Moved 648.9557 513.7682 526.9272 0.3559448 0.3573229
Moved 648.9864 517.2502 516.9994 0.3640051 0.3317885
Moved 649.0171 520.8009 505.5973 0.3722243 0.3024621
