healthy food is good for you
healthy food is good for you
FixStart
Radial

0.6 0.6
432 388.8
Moved 119.3678 324.1722 405.8576 -0.08293474 0.04593001
Moved 119.3985 265.3307 371.2455 -0.2191419 -0.04309281
Moved 119.4292 212.1916 345.0958 -0.342149 -0.1103503
Moved 119.4599 184.5554 329.324 -0.4061217 -0.1509158
Moved 119.4906 164.2714 316.298 -0.4530754 -0.1844188
Moved 119.5214 153.8034 310.2022 -0.4773071 -0.2000972
Moved 119.5521 149.8786 309 -0.4863922 -0.2031893
Moved 119.5828 147.5 309 -0.4918982 -0.2031893
Moved 119.6135 147 309 -0.4930556 -0.2031893
Ended 119.6443 147 309 -0.4930556 -0.2031893
Candidates 119.7057 13 is id his us goods god if good food odds gods its of
Began 120.1973 173 356 -0.4328704 -0.0823046
Moved 120.2279 191.9381 356 -0.3890321 -0.0823046
Moved 120.2587 243.4635 356 -0.2697605 -0.0823046
Moved 120.2894 313.6417 368.5283 -0.107311 -0.05008155
Moved 120.3201 345.4393 374.5366 -0.03370523 -0.03462803
Ended 120.3508 357 375.5 -0.006944438 -0.03215028
Accept 120.4123 0 is
Began 120.5044 310 327 -0.1157407 -0.1568931
Stationary 120.5352 310 327 -0.1157407 -0.1568931
Stationary 120.5659 310 327 -0.1157407 -0.1568931
Stationary 120.5966 310 327 -0.1157407 -0.1568931
Stationary 120.6273 310 327 -0.1157407 -0.1568931
Moved 120.658 304.1459 327 -0.1292918 -0.1568931
Moved 120.6887 296.2604 327 -0.1475453 -0.1568931
Moved 120.7195 293.9226 327 -0.152957 -0.1568931
Moved 120.7502 292.554 327 -0.1561249 -0.1568931
Moved 120.7809 289.7774 327 -0.1625524 -0.1568931
Moved 120.8116 286.0559 327 -0.1711669 -0.1568931
Moved 120.8424 283.3322 327 -0.1774718 -0.1568931
Moved 120.8731 280.9513 327 -0.1829831 -0.1568931
Moved 120.9038 279.6458 327 -0.1860052 -0.1568931
Moved 120.9345 278.9322 327 -0.187657 -0.1568931
Stationary 120.9652 279 327 -0.1875 -0.1568931
Moved 120.996 279 331.6199 -0.1875 -0.1450107
Moved 121.0267 291.4228 339.1409 -0.1587435 -0.1256664
Moved 121.0574 302.6075 347.3038 -0.1328529 -0.1046714
Moved 121.0881 314.5 355.5 -0.1053241 -0.08359061
Moved 121.1189 360.8164 393.1284 0.001889865 0.01319014
Moved 121.1496 404.5653 435.5653 0.1031604 0.1223387
Moved 121.1803 423.3883 453.3884 0.1467322 0.1681799
Moved 121.211 430.0805 459.0806 0.1622235 0.1828203
Moved 121.2417 433.7829 462.7829 0.1707937 0.1923428
Moved 121.2724 435.1292 464.1292 0.1739101 0.1958053
Stationary 121.3032 435 464 0.1736111 0.1954732
Moved 121.3339 407.634 440.1799 0.1102639 0.1342074
Moved 121.3646 348.0112 392.8268 -0.02775187 0.01241468
Moved 121.3953 306.9862 366.3242 -0.1227171 -0.0557507
Moved 121.426 277.1299 349.1617 -0.191829 -0.09989263
Moved 121.4568 254.0232 338.0116 -0.2453167 -0.1285711
Moved 121.4875 230.6673 328.3336 -0.2993813 -0.153463
Moved 121.5182 216.4199 323.355 -0.3323614 -0.1662681
Moved 121.5489 206.9034 320.6345 -0.3543902 -0.1732654
Moved 121.5796 202.1974 320 -0.3652838 -0.1748972
Moved 121.6104 198.5 319 -0.3738426 -0.1774692
Ended 121.6411 198 319 -0.375 -0.1774692
Candidates 121.7332 13 good goods foods if god of odds food off is his gods odd
Began 122.2555 180 391 -0.4166667 0.007715971
Stationary 122.2862 180 391 -0.4166667 0.007715971
Moved 122.3169 219.9624 391 -0.3241611 0.007715971
Moved 122.3476 320.8871 408.6752 -0.09053911 0.05317696
Moved 122.3784 364.9987 423.1998 0.01157115 0.0905343
Moved 122.4091 385.2717 427.3245 0.05849928 0.1011432
Ended 122.4398 393.5 428.5 0.07754634 0.1041665
Accept 122.5013 0 good
Began 122.5934 290 298 -0.162037 -0.2314816
Stationary 122.6242 290 298 -0.162037 -0.2314816
Stationary 122.6549 290 298 -0.162037 -0.2314816
Moved 122.6853 276.7539 298 -0.1926993 -0.2314816
Moved 122.7163 270.9023 290.2256 -0.2062447 -0.2514774
Moved 122.747 260.7216 286.5739 -0.229811 -0.2608697
Moved 122.7777 252.6947 283.8474 -0.2483919 -0.2678824
Moved 122.8084 248.1238 284 -0.2589727 -0.2674897
Moved 122.8392 246.7628 284 -0.2621231 -0.2674897
Moved 122.8699 244.9825 284 -0.2662441 -0.2674897
Moved 122.9006 245 292.7475 -0.2662037 -0.2449911
Moved 122.9313 245 297.9153 -0.2662037 -0.2316992
Moved 122.962 265.516 312.9612 -0.218713 -0.1930011
Moved 122.9928 293.1721 334.4481 -0.1546941 -0.1377363
Moved 123.0235 317.6744 349.4858 -0.09797584 -0.09905928
Moved 123.0542 351.3381 371.2325 -0.02005061 -0.04312633
Moved 123.0849 396.9 406.5579 0.08541653 0.04773105
Moved 123.1156 419.6207 424.2605 0.1380108 0.09326252
Moved 123.1463 434.6169 439.5212 0.1727243 0.1325133
Moved 123.1771 442 450 0.1898148 0.1594649
Moved 123.2078 445.0299 454.0598 0.1968284 0.1699069
Moved 123.2385 445 456.7505 0.1967593 0.1768275
Moved 123.2693 445 457.5 0.1967593 0.1787551
Moved 123.3 434.3653 457 0.172142 0.1774691
Moved 123.3307 393.229 442.7324 0.0769189 0.1407726
Moved 123.3614 324.9565 430.851 -0.08111908 0.1102133
Moved 123.3921 275.7808 424.9854 -0.1949518 0.09512705
Moved 123.4229 248.7375 422.6738 -0.2575521 0.08918142
Moved 123.4536 223.1005 422 -0.316897 0.08744851
Moved 123.4843 208.5135 422 -0.3506633 0.08744851
Moved 123.515 204 422 -0.3611111 0.08744851
Ended 123.5457 202.5 432.5 -0.3645833 0.1144546
Candidates 123.6072 13 for or fort it door fit got fire foot hope diet per your
Began 124.0066 163 386 -0.4560185 -0.005144111
Stationary 124.0373 163 386 -0.4560185 -0.005144111
Moved 124.068 214.5236 386 -0.3367509 -0.005144111
Moved 124.0987 319.1459 408.1949 -0.09456973 0.05194169
Moved 124.1294 384.7877 420.6969 0.05737901 0.08409692
Moved 124.1601 402.6034 423 0.09861896 0.09002049
Ended 124.1909 406.0107 423 0.1065062 0.09002049
Accept 124.2523 0 for
Began 124.406 272 276 -0.2037037 -0.288066
Moved 124.4367 269.332 287.9057 -0.2098796 -0.2574443
Moved 124.4674 259.7759 314.1206 -0.2320003 -0.1900191
Moved 124.4981 275.0019 376.879 -0.1967549 -0.02860332
Moved 124.5288 284.6226 393.7815 -0.1744848 0.01487006
Moved 124.5595 305.6112 417.6113 -0.1258999 0.07616062
Moved 124.5903 325.3922 431.6961 -0.08011068 0.112387
Moved 124.621 348.3681 438.0368 -0.0269257 0.1286954
Moved 124.6517 376.7643 440 0.0388063 0.1337448
Moved 124.6824 398.484 440 0.0890834 0.1337448
Moved 124.7131 414.0517 429.5793 0.1251198 0.1069425
Moved 124.7439 422.2584 424.7416 0.1441166 0.09450001
Moved 124.7746 428.7052 414.5897 0.1590397 0.06838896
Moved 124.8053 429 410.799 0.1597223 0.05863943
Moved 124.836 419.4843 403.6211 0.1376953 0.04017767
Moved 124.8667 387.1979 398.8132 0.0629582 0.02781161
Moved 124.8975 356.8804 399 -0.007221351 0.02829214
Moved 124.9282 339.4603 399 -0.04754563 0.02829214
Moved 124.9588 332.2828 399 -0.06416023 0.02829214
Ended 124.9896 330.5 407.5 -0.06828706 0.05015428
Candidates 125.0818 13 you your toy root to roy too it got tour yo throughout iii
Began 125.4811 189 404 -0.3958333 0.04115226
Moved 125.5119 222.2507 404 -0.3188641 0.04115226
Moved 125.5426 287.6561 411.5325 -0.1674627 0.06052594
Moved 125.5733 336.0702 416.707 -0.05539308 0.07383487
Moved 125.604 348.6134 417 -0.02635792 0.0745884
Ended 125.6347 372 417 0.02777775 0.0745884
Accept 125.7883 0 you
Began 125.8498 174 392 -0.4305556 0.01028803
Moved 125.8805 178.7646 392 -0.4195263 0.01028803
Moved 125.9112 219.4448 404.0264 -0.3253593 0.04122
Moved 125.9419 288.0429 420.5484 -0.1665673 0.08371498
Moved 125.9726 349.1325 435.1309 -0.02515624 0.1212214
Moved 126.0034 396.3304 444.0441 0.08409818 0.1441462
Moved 126.0341 435.1711 447.7448 0.1740072 0.1536644
Moved 126.0649 464.7132 449.4713 0.2423917 0.1581052
Moved 126.0956 484.3249 450.8875 0.2877891 0.1617477
Ended 126.1263 491.2354 451 0.3037856 0.162037
PhraseEnd 126.1877
