if you were not so stupid
if you were not so stupid
Basic
Radial

0.6 0.6
432 388.8
Began 511.7791 547 468 0.4328704 0.2057612
Stationary 511.8098 547 468 0.4328704 0.2057612
Stationary 511.8406 547 468 0.4328704 0.2057612
Moved 511.8713 547 480 0.4328704 0.2366254
Moved 511.902 537.905 487.5986 0.411817 0.2561691
Moved 511.9327 535.658 493.342 0.4066158 0.2709413
Moved 511.9634 531.955 498.09 0.398044 0.2831531
Moved 511.9942 528.4507 501.5493 0.3899321 0.2920506
Moved 512.025 525.5768 503 0.3832796 0.2957818
Moved 512.0557 523.5 505.5 0.3784722 0.3022119
Moved 512.0864 521.9174 506 0.3748087 0.3034978
Moved 512.1171 521 507 0.3726852 0.3060699
Moved 512.1478 518.5 508 0.3668982 0.3086419
Moved 512.1786 516.543 509 0.362368 0.3112139
Moved 512.2092 514.0184 509.9816 0.3565242 0.3137386
Moved 512.24 508.4616 511.8461 0.3436612 0.3185342
Moved 512.2707 499.1 514.725 0.3219908 0.3259386
Moved 512.3014 491.1988 517 0.303701 0.33179
Moved 512.3322 484.4877 519.1708 0.288166 0.3373733
Moved 512.3629 478.9102 520 0.2752552 0.3395061
Moved 512.3936 476.0875 520.9125 0.2687211 0.3418532
Moved 512.4244 473.5 521 0.2627315 0.3420781
Moved 512.4551 471.8354 521 0.2588782 0.3420781
Moved 512.4858 469.5 521 0.2534722 0.3420781
Moved 512.5165 466.9317 521 0.2475271 0.3420781
Moved 512.5472 452.8075 514.0767 0.2148322 0.3242714
Moved 512.5779 421.6625 488.9968 0.1427372 0.2597654
Moved 512.6087 385.5371 457.761 0.0591137 0.1794264
Moved 512.6395 349.7202 426.9031 -0.02379571 0.1000593
Moved 512.6702 322.154 401.154 -0.0876065 0.0338322
Moved 512.7009 305.4529 386.9623 -0.1262664 -0.002668914
Moved 512.7316 294.8415 377.8415 -0.1508298 -0.02612793
Moved 512.7623 287.1458 373.0729 -0.1686441 -0.03839281
Moved 512.793 282.2249 369.225 -0.1800348 -0.04828975
Moved 512.8238 279.5831 367.7916 -0.1861502 -0.05197651
Moved 512.8545 277.9205 366.9205 -0.1899989 -0.05421697
Moved 512.8852 275.9614 364.9614 -0.1945338 -0.05925582
Ended 512.916 276 365 -0.1944444 -0.05915646
Candidates 513.0081 13 of if ps off los pd kids odd loss id louis oops kid
Began 513.8684 388 336 0.06481478 -0.1337449
Moved 513.8992 388 345.7237 0.06481478 -0.1087354
Moved 513.9299 401.7293 368.4045 0.09659569 -0.05039992
Moved 513.9606 414.5 392 0.1261574 0.01028803
Moved 513.9913 436.1007 424.5012 0.176159 0.0938815
Moved 514.022 452.1043 445.3251 0.2132043 0.1474411
Moved 514.0528 466.5362 464.6255 0.2466115 0.1970821
Moved 514.0835 478.9829 479.3864 0.2754234 0.2350471
Ended 514.1143 486.1583 486.1583 0.2920332 0.2524648
Accept 514.1757 1 if
Began 514.6365 365 478 0.01157403 0.2314814
Stationary 514.6673 365 478 0.01157403 0.2314814
Stationary 514.698 365 478 0.01157403 0.2314814
Stationary 514.7287 365 478 0.01157403 0.2314814
Stationary 514.7594 365 478 0.01157403 0.2314814
Moved 514.7902 374.1123 478 0.03266732 0.2314814
Moved 514.8209 376.783 478 0.03884951 0.2314814
Moved 514.8517 379.2223 478 0.04449596 0.2314814
Moved 514.8824 382.1534 478 0.05128095 0.2314814
Moved 514.9131 385.0395 478 0.05796184 0.2314814
Moved 514.9438 386.922 478 0.06231944 0.2314814
Moved 514.9745 390.986 478 0.07172693 0.2314814
Moved 515.0052 395.7307 478 0.08270989 0.2314814
Moved 515.036 405.9108 486.2277 0.106275 0.2526432
Moved 515.0667 417.1215 488.8243 0.1322256 0.2593216
Moved 515.0975 436.4941 492.642 0.1770696 0.2691409
Moved 515.1282 459.1033 495.5129 0.2294058 0.276525
Moved 515.1589 477.3185 497.3864 0.2715705 0.2813435
Moved 515.1896 491.4438 497 0.3042681 0.2803498
Moved 515.2203 505.0225 497 0.3357001 0.2803498
Moved 515.2511 514.8839 497 0.3585276 0.2803498
Moved 515.2818 523.4921 497 0.378454 0.2803498
Moved 515.3126 527.0409 497 0.3866687 0.2803498
Moved 515.3433 529.9149 497 0.3933214 0.2803498
Moved 515.374 531.3478 497 0.3966385 0.2803498
Moved 515.4047 533.2137 497 0.4009577 0.2803498
Moved 515.4354 534.3105 497 0.4034966 0.2803498
Stationary 515.4662 534 497 0.4027778 0.2803498
Moved 515.4969 524.8232 498.9177 0.3815353 0.285282
Moved 515.5276 510.0755 503.9749 0.347397 0.2982891
Moved 515.5583 492.4626 508.725 0.3066263 0.3105065
Moved 515.5891 479.8477 513.4609 0.2774253 0.3226874
Moved 515.6198 471.3526 516.8237 0.2577607 0.3313366
Moved 515.6505 463.7305 518.6348 0.2401169 0.3359947
Moved 515.6812 456.9851 520 0.2245027 0.3395061
Moved 515.712 452.6202 521 0.2143986 0.3420781
Moved 515.7426 448.1197 522 0.2039808 0.3446501
Ended 515.7734 446.6759 522 0.2006386 0.3446501
Candidates 515.8655 13 you i up toy to yo got tip roy u too go top
Began 516.7874 336 377 -0.05555556 -0.02829226
Stationary 516.8181 336 377 -0.05555556 -0.02829226
Stationary 516.8488 336 377 -0.05555556 -0.02829226
Moved 516.8795 361.8304 381.5347 0.004236996 -0.01662886
Moved 516.9102 393.1972 388.3997 0.07684529 0.001027849
Moved 516.941 423.8456 392.0704 0.1477906 0.01046915
Moved 516.9716 448.5445 395.8861 0.2049641 0.0202832
Moved 517.0024 464 398.5 0.2407408 0.02700609
Ended 517.0331 473 401 0.2615741 0.03343609
Accept 517.0946 0 you
Began 517.4019 344 418 -0.03703703 0.07716041
Stationary 517.4326 344 418 -0.03703703 0.07716041
Moved 517.4634 319.8722 428.4767 -0.09288836 0.1041066
Moved 517.494 304 436.5 -0.1296296 0.1247428
Moved 517.5248 282.1175 451.0757 -0.1802836 0.1622318
Moved 517.5555 267.3529 462.3882 -0.2144608 0.1913277
Moved 517.5862 257.9634 470.0275 -0.2361958 0.2109759
Moved 517.6169 250.3583 477.6417 -0.2538002 0.2305598
Moved 517.6477 241.7294 485.2706 -0.2737746 0.2501815
Moved 517.6784 238.7063 489.5875 -0.2807725 0.2612846
Moved 517.7091 234.6629 493.3371 -0.2901322 0.2709287
Moved 517.7399 232.3225 498.355 -0.2955497 0.2838348
Moved 517.7706 229.457 503.0859 -0.3021828 0.2960028
Moved 517.8013 224.1726 511.6548 -0.3144152 0.318042
Moved 517.832 219.0961 515.9039 -0.3261666 0.3289709
Moved 517.8627 215.1674 520.6652 -0.3352607 0.341217
Moved 517.8935 213.2905 522.7095 -0.3396053 0.3464749
Moved 517.924 210.2526 525 -0.3466375 0.3523662
Moved 517.955 210 526.098 -0.3472222 0.3551903
Moved 517.9857 208.5 526 -0.3506944 0.3549381
Moved 518.0164 209 527.1335 -0.349537 0.3578535
Stationary 518.0471 209 527 -0.349537 0.3575102
