did you have a good time
did you have a good time
FixStart
Radial

0.6 0.6
432 388.8
Began 148.1843 346 300 -0.03240739 -0.2263375
Stationary 148.215 346 300 -0.03240739 -0.2263375
Moved 148.2457 325.3305 300 -0.08025348 -0.2263375
Moved 148.2764 291.8066 300 -0.157855 -0.2263375
Moved 148.3071 266.5518 300 -0.2163154 -0.2263375
Moved 148.3379 254.0055 300 -0.2453576 -0.2263375
Moved 148.3686 250 308.7603 -0.2546296 -0.2038059
Moved 148.3993 271 330 -0.2060186 -0.149177
Moved 148.43 380.48 423.7265 0.04740755 0.09188907
Moved 148.4607 409.0466 449.0466 0.1135338 0.1570129
Moved 148.4914 422.9396 460.4547 0.1456934 0.1863544
Moved 148.5222 428.858 463.929 0.1593935 0.1952906
Moved 148.5529 431 465 0.1643519 0.1980452
Stationary 148.5837 431 465 0.1643519 0.1980452
Moved 148.6144 361.7291 396.7291 0.004002551 0.02245138
Moved 148.6451 304.6649 339.3317 -0.1280905 -0.1251758
Moved 148.6758 264.8724 302.8724 -0.2202027 -0.2189496
Moved 148.7066 237.2522 279.4464 -0.2841384 -0.2792017
Moved 148.7372 222.2319 267.174 -0.3189076 -0.3107666
Moved 148.768 218.6232 266 -0.3272612 -0.3137861
Ended 148.7987 218.6232 266 -0.3272612 -0.3137861
Candidates 148.9523 13 did this us drugs asia suits is sites sports aids syria surf died
Began 149.3517 177 306 -0.4236111 -0.2109054
Moved 149.3825 242.4014 292.9331 -0.2722191 -0.2445136
Moved 149.4131 308.4333 291 -0.1193672 -0.2494857
Moved 149.4439 350.0399 288.16 -0.02305567 -0.2567901
Moved 149.4746 402.105 284 0.09746531 -0.2674897
Ended 149.5053 418 284 0.1342593 -0.2674897
Accept 149.5668 0 did
Began 149.6283 263 223 -0.2245371 -0.4243828
Moved 149.659 263 226.968 -0.2245371 -0.4141769
Moved 149.6897 251.5469 253.5103 -0.2510489 -0.3459099
Moved 149.7204 249 304.6137 -0.2569445 -0.2144709
Moved 149.7511 275.909 367.0825 -0.1946551 -0.05380034
Moved 149.7818 295.5031 393.5031 -0.1492984 0.01415406
Moved 149.8126 318.722 402.7444 -0.09555081 0.03792272
Moved 149.8433 351.6645 404 -0.01929521 0.04115226
Moved 149.8741 381.633 388.7363 0.05007634 0.001893652
Moved 149.9048 401.9328 378.5336 0.09706666 -0.02434789
Moved 149.9355 411.1603 372.8397 0.1184266 -0.03899248
