where did you get that tie
where did you get that tie
Basic
Radial

0.6 0.6
432 388.8
Began 1064.799 158 432 -0.4675925 0.1131687
Stationary 1064.83 158 432 -0.4675925 0.1131687
Stationary 1064.86 158 432 -0.4675925 0.1131687
Stationary 1064.891 158 432 -0.4675925 0.1131687
Stationary 1064.922 158 432 -0.4675925 0.1131687
Stationary 1064.952 158 432 -0.4675925 0.1131687
Stationary 1064.983 158 432 -0.4675925 0.1131687
Stationary 1065.014 158 432 -0.4675925 0.1131687
Moved 1065.044 170.2667 432 -0.4391974 0.1131687
Moved 1065.075 190.8524 412.337 -0.3915455 0.06259518
Moved 1065.106 223.5896 391.2052 -0.3157648 0.008243827
Moved 1065.137 254.153 372.4044 -0.2450163 -0.04011217
Moved 1065.167 276.7818 357.4104 -0.1926348 -0.07867703
Moved 1065.198 291.325 348.205 -0.15897 -0.1023533
Moved 1065.229 300.5105 344.1631 -0.1377072 -0.1127492
Moved 1065.26 307.9321 341 -0.1205275 -0.1208849
Moved 1065.29 316.1044 339 -0.1016103 -0.1260288
Moved 1065.321 326.5985 336.6003 -0.0773182 -0.1322008
Moved 1065.352 335.8936 335.0266 -0.05580197 -0.1362484
Moved 1065.382 349.1564 333.1687 -0.025101 -0.141027
Moved 1065.412 370.9013 332 0.02523462 -0.144033
Moved 1065.444 377.5 332 0.04050931 -0.144033
Moved 1065.474 385.3748 332 0.05873789 -0.144033
Moved 1065.505 389.9905 332 0.06942253 -0.144033
Moved 1065.536 391.374 332 0.07262488 -0.144033
Stationary 1065.567 391.374 332 0.07262488 -0.144033
Moved 1065.597 379.0063 346.7453 0.04399597 -0.1061078
Moved 1065.628 358.0472 358.5955 -0.004520416 -0.07562888
Moved 1065.659 321.2075 378.8833 -0.08979752 -0.02344838
Moved 1065.689 285.1019 403.7534 -0.1733753 0.04051785
Moved 1065.72 248.503 426.5338 -0.2580949 0.09910952
Moved 1065.751 233 436.5 -0.2939815 0.1247428
Moved 1065.781 217.943 446.5285 -0.3288356 0.1505362
Moved 1065.812 208.3559 454.0961 -0.351028 0.1700001
Moved 1065.843 203.5759 459.8481 -0.3620928 0.1847945
Moved 1065.874 202 463.5811 -0.3657407 0.1943956
Moved 1065.904 202 468.9369 -0.3657407 0.2081709
Moved 1065.935 221.8535 481.4268 -0.3197835 0.2402952
Moved 1065.966 258.8385 495.8903 -0.2341701 0.2774955
Moved 1065.996 294 504.5 -0.1527778 0.2996398
Moved 1066.027 320.2004 506 -0.09212866 0.3034978
Moved 1066.058 337.9388 507.9898 -0.05106748 0.3086157
Moved 1066.089 354.3153 508 -0.01315892 0.3086419
Moved 1066.119 364.0732 508 0.009428659 0.3086419
Moved 1066.15 368.238 508 0.01906941 0.3086419
Moved 1066.181 370.5 508 0.02430558 0.3086419
Moved 1066.212 370 500.0132 0.02314816 0.2880998
Moved 1066.242 355.2055 495.4579 -0.01109844 0.2763835
Moved 1066.273 309.7644 487.1604 -0.1162861 0.2550421
Moved 1066.304 298.9308 485.7044 -0.141364 0.2512973
Moved 1066.334 282.7133 485 -0.1789045 0.2494856
Moved 1066.365 271.6361 484 -0.204546 0.2469135
Moved 1066.396 266.4593 484 -0.2165294 0.2469135
Ended 1066.426 265 484 -0.2199074 0.2469135
Candidates 1066.549 13 safety share after what amateur age answers at shared every she shares agree
Began 1068.177 368 382 0.01851857 -0.01543218
Stationary 1068.208 368 382 0.01851857 -0.01543218
Ended 1068.238 368 382 0.01851857 -0.01543218
NextCandidatePanel 1068.33
Began 1069.436 371 378 0.025463 -0.02572024
Stationary 1069.467 371 378 0.025463 -0.02572024
Stationary 1069.497 371 378 0.025463 -0.02572024
Ended 1069.528 371 378 0.025463 -0.02572024
NextCandidatePanel 1069.589
Began 1070.449 412 321 0.1203704 -0.1723252
Stationary 1070.48 412 321 0.1203704 -0.1723252
Moved 1070.511 393.9557 321 0.07860105 -0.1723252
Moved 1070.541 374.5987 321 0.03379335 -0.1723252
Moved 1070.572 353.9549 321 -0.01399338 -0.1723252
Moved 1070.603 336.2847 321 -0.05489652 -0.1723252
Moved 1070.634 323.3631 321 -0.08480762 -0.1723252
Moved 1070.664 315.3753 321 -0.1032979 -0.1723252
Moved 1070.695 310.2533 321 -0.1151543 -0.1723252
Moved 1070.726 307.3842 321 -0.1217959 -0.1723252
Moved 1070.756 305.9398 321 -0.1251393 -0.1723252
Moved 1070.787 303.9953 321 -0.1296404 -0.1723252
Moved 1070.818 302.6271 321 -0.1328076 -0.1723252
Moved 1070.849 301.7501 321 -0.1348377 -0.1723252
Stationary 1070.879 301.7501 321 -0.1348377 -0.1723252
Stationary 1070.91 302 321 -0.1342593 -0.1723252
Stationary 1070.941 302 321 -0.1342593 -0.1723252
Ended 1070.971 302 321 -0.1342593 -0.1723252
Cancel 1071.033
Began 1071.831 215 460 -0.3356481 0.1851851
Stationary 1071.862 215 460 -0.3356481 0.1851851
Stationary 1071.893 215 460 -0.3356481 0.1851851
Stationary 1071.923 215 460 -0.3356481 0.1851851
Stationary 1071.954 215 460 -0.3356481 0.1851851
Moved 1071.985 251.7166 442.6417 -0.250656 0.1405393
Moved 1072.015 279.839 429.8644 -0.185558 0.1076759
Moved 1072.046 309 417.5 -0.1180555 0.0758744
Moved 1072.077 362.1709 401.8083 0.005025168 0.03551526
Moved 1072.108 409.9081 389.7578 0.115528 0.004521083
Moved 1072.138 437.5536 385.0558 0.1795224 -0.007572684
Moved 1072.169 455.1372 381.5518 0.2202251 -0.01658483
Moved 1072.2 469.293 380 0.252993 -0.02057613
Moved 1072.23 477.6265 378.7911 0.2722836 -0.02368542
Moved 1072.261 481.0706 379 0.2802562 -0.02314815
Moved 1072.292 483.6424 379 0.2862092 -0.02314815
Moved 1072.323 486.5095 379 0.2928461 -0.02314815
Moved 1072.353 488.3792 379 0.2971739 -0.02314815
Stationary 1072.384 488.3792 379 0.2971739 -0.02314815
Stationary 1072.415 488 379 0.2962963 -0.02314815
Moved 1072.445 467.9997 379 0.2499993 -0.02314815
Moved 1072.476 443.5825 389.0696 0.1934779 0.002750938
Moved 1072.507 413.3363 395.1328 0.1234637 0.01834551
Moved 1072.537 381.7314 404.7806 0.05030423 0.04315988
Moved 1072.568 349.0078 419.1969 -0.02544488 0.08023882
Moved 1072.599 322.484 435.0107 -0.08684257 0.1209122
Moved 1072.63 296.3912 454.6088 -0.1472426 0.1713189
Moved 1072.66 283.433 468.0893 -0.1772384 0.2059909
Moved 1072.691 279.1332 474.778 -0.1871917 0.2231944
Moved 1072.722 269.1081 491.3108 -0.2103978 0.265717
Moved 1072.752 263.8714 500.2144 -0.22252 0.2886173
Moved 1072.783 257.8953 511.314 -0.2363534 0.3171656
Moved 1072.814 254.0249 518.9252 -0.2453127 0.3367418
Moved 1072.845 252 524.5414 -0.25 0.3511867
Moved 1072.875 249.5893 529.8215 -0.2555804 0.3647671
Moved 1072.906 249 534.2897 -0.2569445 0.3762594
Moved 1072.937 248 536.8716 -0.2592593 0.3829
Moved 1072.967 248 539.6963 -0.2592593 0.3901652
Moved 1072.998 248 541.1075 -0.2592593 0.3937951
Moved 1073.029 248 543.1246 -0.2592593 0.3989829
Moved 1073.06 248 545.0572 -0.2592593 0.4039536
Moved 1073.09 257.7886 546.9296 -0.2366005 0.4087694
Moved 1073.121 281.9308 547 -0.1807156 0.4089505
Moved 1073.152 306.5 547 -0.1238426 0.4089505
Moved 1073.182 322.154 547 -0.08760656 0.4089505
Moved 1073.213 334.2915 540 -0.05951032 0.3909464
Moved 1073.244 343.9452 538.0274 -0.03716399 0.3858729
Moved 1073.275 347.4933 537.5067 -0.02895057 0.3845334
Moved 1073.305 350.3644 537 -0.02230455 0.3832304
Moved 1073.336 352.5 535.5 -0.0173611 0.3793723
Moved 1073.367 353 534.8873 -0.01620372 0.3777965
Stationary 1073.397 353 534.8873 -0.01620372 0.3777965
Moved 1073.428 353 532.456 -0.01620372 0.371543
Moved 1073.459 341.6792 529.5849 -0.04240925 0.3641586
Moved 1073.489 331.2045 526.0409 -0.06665617 0.3550433
Moved 1073.52 311.3265 521.1895 -0.1126701 0.3425655
Moved 1073.551 293.4655 518.4951 -0.1540152 0.3356354
Moved 1073.582 272.9141 516.5591 -0.2015877 0.3306561
Moved 1073.612 259.2576 516 -0.2331999 0.329218
Moved 1073.643 248.7966 515 -0.2574152 0.326646
Moved 1073.674 240.9315 515 -0.2756216 0.326646
Moved 1073.704 235.5 515 -0.2881945 0.326646
Moved 1073.735 234.6783 515 -0.2900964 0.326646
Ended 1073.766 235 515 -0.2893518 0.326646
Candidates 1073.889 13 there the where sheet she register he free here sheer athletes what enter
Began 1075.455 432 283 0.1666667 -0.2700618
Stationary 1075.485 432 283 0.1666667 -0.2700618
Stationary 1075.516 432 283 0.1666667 -0.2700618
Moved 1075.547 417.2938 298.7062 0.1326245 -0.2296652
Moved 1075.578 408.2652 311.6022 0.1117249 -0.1964963
Moved 1075.608 399.5562 331.3313 0.09156534 -0.1457529
Moved 1075.639 391.6163 349.1512 0.07318585 -0.09991986
Moved 1075.67 387 363.5 0.06250004 -0.06301456
