in sharp contrast to your words
in sharp contrast to your words
FixStart
Radial

0.6 0.6
432 388.8
Began 1540.556 454 474 0.2175926 0.2211934
Stationary 1540.587 454 474 0.2175926 0.2211934
Moved 1540.617 466.549 489.9717 0.2466411 0.2622728
Moved 1540.648 483.3802 512.2253 0.2856023 0.3195094
Moved 1540.679 515.5631 547.5631 0.3600998 0.4103988
Moved 1540.71 535.7248 568.7248 0.4067703 0.464827
Moved 1540.74 550.5083 580.505 0.4409914 0.4951259
Moved 1540.771 561.1309 588.0872 0.4655807 0.5146276
Moved 1540.802 568.8322 593.8322 0.4834079 0.5294037
Moved 1540.833 573.7829 596.7829 0.4948679 0.536993
Moved 1540.863 576.5 598 0.5011575 0.5401233
Moved 1540.894 578.1672 599 0.5050167 0.5426954
Moved 1540.925 579.5 599 0.5081019 0.5426954
Stationary 1540.956 579.5 599 0.5081019 0.5426954
Moved 1540.986 568.1301 576.7714 0.4817825 0.485523
Moved 1541.017 540.6063 531.5699 0.41807 0.3692642
Moved 1541.048 522.5447 498.5052 0.376261 0.2842212
Moved 1541.078 513.8167 471.1751 0.3560572 0.2139277
Moved 1541.109 508.7776 453.1104 0.3443925 0.1674648
Moved 1541.14 504.516 428.0961 0.3345278 0.1031277
Moved 1541.171 502.647 408.529 0.3302014 0.05280082
Moved 1541.201 502 399.417 0.3287037 0.02936469
Moved 1541.232 499.2777 386.3885 0.322402 -0.004144912
Moved 1541.263 498 372.6446 0.3194444 -0.03949452
Moved 1541.294 495.5397 361.6192 0.3137494 -0.06785192
Moved 1541.324 496 354.0182 0.3148148 -0.0874017
Ended 1541.355 496 354 0.3148148 -0.08744855
Candidates 1541.417 13 in on john ibm join iv inn un job hiv gun gov high
Began 1541.816 415 418 0.1273148 0.07716041
Stationary 1541.847 415 418 0.1273148 0.07716041
Stationary 1541.878 415 418 0.1273148 0.07716041
Moved 1541.908 444.5176 418 0.1956427 0.07716041
Moved 1541.939 471.277 418 0.2575856 0.07716041
Moved 1541.97 495.0196 418 0.3125453 0.07716041
Moved 1542.001 519.1381 430.6108 0.3683752 0.1095957
Moved 1542.031 535.4299 435.8099 0.4060876 0.1229679
Ended 1542.062 545.1512 438.6146 0.4285907 0.1301816
Accept 1542.154 0 in
Began 1542.431 425 421 0.150463 0.08487643
Stationary 1542.462 425 421 0.150463 0.08487643
Moved 1542.492 407.6788 428.2242 0.1103676 0.1034572
Moved 1542.523 386.0206 432.551 0.06023288 0.1145858
Moved 1542.554 366.2191 436.618 0.01439611 0.1250461
