the back yard of our house
the back yard of our house
FixStart
List

0.6 0.6
432 388.8
Began 304.6575 329 383 -0.07175927 -0.01286016
Stationary 304.6883 329 383 -0.07175927 -0.01286016
Stationary 304.719 329 383 -0.07175927 -0.01286016
Moved 304.7497 305.868 418.4526 -0.1253056 0.0783246
Moved 304.7804 292.8645 468.0837 -0.1554062 0.2059765
Moved 304.8111 292 514.8004 -0.1574074 0.3261327
Moved 304.8419 292 535.2899 -0.1574074 0.378832
Moved 304.8726 301.3268 541.6536 -0.1358176 0.3951994
Moved 304.9033 315.3407 542 -0.1033781 0.3960905
Moved 304.934 352.4778 504.2101 -0.01741245 0.2988941
Moved 304.9647 376.8806 452.6516 0.03907561 0.1662849
Moved 304.9955 386.418 415.9102 0.06115267 0.07178549
Moved 305.0262 387 391.5953 0.06250004 0.00924703
Moved 305.0569 380.5211 378.2978 0.04750252 -0.02495424
Moved 305.0876 355.3884 373 -0.01067509 -0.03858032
Moved 305.1183 315.1252 396.5656 -0.1038769 0.0220309
Moved 305.149 280.7776 419.6668 -0.1833853 0.08144755
Moved 305.1797 256.4824 441.4601 -0.2396242 0.1375003
Moved 305.2105 241.2172 458.8699 -0.2749602 0.1822785
Moved 305.2411 228.0997 480.3255 -0.3053247 0.2374626
Ended 305.2719 224 494 -0.3148148 0.2726337
Candidates 305.3333 13 the right ride trigger roger further there this tiger rude either us huge
Began 305.702 312 487 -0.1111111 0.2546296
Moved 305.7327 325.5883 458.3353 -0.07965678 0.1809034
Moved 305.7634 341.459 412.1094 -0.04291902 0.06200963
Moved 305.7941 350.6348 381.1914 -0.02167881 -0.01751189
Moved 305.8248 354 357.2371 -0.01388888 -0.07912263
Moved 305.8556 350.0332 345.5125 -0.02307127 -0.1092787
Moved 305.8863 324.4888 339.2481 -0.08220176 -0.1253907
Moved 305.917 285.0148 358.4926 -0.1735769 -0.07589355
Moved 305.9477 247.2679 381.4299 -0.260954 -0.01689832
Moved 305.9784 216.082 403.8426 -0.3331436 0.04074732
Moved 306.0092 188 426 -0.3981482 0.09773654
Moved 306.0399 173.5853 441.5184 -0.4315155 0.1376501
Moved 306.0706 166.0574 448.9426 -0.4489412 0.1567454
Moved 306.1013 164.1576 451.8424 -0.4533389 0.1642037
Moved 306.132 164 454.2613 -0.4537037 0.170425
Moved 306.1628 197.0604 445.5577 -0.377175 0.1480394
Moved 306.1935 227.0269 420.9731 -0.3078082 0.08480734
Moved 306.2242 253.689 379.5831 -0.2460903 -0.02164841
Moved 306.2549 266.5429 350.8857 -0.2163359 -0.09545863
Moved 306.2856 273.7748 335.4504 -0.1995953 -0.1351586
Moved 306.3163 275.5 332 -0.1956018 -0.144033
Moved 306.347 284.0284 339.7046 -0.1758601 -0.1242166
Moved 306.3777 327.7092 401.2628 -0.07474715 0.03411211
Moved 306.4085 376.2551 461.7733 0.03762752 0.1897461
Moved 306.4392 406.5854 492.5854 0.1078367 0.2689954
Moved 306.4699 420.8293 501.8975 0.1408084 0.2929462
Moved 306.5007 430.5074 506.8358 0.1632117 0.3056476
Moved 306.5314 436.4219 508.7109 0.1769025 0.3104704
Ended 306.5621 442 510 0.1898148 0.3137859
Accept 306.6542 0 the
Candidates 306.6542 13 back bank nacl ball jack naacp nazi call basal ch mall mgcl cash
Began 307.0229 318 359 -0.09722222 -0.07458848
Stationary 307.0536 318 359 -0.09722222 -0.07458848
Moved 307.0844 306.8954 382.2791 -0.1229274 -0.01471445
Moved 307.115 302.0934 408.2529 -0.1340431 0.05209063
Moved 307.1458 301 428.288 -0.1365741 0.1036212
Moved 307.1765 300 444.6656 -0.1388889 0.1457449
Moved 307.2072 300 455.5966 -0.1388889 0.1738595
Moved 307.2379 300 464.3272 -0.1388889 0.1963148
Moved 307.2686 300 471.7274 -0.1388889 0.2153482
Moved 307.2994 308.4472 479.8945 -0.1193351 0.236354
Moved 307.3301 312.3231 487.6461 -0.1103633 0.2562913
Moved 307.3608 313 489.8419 -0.1087963 0.261939
Moved 307.3915 314.3562 491.3563 -0.1056569 0.265834
Stationary 307.4222 314.3562 491.3563 -0.1056569 0.265834
Moved 307.4529 300.8404 491 -0.1369435 0.2649176
Moved 307.4836 268.6627 455.7189 -0.2114289 0.1741741
Moved 307.5144 230.3266 424.0424 -0.3001698 0.09270146
Moved 307.5451 202.0429 397.0429 -0.3656414 0.02325851
Moved 307.5758 186.8127 382.8127 -0.4008965 -0.01334178
Moved 307.6065 173.476 370.476 -0.4317684 -0.04507206
Moved 307.6373 165.8882 364.8882 -0.4493329 -0.05944397
Moved 307.6679 163.0761 363.0761 -0.4558423 -0.06410473
Moved 307.6987 162 363 -0.4583334 -0.06430049
Moved 307.7294 162 373.9768 -0.4583334 -0.03606788
Moved 307.7601 191.881 416.9782 -0.3891644 0.07453243
Moved 307.7908 234.0346 463.8143 -0.2915865 0.1949956
Moved 307.8216 280.1081 504.5212 -0.184935 0.2996945
Moved 307.8523 292.7836 514.3377 -0.1555935 0.3249426
Moved 307.883 296.318 516.3181 -0.147412 0.3300361
Moved 307.9138 299 516 -0.1412037 0.329218
Moved 307.9444 298 516 -0.1435185 0.329218
Moved 307.9752 272.4363 447.6846 -0.2026938 0.1535098
Moved 308.0059 257.1652 413.413 -0.2380435 0.06536252
Moved 308.0366 248.8921 393.7123 -0.2571941 0.0146922
Moved 308.0673 241.1759 375.5276 -0.2750558 -0.03207909
Moved 308.0981 237.2134 365.6403 -0.2842281 -0.05750946
Ended 308.1288 237 362.7529 -0.2847222 -0.06493595
Accept 308.1902 0 back
Candidates 308.1902 13 yard tests treated yards tested rated rates rate rats treats earth greater tears
Began 308.7124 254 372 -0.2453704 -0.04115226
Stationary 308.7432 254 372 -0.2453704 -0.04115226
Moved 308.7739 271.6557 393.151 -0.2045006 0.01324846
Moved 308.8046 320 437 -0.09259259 0.1260288
Moved 308.8353 369.0406 479.4189 0.02092719 0.235131
Moved 308.866 382.5494 491.3663 0.05219767 0.2658597
Moved 308.8968 387.0562 497.1125 0.06263018 0.2806391
Moved 308.9275 389 498 0.06712963 0.2829217
Stationary 308.9582 389 498 0.06712963 0.2829217
Moved 308.9889 352.7535 465.1005 -0.01677434 0.1983037
Moved 309.0196 305.4613 425.1248 -0.1262469 0.09548555
Moved 309.0504 267.1508 394.3631 -0.2149287 0.01636595
Moved 309.0809 242.6511 374.8936 -0.271641 -0.03370991
Moved 309.1117 226.5671 362.0537 -0.3088724 -0.06673436
Moved 309.1425 217.8592 356.9061 -0.3290296 -0.07997403
Moved 309.1732 215.0656 356 -0.3354963 -0.0823046
Ended 309.2039 213.6277 356 -0.3388248 -0.0823046
Accept 309.2653 0 yard
Candidates 309.2653 13 of if off good high god odd is id food hood his igf
Began 309.634 236 401 -0.287037 0.03343609
Stationary 309.6647 236 401 -0.287037 0.03343609
Moved 309.6955 263.4866 424.4145 -0.2234106 0.09365859
Moved 309.7261 353.5729 505.0298 -0.01487762 0.3010026
Moved 309.7568 373.6629 523.2471 0.03162702 0.3478578
Moved 309.7875 379.5686 527.2843 0.04529775 0.3582415
Moved 309.8183 380.5 528 0.04745374 0.3600822
