they might find your comment offensive
they might find your comment offensive
Basic
Radial

0.6 0.6
432 388.8
Began 1187.491 326 494 -0.07870371 0.2726337
Stationary 1187.522 326 494 -0.07870371 0.2726337
Stationary 1187.553 326 494 -0.07870371 0.2726337
Stationary 1187.583 326 494 -0.07870371 0.2726337
Stationary 1187.614 326 494 -0.07870371 0.2726337
Stationary 1187.645 326 494 -0.07870371 0.2726337
Stationary 1187.676 326 494 -0.07870371 0.2726337
Moved 1187.706 333.9092 468.4317 -0.0603954 0.2068716
Moved 1187.737 357.0695 436.4888 -0.006783505 0.1247138
Moved 1187.768 385.3259 398.3764 0.05862464 0.0266882
Moved 1187.799 397.874 382.1763 0.08767138 -0.01497865
Moved 1187.829 404.5 373 0.1030092 -0.03858032
Moved 1187.86 405.8406 369.3188 0.1061125 -0.04804823
Moved 1187.891 407.3493 366.6507 0.1096049 -0.05491084
Moved 1187.922 407 365.5 0.1087963 -0.05787045
Moved 1187.952 407 363.5387 0.1087963 -0.06291495
Stationary 1187.983 407 363.5387 0.1087963 -0.06291495
Moved 1188.014 407 362.8466 0.1087963 -0.06469499
Stationary 1188.044 407 362.8466 0.1087963 -0.06469499
Stationary 1188.075 407 362.8466 0.1087963 -0.06469499
Stationary 1188.106 407 362.8466 0.1087963 -0.06469499
Moved 1188.137 390.7455 373.6129 0.07117013 -0.0370039
Moved 1188.167 362.0858 396.4753 0.004828175 0.02179856
Moved 1188.198 338.5315 416.1942 -0.04969552 0.07251594
Moved 1188.229 322 428.5 -0.08796295 0.1041665
Moved 1188.26 292.88 446.7754 -0.1553704 0.1511712
Moved 1188.29 271.028 456.8645 -0.2059537 0.1771206
Moved 1188.321 253.9105 464.5447 -0.2455776 0.1968743
Moved 1188.352 242 472.5 -0.2731481 0.2173353
Moved 1188.383 237.0407 476.9594 -0.2846281 0.2288048
Moved 1188.413 236 480.5 -0.287037 0.2379114
Moved 1188.444 236 485.152 -0.287037 0.2498764
Moved 1188.475 251 491.5 -0.2523148 0.2662036
Moved 1188.506 298.614 500.7488 -0.1420973 0.2899918
Moved 1188.536 338.256 503.8342 -0.05033324 0.2979273
Moved 1188.567 364.7049 503 0.01089086 0.2957818
Moved 1188.598 378 503 0.04166663 0.2957818
Moved 1188.629 384.3014 503 0.05625317 0.2957818
Moved 1188.659 391.3319 503 0.07252762 0.2957818
Ended 1188.69 391.3319 503 0.07252762 0.2957818
Candidates 1188.782 13 they that get what hey her sheet energy jerry net key thai theft
Began 1189.182 369 420 0.02083332 0.08230445
Moved 1189.213 399.8371 420 0.09221554 0.08230445
Moved 1189.243 437.3589 420 0.1790715 0.08230445
Moved 1189.274 456.8427 420 0.224173 0.08230445
Ended 1189.305 466.8349 420 0.247303 0.08230445
Accept 1189.366 0 they
Began 1189.766 512 236 0.3518519 -0.3909465
Stationary 1189.797 512 236 0.3518519 -0.3909465
Stationary 1189.827 512 236 0.3518519 -0.3909465
Stationary 1189.858 512 236 0.3518519 -0.3909465
Moved 1189.889 498.5 279 0.3206019 -0.2803498
