a picture is worth many words
a picture is worth many words
FixStart
List

0.6 0.6
432 388.8
Began 3159.194 414 367 0.125 -0.05401234
Moved 3159.225 395.6579 367 0.08254141 -0.05401234
Moved 3159.256 356.9013 367 -0.007172823 -0.05401234
Moved 3159.287 311.9838 367 -0.1111487 -0.05401234
Moved 3159.317 269.1166 367 -0.2103782 -0.05401234
Moved 3159.348 242.377 367 -0.2722755 -0.05401234
Moved 3159.379 224.2896 367 -0.3141444 -0.05401234
Moved 3159.41 212.3747 367 -0.3417253 -0.05401234
Moved 3159.44 201.6152 367 -0.3666315 -0.05401234
Moved 3159.471 196.3382 374 -0.3788467 -0.03600823
Ended 3159.502 194.9099 375.0901 -0.3821529 -0.03320451
Candidates 3159.594 13 a as gas sa ass da aa ga aaa fda fas s faa
Began 3160.178 323 332 -0.08564815 -0.144033
Stationary 3160.209 323 332 -0.08564815 -0.144033
Stationary 3160.24 323 332 -0.08564815 -0.144033
Stationary 3160.27 323 332 -0.08564815 -0.144033
Moved 3160.301 323 351.0878 -0.08564815 -0.09493894
Moved 3160.332 340.3058 372.9587 -0.04558831 -0.03868636
Moved 3160.363 356.5031 396.0041 -0.008094708 0.02058665
Moved 3160.393 376 419 0.03703703 0.07973251
Moved 3160.424 399.0922 437.9557 0.09049118 0.1284868
Moved 3160.455 425.9898 456.9932 0.1527541 0.1774515
Moved 3160.486 446.0813 468.6063 0.1992622 0.2073205
Moved 3160.516 460.6607 476.9965 0.2330109 0.2289003
Moved 3160.547 474.2122 481.303 0.2643801 0.2399768
Moved 3160.578 484.5233 481 0.2882483 0.2391974
Moved 3160.609 493.088 481 0.3080741 0.2391974
Moved 3160.639 498.5725 481 0.3207698 0.2391974
Moved 3160.67 500.2188 481 0.3245805 0.2391974
Stationary 3160.701 500 481 0.324074 0.2391974
Moved 3160.732 492.2361 481 0.3061021 0.2391974
Moved 3160.762 474.5266 484.0525 0.2651078 0.2470485
Moved 3160.793 451.082 491.6791 0.2108379 0.2666644
Moved 3160.824 429.5563 494 0.1610099 0.2726337
Moved 3160.854 406.3031 495 0.1071831 0.2752057
Moved 3160.885 386.9723 489.1343 0.06243596 0.2601191
Moved 3160.916 369.8024 480.6008 0.02269079 0.2381707
Moved 3160.947 355.5 471 -0.01041666 0.2134772
Moved 3160.978 343.6221 460.6221 -0.03791178 0.1867851
Moved 3161.008 337.0395 454.0789 -0.05314941 0.1699559
Moved 3161.039 334 447.3381 -0.06018519 0.1526186
Moved 3161.07 333 441.0983 -0.06249999 0.1365697
Moved 3161.101 333 424.1704 -0.06249999 0.09303085
Moved 3161.131 333 398.7578 -0.06249999 0.02766927
Moved 3161.162 333 357.8673 -0.06249999 -0.07750177
Moved 3161.193 325.3754 305.5449 -0.08014947 -0.2120761
Moved 3161.223 318.1962 255.3733 -0.09676804 -0.3411181
Moved 3161.254 312.446 220.6763 -0.1100786 -0.4303595
Moved 3161.285 307.3319 197.4935 -0.1219169 -0.4899859
Moved 3161.316 300.0505 174.8014 -0.138772 -0.5483503
Moved 3161.346 294.9689 160.4532 -0.150535 -0.585254
Moved 3161.377 293 153.2233 -0.1550926 -0.6038496
Moved 3161.408 291 151.0703 -0.1597222 -0.609387
Moved 3161.439 290 150.2045 -0.162037 -0.611614
Moved 3161.469 288.6721 150 -0.1651108 -0.6121399
Moved 3161.5 286.5 150 -0.1701389 -0.6121399
Moved 3161.531 280.8465 166.307 -0.1832257 -0.570198
Moved 3161.562 272.2377 192.2078 -0.2031536 -0.5035809
Moved 3161.592 265.4257 226.0845 -0.2189221 -0.4164495
Moved 3161.623 262.7253 255.2964 -0.2251729 -0.3413159
Moved 3161.654 262 297.9899 -0.2268519 -0.2315075
Moved 3161.685 262 327.951 -0.2268519 -0.1544471
Moved 3161.715 271.8677 354.5589 -0.20401 -0.08601113
Moved 3161.746 276.9741 370.9222 -0.1921897 -0.04392451
Moved 3161.777 283.6974 387.7434 -0.1766265 -0.0006599975
Moved 3161.808 293.8694 406.7388 -0.1530801 0.04819638
Moved 3161.838 301.1781 417.9727 -0.1361618 0.07709005
Moved 3161.869 308.1823 429.7735 -0.1199483 0.107442
