in sharp contrast to your words
in sharp contrast to your words
Basic
List

0.6 0.6
432 388.8
Began 1014.65 432 516 0.1666667 0.329218
Moved 1014.68 432 502.6907 0.1666667 0.2949864
Moved 1014.711 432 449.689 0.1666667 0.1586651
Moved 1014.742 419.303 384.5272 0.1372755 -0.008932278
Moved 1014.772 400.4057 316.0212 0.09353161 -0.1851306
Moved 1014.803 387.7255 269.4771 0.0641794 -0.3048429
Moved 1014.834 382.711 242.6993 0.0525717 -0.3737157
Moved 1014.865 377.2673 227.5347 0.03997067 -0.4127195
Moved 1014.896 373.4574 220.4574 0.03115127 -0.4309224
Moved 1014.926 372.0004 218 0.02777864 -0.4372429
Ended 1014.957 372 218 0.02777775 -0.4372429
Candidates 1015.049 13 in ibm un iv uv inc inn on um ic pc tn tm
Began 1015.357 229 389 -0.3032407 0.002572016
Stationary 1015.388 229 389 -0.3032407 0.002572016
Moved 1015.418 267.8939 389 -0.2132085 0.002572016
Moved 1015.449 336.9278 389 -0.05340795 0.002572016
Moved 1015.48 375.7857 400.1428 0.03654093 0.03123146
Moved 1015.511 384.6322 401 0.05701889 0.03343609
Stationary 1015.541 385 401 0.05787035 0.03343609
Moved 1015.572 333.9693 401 -0.06025628 0.03343609
Moved 1015.603 240.9565 383.3255 -0.2755637 -0.01202297
Moved 1015.634 188.186 372.7965 -0.3977176 -0.03910363
Moved 1015.664 170.4043 368.8809 -0.4388789 -0.04917482
Moved 1015.695 166 369 -0.4490741 -0.04886839
Moved 1015.726 196.6102 403.2834 -0.3782172 0.03930908
Moved 1015.757 259.6979 458.9149 -0.2321808 0.1823943
Moved 1015.787 299.5667 485.9438 -0.1398918 0.251913
Moved 1015.818 345.1622 502.8848 -0.03434668 0.2954854
Moved 1015.849 422.8496 506 0.1454853 0.3034978
Moved 1015.88 476.0845 506 0.2687141 0.3034978
Moved 1015.91 516.7591 506 0.3628683 0.3034978
Moved 1015.941 542.8774 506 0.4233273 0.3034978
Moved 1015.972 563.6453 506 0.4714011 0.3034978
Ended 1016.003 563.6453 506 0.4714011 0.3034978
Accept 1016.064 0 in
Candidates 1016.064 13 sharp shall jail gao thai detail crap karl sheep snap ceo gap nato
Began 1016.617 269 271 -0.2106481 -0.300926
Stationary 1016.648 269 271 -0.2106481 -0.300926
Moved 1016.679 282.6646 301.1174 -0.1790171 -0.2234634
Moved 1016.71 340.5768 386.3886 -0.04496123 -0.004144559
Moved 1016.74 404.9036 454.2191 0.1039435 0.1703166
Moved 1016.771 436.0281 480.2169 0.1759911 0.2371832
Moved 1016.802 446.248 490.248 0.1996481 0.2629835
Moved 1016.833 451.6911 492.8456 0.212248 0.2696645
Moved 1016.863 454.2499 493 0.2181711 0.2700616
Moved 1016.894 458 467.5811 0.2268519 0.2046838
Moved 1016.925 410.0317 351.7438 0.1158141 -0.0932516
Moved 1016.956 379.1798 287.9567 0.04439772 -0.257313
Moved 1016.986 370.8551 268.7103 0.02512763 -0.3068152
Moved 1017.017 364.4899 255.4696 0.01039326 -0.3408704
Moved 1017.048 360.7696 249.7697 0.001781583 -0.3555307
