electric cars need big fuel cells
electric cars need bid fuel cells
Basic
List

0.6 0.6
432 388.8
Began 1985.702 212 468 -0.3425926 0.2057612
Stationary 1985.733 212 468 -0.3425926 0.2057612
Stationary 1985.763 212 468 -0.3425926 0.2057612
Stationary 1985.794 212 468 -0.3425926 0.2057612
Stationary 1985.825 212 468 -0.3425926 0.2057612
Stationary 1985.855 212 468 -0.3425926 0.2057612
Stationary 1985.886 212 468 -0.3425926 0.2057612
Stationary 1985.917 212 468 -0.3425926 0.2057612
Moved 1985.948 212 453.3323 -0.3425926 0.1680357
Moved 1985.978 212 447.4945 -0.3425926 0.1530208
Moved 1986.009 222.5 442 -0.318287 0.1388888
Moved 1986.04 223.3343 428.997 -0.3163557 0.1054449
Moved 1986.071 232.1202 414.7997 -0.296018 0.06892914
Moved 1986.101 248.5244 398.3963 -0.2580453 0.02673942
Moved 1986.132 269.7874 385.4514 -0.2088255 -0.006554999
Moved 1986.163 297.3771 375.4057 -0.1449603 -0.03239282
Moved 1986.193 323.2271 367.6319 -0.08512259 -0.05238709
Moved 1986.224 363.7392 360.2364 0.008655588 -0.07140854
Moved 1986.255 396.2917 357.5231 0.08400857 -0.07838716
Moved 1986.286 419.4117 355.6555 0.1375272 -0.08319085
Moved 1986.316 448.2625 356 0.2043112 -0.0823046
Moved 1986.347 475.2975 356 0.2668925 -0.0823046
Moved 1986.378 503.2476 356 0.3315915 -0.0823046
Moved 1986.408 522.3945 359.3522 0.3759131 -0.0736826
Moved 1986.439 537.7894 365.3579 0.4115496 -0.05823591
Moved 1986.47 547.6574 366.9144 0.4343922 -0.05423267
Moved 1986.501 555.5745 368.7873 0.4527188 -0.04941539
Moved 1986.531 559.5 369 0.4618056 -0.04886839
Moved 1986.562 560.0484 370.0484 0.463075 -0.04617181
Moved 1986.593 560 373.0692 0.462963 -0.03840223
Moved 1986.624 540.5848 389.5322 0.4180203 0.003940715
Moved 1986.654 497.603 414.7853 0.3185256 0.0688921
Moved 1986.685 460.4864 427.1712 0.2326074 0.1007489
Moved 1986.716 416.1393 437.7628 0.1299522 0.1279908
Moved 1986.746 372.93 453.3776 0.02993057 0.1681522
Moved 1986.777 342.6104 464.7559 -0.0402538 0.1974172
Moved 1986.808 318.6213 471.9653 -0.09578403 0.2159601
Moved 1986.839 296.1954 477.7011 -0.1476957 0.2307126
Moved 1986.869 277.0667 482.2667 -0.1919753 0.2424553
Moved 1986.9 262.383 483.7234 -0.2259652 0.246202
Moved 1986.931 245.509 485 -0.2650254 0.2494856
Moved 1986.961 231.4349 487 -0.2976044 0.2546296
Moved 1986.992 227.5 487 -0.306713 0.2546296
Moved 1987.023 226.5 487 -0.3090278 0.2546296
Moved 1987.054 225.8736 488.1263 -0.3104777 0.2575265
