I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Began 81.92805 256 307 -0.2407407 -0.2083334
Stationary 81.95871 256 307 -0.2407407 -0.2083334
Stationary 81.98944 256 307 -0.2407407 -0.2083334
Stationary 82.02014 256 307 -0.2407407 -0.2083334
Moved 82.05084 277.8456 339.057 -0.1901722 -0.1258823
Moved 82.08154 311.5758 374.5758 -0.112093 -0.03452732
Moved 82.11221 339.7606 401.9155 -0.04685054 0.03579077
Moved 82.14292 359 420 -0.002314796 0.08230445
Moved 82.17365 371.8776 431.8776 0.02749433 0.1128537
Moved 82.20434 377.0869 437.1738 0.03955295 0.1264756
Moved 82.23502 380.9613 439.9613 0.04852146 0.1336453
Moved 82.26575 383.5113 442.5113 0.0544244 0.1402038
Ended 82.29644 385 444 0.05787035 0.1440329
Candidates 82.38853 13 I go o ii iii gi hi u p iu you to up
Began 82.72624 324 348 -0.08333336 -0.1028807
Stationary 82.75691 324 348 -0.08333336 -0.1028807
Stationary 82.78764 324 348 -0.08333336 -0.1028807
Moved 82.81834 311.5176 362.5629 -0.1122278 -0.0654248
Moved 82.84904 295.9213 384.118 -0.1483303 -0.009984538
Moved 82.87975 283.3468 405.3063 -0.1774379 0.0445121
Moved 82.91045 276.1475 422.1313 -0.194103 0.08778611
Moved 82.94115 272.701 434.196 -0.202081 0.1188169
Moved 82.97182 270.1306 441.7388 -0.208031 0.138217
Moved 83.00254 268.5 446.5 -0.2118056 0.1504629
Moved 83.03323 268 448.6176 -0.212963 0.1559094
Moved 83.06394 265.877 450.123 -0.2178773 0.1597813
Moved 83.09464 262.9682 450 -0.2246107 0.1594649
Moved 83.12534 255.4102 442.8204 -0.2421061 0.1409988
Moved 83.15601 234.0766 417.5381 -0.2914893 0.07597232
Moved 83.18674 212.2471 391.9718 -0.3420206 0.0102155
Moved 83.21741 198.3786 377.3786 -0.3741236 -0.02731849
Moved 83.24812 188.9312 364.9083 -0.3959925 -0.05939217
Moved 83.27882 186 360.6558 -0.4027778 -0.07032975
Moved 83.30952 185 358.5739 -0.4050926 -0.07568445
Stationary 83.34025 185 359 -0.4050926 -0.07458848
Moved 83.37096 185 357.8411 -0.4050926 -0.07756935
Moved 83.40162 218.5569 349.9211 -0.3274146 -0.09793968
Moved 83.43232 260.3939 333.132 -0.2305698 -0.1411217
Moved 83.46305 299.8353 312.017 -0.1392702 -0.1954295
Moved 83.49374 317.4732 297.8214 -0.0984416 -0.2319408
Moved 83.52446 339.517 277.483 -0.0474143 -0.2842516
Moved 83.55515 362.7324 249.7747 0.006324947 -0.3555178
Moved 83.58582 377.4375 231.5625 0.04036456 -0.4023598
Moved 83.61655 385.3286 220.5619 0.058631 -0.4306536
Moved 83.64726 389.0194 215.9612 0.06717453 -0.4424867
Moved 83.67793 390.4536 214.5464 0.07049451 -0.4461255
Moved 83.70863 378.599 266.1473 0.04305313 -0.313407
Moved 83.73932 357.5773 353.6909 -0.005608102 -0.08824375
Moved 83.77003 349.8571 398.4292 -0.02347896 0.02682399
Moved 83.80075 340.9469 426.1771 -0.04410445 0.09819215
Moved 83.83144 334.6595 442.3511 -0.05865847 0.1397918
Moved 83.86216 330.5584 453.3247 -0.06815174 0.1680161
Moved 83.89286 328 458.6198 -0.07407407 0.1816351
Moved 83.92355 327 461.1815 -0.07638887 0.1882238
Ended 83.95423 327 461.1815 -0.07638887 0.1882238
Accept 84.01563 0 I
Candidates 84.01563 13 want went range grant sent rent rant deny tent debt trent frame wnt
Began 84.23052 305 277 -0.1273148 -0.2854939
Stationary 84.26124 305 277 -0.1273148 -0.2854939
Moved 84.29194 297.1618 327.6158 -0.1454589 -0.1553093
Moved 84.32269 297 374.7833 -0.1458333 -0.03399358
Moved 84.35337 297 406.6792 -0.1458333 0.04804312
Moved 84.38407 306.0179 420.8648 -0.1249586 0.0845287
Moved 84.41476 306 429.3262 -0.125 0.1062915
