this is too much to handle
this is too much to handle
Basic
Radial

0.6 0.6
432 388.8
Began 658.4953 289 521 -0.1643519 0.3420781
Stationary 658.5261 289 521 -0.1643519 0.3420781
Stationary 658.5568 289 521 -0.1643519 0.3420781
Stationary 658.5875 289 521 -0.1643519 0.3420781
Stationary 658.6182 289 521 -0.1643519 0.3420781
Stationary 658.6489 289 521 -0.1643519 0.3420781
Stationary 658.6796 289 521 -0.1643519 0.3420781
Stationary 658.7103 289 521 -0.1643519 0.3420781
Stationary 658.741 289 521 -0.1643519 0.3420781
Stationary 658.7717 289 521 -0.1643519 0.3420781
Stationary 658.8024 289 521 -0.1643519 0.3420781
Stationary 658.8331 289 521 -0.1643519 0.3420781
Stationary 658.8639 289 521 -0.1643519 0.3420781
Moved 658.8945 289 511.6451 -0.1643519 0.3180171
Moved 658.9253 298.9509 505.0491 -0.1413173 0.301052
Moved 658.956 314.0868 482.3373 -0.1062806 0.2426369
Moved 658.9866 332.7502 449.2853 -0.06307816 0.1576269
Moved 659.0174 346.825 423.3251 -0.03049771 0.09085663
Moved 659.0481 355.5192 403.9615 -0.01037215 0.04105336
Moved 659.0788 361.433 391.134 0.003317197 0.008060549
Moved 659.1095 366.1546 379.6909 0.0142467 -0.02137133
Moved 659.1402 370.1186 370.6443 0.02342264 -0.0446391
Moved 659.1709 373 365.0056 0.0300926 -0.05914201
Moved 659.2016 375 360.1351 0.03472219 -0.07166906
Moved 659.2323 376 357.5 0.03703703 -0.07844657
Moved 659.263 378.1198 355.8802 0.04194399 -0.08261269
Moved 659.2938 379.3745 354.6255 0.04484832 -0.08583971
Moved 659.3245 384.9995 355 0.05786936 -0.08487654
Moved 659.3552 397.2845 365.7371 0.08630663 -0.05726064
Moved 659.3859 419.6631 382.8491 0.138109 -0.01324838
Moved 659.4166 439.0568 400.7629 0.1830019 0.03282645
Moved 659.4473 458.1447 413.6541 0.2271869 0.06598272
Moved 659.478 470.4279 422.0567 0.2556201 0.08759432
Moved 659.5087 483.7369 430.1895 0.286428 0.108512
Moved 659.5394 495.7107 442.1384 0.3141452 0.1392449
Moved 659.5701 508.0128 455.0161 0.3426223 0.1723663
Moved 659.6008 519.6203 465.6203 0.3694915 0.1996406
Moved 659.6315 526.464 474.9279 0.3853333 0.2235799
Moved 659.6622 534.2134 489.0334 0.4032717 0.2598595
Moved 659.6929 538.1464 499.5853 0.4123758 0.2869992
Moved 659.7236 541.0345 507.069 0.4190613 0.3062473
Moved 659.7543 541.9002 514.8004 0.4210653 0.3261327
Moved 659.785 542 518.5 0.4212962 0.335648
Moved 659.8158 542 522.2823 0.4212962 0.3453762
Moved 659.8465 542 525.1518 0.4212962 0.3527566
Moved 659.8771 516.8452 526 0.3630674 0.3549381
Moved 659.9079 470.1701 504.8701 0.2550234 0.3005917
Moved 659.9386 430.1732 484.3672 0.162438 0.2478579
Moved 659.9693 398.1571 466.1047 0.08832654 0.2008866
Moved 660 374.5565 449.969 0.0336957 0.1593852
Moved 660.0307 358.6715 441.1144 -0.003075153 0.136611
Moved 660.0614 344.0438 433.2263 -0.03693561 0.1163226
Moved 660.0921 331.1799 425.09 -0.06671315 0.09539588
Moved 660.1228 321.9311 418.954 -0.08812249 0.07961426
Moved 660.1535 312.2904 414.0968 -0.1104389 0.06712132
Moved 660.1842 302.9036 408.4518 -0.1321676 0.05260224
Moved 660.2149 294.7038 404.3519 -0.1511487 0.04205727
Moved 660.2456 287.445 401.815 -0.1679514 0.0355323
Moved 660.2764 282.894 400 -0.1784861 0.03086416
Moved 660.3071 278.1477 398 -0.1894728 0.02572008
Moved 660.3378 275.5 396.5 -0.1956018 0.02186214
Moved 660.3685 272.6933 395.6933 -0.2020988 0.01978721
Moved 660.3992 266.6356 394.8178 -0.2161213 0.01753548
Moved 660.4299 261.8979 393.949 -0.2270881 0.01530078
Moved 660.4606 256.8111 393.4056 -0.2388632 0.01390316
Moved 660.4913 251.5872 393 -0.2509554 0.01285996
Moved 660.522 245.3295 391.6647 -0.2654409 0.009425676
Moved 660.5527 241.7941 392 -0.2736248 0.01028803
Ended 660.5834 240.7841 392 -0.2759628 0.01028803
Candidates 660.7062 13 this ships food shops good whoa flood ellis thus did god dod elisa
Began 661.4432 300 483 -0.1388889 0.2443414
Stationary 661.4739 300 483 -0.1388889 0.2443414
Moved 661.5046 317.2702 473.7892 -0.09891157 0.2206513
Moved 661.5353 344.3072 468.9693 -0.0363259 0.2082543
Moved 661.566 370.4151 466 0.02410899 0.2006171
Moved 661.5967 397.3543 466 0.08646826 0.2006171
Ended 661.6274 429.3176 464.6402 0.1604573 0.1971198
Accept 661.6888 0 this
Began 662.3337 423 548 0.1458333 0.4115225
Stationary 662.3643 423 548 0.1458333 0.4115225
Stationary 662.3951 423 548 0.1458333 0.4115225
Stationary 662.4258 423 548 0.1458333 0.4115225
Stationary 662.4565 423 548 0.1458333 0.4115225
Stationary 662.4872 423 548 0.1458333 0.4115225
Stationary 662.5179 423 548 0.1458333 0.4115225
Stationary 662.5486 423 548 0.1458333 0.4115225
Stationary 662.5793 423 548 0.1458333 0.4115225
Stationary 662.61 423 548 0.1458333 0.4115225
Stationary 662.6407 423 548 0.1458333 0.4115225
Stationary 662.6714 423 548 0.1458333 0.4115225
Stationary 662.7021 423 548 0.1458333 0.4115225
Stationary 662.7328 423 548 0.1458333 0.4115225
Moved 662.7636 405.5 519 0.1053241 0.3369341
Moved 662.7943 383.0403 490.9443 0.05333403 0.2647744
Moved 662.825 359.1647 464.1647 -0.001933575 0.1958967
Moved 662.8557 341.9259 448.7716 -0.04183819 0.1563054
Moved 662.8864 328.5597 437.8477 -0.07277856 0.128209
Moved 662.9171 314.9633 428.2225 -0.1042517 0.1034527
Moved 662.9478 306.5995 421.5995 -0.1236122 0.08641851
Moved 662.9786 297.9616 415.9744 -0.1436074 0.07195061
Moved 663.0092 291.9789 412.4894 -0.1574563 0.06298716
Moved 663.04 283.8396 407.6132 -0.1762972 0.05044544
Moved 663.0707 276.2237 403.7413 -0.1939265 0.04048673
Moved 663.1014 269.2909 401 -0.2099748 0.03343609
Moved 663.1321 262.6407 398.3203 -0.2253688 0.02654397
Moved 663.1628 256.8941 396.4471 -0.238671 0.02172596
Moved 663.1934 251.147 395 -0.2519745 0.01800408
Moved 663.2242 247.1168 393.0584 -0.2613038 0.01301024
Moved 663.2549 241.3645 393 -0.2746192 0.01285996
Moved 663.2856 236.6299 392 -0.2855788 0.01028803
Moved 663.3163 233.5 392 -0.2928241 0.01028803
Moved 663.347 232 392 -0.2962963 0.01028803
Moved 663.3776 230 392 -0.3009259 0.01028803
Moved 663.4084 228.559 392 -0.3042616 0.01028803
