sharp cheese keeps the mind sharp
sharp cheese keeps the mind sharp
Basic
List

0.6 0.6
432 388.8
Began 1563.238 319 453 -0.09490739 0.167181
Stationary 1563.269 319 453 -0.09490739 0.167181
Stationary 1563.3 319 453 -0.09490739 0.167181
Stationary 1563.331 319 453 -0.09490739 0.167181
Moved 1563.361 306.6133 443.6133 -0.1235804 0.1430382
Moved 1563.392 300.8763 439.4382 -0.1368604 0.1322997
Moved 1563.423 296.1224 434.1224 -0.1478647 0.1186276
Moved 1563.453 290.9803 429.9802 -0.1597679 0.1079738
Moved 1563.484 285.2332 424.2332 -0.1730713 0.09319235
Moved 1563.515 279.4909 416.7364 -0.1863636 0.07391039
Moved 1563.546 273.7553 409.1329 -0.1996405 0.05435413
Moved 1563.576 270.8427 402.528 -0.2063827 0.03736621
Moved 1563.607 266.9711 393.9133 -0.2153447 0.01520898
Moved 1563.638 266 385 -0.2175926 -0.007716127
Stationary 1563.669 266 385 -0.2175926 -0.007716127
Moved 1563.699 266 383.7313 -0.2175926 -0.01097918
Moved 1563.73 266 383 -0.2175926 -0.01286016
Stationary 1563.761 266 383 -0.2175926 -0.01286016
Moved 1563.792 283.3929 388.0894 -0.1773312 0.0002299022
Moved 1563.822 304.4228 399.7114 -0.1286509 0.0301219
Moved 1563.853 336.5805 415.7903 -0.05421181 0.07147703
Moved 1563.884 372.8028 430.5408 0.02963612 0.1094157
Moved 1563.914 395.8554 439.3873 0.08299857 0.1321689
Moved 1563.945 416.8351 445.134 0.1315628 0.1469496
Moved 1563.976 431.2007 447 0.1648166 0.1517489
Moved 1564.007 439.0089 448 0.1828911 0.1543209
Moved 1564.037 445.7389 448 0.1984697 0.1543209
Moved 1564.068 448.5 448 0.2048611 0.1543209
Moved 1564.099 450 443.6973 0.2083333 0.1432544
Moved 1564.13 450 438.8449 0.2083333 0.1307739
Moved 1564.16 440.7825 433.9517 0.1869966 0.1181883
Moved 1564.191 417.104 425.3011 0.1321852 0.09593897
Moved 1564.222 389.5 417.5 0.06828706 0.0758744
Moved 1564.252 363.2223 411.4445 0.007459124 0.06029949
Moved 1564.283 338.576 404.6835 -0.04959255 0.04291024
Moved 1564.314 320.836 402.9766 -0.09065743 0.03851989
Moved 1564.345 298.904 399.4338 -0.1414259 0.02940786
Moved 1564.375 273.0236 398 -0.2013343 0.02572008
Moved 1564.406 250.4843 397 -0.2535084 0.02314815
Moved 1564.437 233.0584 395 -0.2938462 0.01800408
Moved 1564.468 222.1953 395 -0.3189924 0.01800408
Moved 1564.498 212.7519 395 -0.3408521 0.01800408
Moved 1564.529 202.2865 395 -0.3650776 0.01800408
Moved 1564.56 200.9997 395 -0.3680562 0.01800408
Moved 1564.591 197.1362 395 -0.3769995 0.01800408
Moved 1564.621 194.2669 395 -0.3836414 0.01800408
Moved 1564.652 192 399.181 -0.3888888 0.02875771
Moved 1564.683 189.872 402 -0.3938148 0.03600815
Moved 1564.713 189 403.9916 -0.3958333 0.0411306
Moved 1564.744 189 408.7153 -0.3958333 0.05328013
Moved 1564.775 189 416.5 -0.3958333 0.07330243
Moved 1564.806 206.9546 431.4319 -0.3542718 0.1117074
Moved 1564.836 225.7186 453.8213 -0.3108366 0.1692934
Moved 1564.867 244.8241 472.8492 -0.2666108 0.2182336
Moved 1564.898 259.6316 486.1052 -0.2323343 0.2523282
Moved 1564.929 272.6022 497.2017 -0.2023097 0.2808684
Moved 1564.959 284.0074 506.7556 -0.1759088 0.3054412
Moved 1564.99 293.3892 515.3892 -0.1541917 0.327647
Moved 1565.021 301.9474 522.2983 -0.1343811 0.3454173
Moved 1565.052 312.5634 528.0423 -0.1098069 0.360191
Moved 1565.082 323.5824 531.3956 -0.08429998 0.3688157
Moved 1565.113 335.8514 532 -0.05589942 0.3703703
